#type: correlation
#pca: yes
#zlow: 0.045000
#zhigh: 0.069101
#ref: Behroozi+ 2016
a 10.3 10.5 0.10000 0.15849 2.54198 0.03637 0.03637
s 10.3 10.5 0.10000 0.15849 2.36141 0.07936 0.07936
q 10.3 10.5 0.10000 0.15849 2.82784 0.04656 0.04656
a 10.3 10.5 0.15849 0.25119 2.41928 0.03072 0.03072
s 10.3 10.5 0.15849 0.25119 2.03750 0.09203 0.09203
q 10.3 10.5 0.15849 0.25119 2.76003 0.03457 0.03457
a 10.3 10.5 0.25119 0.39811 2.27982 0.02373 0.02373
s 10.3 10.5 0.25119 0.39811 2.00474 0.03871 0.03871
q 10.3 10.5 0.25119 0.39811 2.60051 0.0314 0.0314
a 10.3 10.5 0.39811 0.63096 2.11794 0.03061 0.03061
s 10.3 10.5 0.39811 0.63096 1.79866 0.04552 0.04552
q 10.3 10.5 0.39811 0.63096 2.38889 0.03968 0.03968
a 10.3 10.5 0.63096 1.00000 1.95457 0.04237 0.04237
s 10.3 10.5 0.63096 1.00000 1.72301 0.05081 0.05081
q 10.3 10.5 0.63096 1.00000 2.17142 0.04577 0.04577
a 10.3 10.5 1.00000 1.58489 1.74953 0.0491 0.0491
s 10.3 10.5 1.00000 1.58489 1.57460 0.06113 0.06113
q 10.3 10.5 1.00000 1.58489 1.93194 0.05734 0.05734
a 10.3 10.5 1.58489 2.51189 1.57493 0.05406 0.05406
s 10.3 10.5 1.58489 2.51189 1.43615 0.06253 0.06253
q 10.3 10.5 1.58489 2.51189 1.71460 0.06049 0.06049
a 10.3 10.5 2.51189 3.98107 1.39670 0.06039 0.06039
s 10.3 10.5 2.51189 3.98107 1.29420 0.06647 0.06647
q 10.3 10.5 2.51189 3.98107 1.50382 0.06284 0.06284
a 10.3 10.5 3.98107 6.30957 1.25185 0.06786 0.06786
s 10.3 10.5 3.98107 6.30957 1.16890 0.07144 0.07144
q 10.3 10.5 3.98107 6.30957 1.31561 0.07418 0.07418
a 10.3 10.5 6.30957 10.00000 1.08268 0.08395 0.08395
s 10.3 10.5 6.30957 10.00000 0.97615 0.08465 0.08465
q 10.3 10.5 6.30957 10.00000 1.17295 0.09093 0.09093
