#type: correlation
#pca: yes
#zlow: 0.045000
#zhigh: 0.070000
#ref: Behroozi+ 2016
a 10.5 11. 0.10000 0.15849 2.60708 0.03442 0.03442
s 10.5 11. 0.10000 0.15849 2.42645 0.04733 0.04733
q 10.5 11. 0.10000 0.15849 2.79828 0.04564 0.04564
a 10.5 11. 0.15849 0.25119 2.43445 0.03292 0.03292
s 10.5 11. 0.15849 0.25119 2.15506 0.0382 0.0382
q 10.5 11. 0.15849 0.25119 2.64412 0.03884 0.03884
a 10.5 11. 0.25119 0.39811 2.30799 0.03117 0.03117
s 10.5 11. 0.25119 0.39811 2.00872 0.03835 0.03835
q 10.5 11. 0.25119 0.39811 2.49198 0.03351 0.03351
a 10.5 11. 0.39811 0.63096 2.13991 0.04111 0.04111
s 10.5 11. 0.39811 0.63096 1.90030 0.0406 0.0406
q 10.5 11. 0.39811 0.63096 2.30376 0.05166 0.05166
a 10.5 11. 0.63096 1.00000 1.97868 0.03888 0.03888
s 10.5 11. 0.63096 1.00000 1.76228 0.03706 0.03706
q 10.5 11. 0.63096 1.00000 2.13791 0.04731 0.04731
a 10.5 11. 1.00000 1.58489 1.77310 0.04338 0.04338
s 10.5 11. 1.00000 1.58489 1.61607 0.03142 0.03142
q 10.5 11. 1.00000 1.58489 1.89239 0.0535 0.0535
a 10.5 11. 1.58489 2.51189 1.60318 0.04564 0.04564
s 10.5 11. 1.58489 2.51189 1.47624 0.04064 0.04064
q 10.5 11. 1.58489 2.51189 1.68100 0.05514 0.05514
a 10.5 11. 2.51189 3.98107 1.44904 0.05136 0.05136
s 10.5 11. 2.51189 3.98107 1.35505 0.04139 0.04139
q 10.5 11. 2.51189 3.98107 1.51480 0.06 0.06
a 10.5 11. 3.98107 6.30957 1.28896 0.06147 0.06147
s 10.5 11. 3.98107 6.30957 1.18669 0.0524 0.0524
q 10.5 11. 3.98107 6.30957 1.35795 0.06665 0.06665
a 10.5 11. 6.30957 10.00000 1.11521 0.07583 0.07583
s 10.5 11. 6.30957 10.00000 0.99347 0.06709 0.06709
q 10.5 11. 6.30957 10.00000 1.18270 0.08269 0.08269
