#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.00406579 0.016287 0.00356736 -0.0064883 0.00616739 0.0516456 -0.0064883 0.00616739 0.0516456 -0.0064883 0.00616739 0.0516456 8.625 8.875 100855 1137 0 0 0
9 0.0043945 0.0234528 0.00417479 -0.0081578 0.00759337 0.0603256 -0.0081578 0.00759337 0.0603256 -0.0081578 0.00759337 0.0603256 8.875 9.125 134074 1195 0 0 0
9.25 0.00612102 0.0227218 0.00613153 -0.00610495 0.0058179 0.0512094 -0.00610495 0.00563237 0.0525221 -0.00610495 0.00563237 0.0525221 9.125 9.375 288042 2372 1 0 0
9.5 0.00863371 0.0391779 0.00811077 -0.0065731 0.00600927 0.0535472 -0.0065731 0.00600927 0.0535472 -0.0065731 0.00600927 0.0535472 9.375 9.625 478347 6576 2 0 0
9.75 0.0233731 0.0641108 0.0203744 0.130842 0.264665 0.130853 -0.0120149 0.010917 0.0792316 -0.0120149 0.010917 0.0792316 9.625 9.875 392047 9523 7 0 0
10 0.0577467 0.110973 0.047093 -0.0159431 0.0749365 0.0580822 -0.0159431 0.0143165 0.0933744 -0.0159431 0.0143165 0.0933744 9.875 10.125 177811 7518 6 0 0
10.25 0.0828463 0.129059 0.0664438 -0.0189275 0.0170626 0.0976639 -0.0189275 0.0169808 0.0993162 -0.0189275 0.0169808 0.0993162 10.125 10.375 64567 3439 1 0 0
10.5 0.0797383 0.108665 0.062711 0.227125 0.648615 0.235853 -0.0228755 0.0195144 0.100231 -0.0228755 0.0195144 0.100231 10.375 10.625 20967 1033 4 0 0
10.75 0.0802548 0.0692234 0.0621744 -0.0321483 0.289108 0.0241538 -0.0321483 0.0270454 0.10478 -0.0321483 0.0270454 0.10478 10.625 10.875 6137 258 3 0 0
11 0.0732931 0.055108 0.0560517 0.452603 0.462617 0.455274 -0.0473965 0.0373832 0.124833 -0.0473965 0.0373832 0.124833 10.875 11.125 1556 58 2 0 0
11.25 0.0665584 0.238636 0.00974026 -0.0584416 0.0422078 0.123377 -0.0584416 0.0422078 0.123377 -0.0584416 0.0422078 0.123377 11.125 11.375 316 8 0 0 0
11.5 -0.0769231 0.0769231 0.134615 -0.0769231 0.0576923 0.173077 -0.0769231 0.0576923 0.173077 -0.0769231 0.0576923 0.173077 11.375 11.625 53 1 0 0 0
11.75 -0.25 0.25 0 -0.25 0.25 0 -0.25 0.25 0 -0.25 0.25 0 11.625 11.875 4 0 0 0 0
12 0 0 0 0 0 0 0 0 0 0 0 0 11.875 12.125 1 0 0 0 0
12.25 0 0 0 0 0 0 0 0 0 0 0 0 12.125 12.375 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.375 12.625 0 0 0 0 0
12.75 0 0 0 0 0 0 0 0 0 0 0 0 12.625 12.875 0 0 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
