#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0.333333 0.484848 0.333333 0.76 0.0316667 0.76 0.65625 0.14375 0.65625 8.625 8.875 27445 111 322 365
9.00 0.74359 0.0480769 0.74359 0.774194 0.0236788 0.774194 0.716667 0.0645834 0.0602564 8.875 9.125 47315 371 1014 1191
9.25 0.692913 0.307087 0.0516763 0.739617 0.0889548 0.0510573 0.782875 0.182643 0.0403004 9.125 9.375 216976 2315 5804 6213
9.50 0.651376 0.202556 0.0630455 0.721136 0.164579 0.0920218 0.759429 0.168763 0.0658802 9.375 9.625 762086 7477 11638 11804
9.75 0.682895 0.184088 0.0948086 0.737033 0.155918 0.112627 0.793724 0.127643 0.103428 9.625 9.875 2.09027e+06 25356 30107 27446
10.00 0.882168 0.0573755 0.0779142 0.902639 0.0476194 0.0767241 0.911202 0.0408037 0.0712312 9.875 10.125 3.27826e+06 61922 66467 57877
10.25 0.930766 0.0232909 0.0628784 0.943475 0.0152299 0.0620257 0.941478 0.0172369 0.0585224 10.125 10.375 2.47078e+06 66150 67673 55513
10.50 0.94117 0.0157928 0.059727 0.949644 0.0105953 0.0519631 0.953113 0.00705445 0.056549 10.375 10.625 1.57071e+06 53953 53636 42301
10.75 0.939716 0.0119231 0.0502903 0.949775 0.00922942 0.0522957 0.949738 0.00897944 0.0522734 10.625 10.875 976541 41594 39467 30151
11.00 0.940337 0.00633299 0.0538002 0.950396 0.00747108 0.0493523 0.955052 0.00359064 0.0539975 10.875 11.125 603685 32005 27649 20540
11.25 0.925539 0.00744367 0.0502747 0.942579 0.00446194 0.0534677 0.947793 0.00459772 0.0482579 11.125 11.375 359347 23347 17916 13256
11.50 0.889529 0.00702244 0.0487037 0.911731 0.00597203 0.0451339 0.92928 0.000813782 0.0526346 11.375 11.625 211878 13944 11564 7979
11.75 0.828678 0.00730103 0.0387049 0.848249 0.00692171 0.0449227 0.857191 0.00737441 0.0448937 11.625 11.875 124866 4673 7431 5165
12.00 0.74613 0.0248377 0.0346546 0.686257 0.0190747 0.0417929 0.705283 0.0130207 0.0421501 11.875 12.125 72677 562 5133 3260
12.25 0.639344 0.04637 0.0618795 0.479141 0.0243913 0.0326841 0.446676 0.0284622 0.0335514 12.125 12.375 42241 81 3266 1956
12.50 0.25 0.138889 -0.0277778 0.276058 0.0523938 0.0206265 0.246562 0.0437607 0.0324856 12.375 12.625 24352 18 1955 1236
12.75 0.25 0.125 0 0.176265 0.067417 0.0157068 0.166452 0.0455582 0.0244398 12.625 12.875 13996 9 678 879
13.00 0 0.5 0 0.0862069 0.0647365 0.0216908 0.0794574 0.020339 0.0102266 12.875 13.125 7855 3 66 551
13.25 0 0 0 0.25 0 0.25 0.0471204 0.0239023 0.00479238 13.125 13.375 4326 0 6 398
13.50 0 0 0 0 0 0 0.0264317 0.0284206 0.00360067 13.375 13.625 2330 0 0 235
13.75 0 0 0 0 0 0 0.0277778 0.0277778 0 13.625 13.875 1180 0 0 74
14.00 0 0 0 0 0 0 0.1 0.1 0 13.875 14.125 561 0 0 10
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 265 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 75 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 32 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 3 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 1 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
