#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -1.63832e-05 0.0141981 0 -1.63832e-05 0.0130688 1.63832e-05 -1.63832e-05 0.000891275 0.00350561 -1.63832e-05 0.0808379 1.63832e-05 8.625 8.875 62799 1761 245 244 33
9 -2.84129e-05 0.00302739 0 -2.84129e-05 0.00712914 0 -2.84129e-05 2.84129e-05 0.0039653 -2.84129e-05 2.84129e-05 0.0347034 8.875 9.125 110662 5076 906 912 137
9.25 -2.21539e-06 0.0289595 0 -2.21539e-06 0.0328353 2.21539e-06 -2.21539e-06 0.0402706 0 -2.21539e-06 0.0263623 2.21539e-06 9.125 9.375 490349 38962 6837 7093 1142
9.5 2.06853e-05 0.0672288 4.4208e-06 5.0655e-05 0.0895075 2.81112e-05 -9.27903e-06 0.107356 -1.85581e-06 -9.27903e-06 0.10681 6.18602e-07 9.375 9.625 1.81679e+06 200238 33370 26378 3833
9.75 1.34519e-05 0.0731514 9.66434e-06 -7.9362e-06 0.111611 3.89263e-06 0.000117738 0.136639 7.27106e-05 -5.71246e-05 0.134928 -1.26944e-05 9.625 9.875 4.00453e+06 538423 81320 51469 6838
10 4.94555e-06 0.0796956 1.48893e-06 2.03505e-05 0.112207 1.36578e-05 -1.4782e-05 0.131278 -1.22213e-05 7.93612e-05 0.132032 1.68935e-05 9.875 10.125 4.17816e+06 663556 102713 60572 7864
10.25 1.57834e-05 0.0889868 3.25763e-06 2.63628e-05 0.119361 1.85502e-05 5.20617e-05 0.137636 -2.88707e-06 -4.48556e-06 0.124267 4.03701e-06 10.125 10.375 2.82141e+06 592037 97250 53053 6710
