#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0.0110152 0 0.0127069 0 0 0 0.0363916 0 0 0.0620132 8.625 8.875 87595 1710 201 139 14
9 0 0.00111844 0.000111479 0 0.00542854 0.00132468 0 0.00371568 6.85688e-06 0 0.0871222 0 8.875 9.125 150187 4348 800 551 38
9.25 0 0.0271676 1.69875e-06 0 0.033093 1.69875e-06 0 0.0418038 1.69875e-06 0 0.063184 1.69875e-06 9.125 9.375 623482 34814 6623 5164 359
9.5 1.62881e-06 0.0603944 -1.11486e-06 -3.08366e-06 0.0885926 -5.13944e-07 4.13233e-05 0.10758 2.05577e-06 -3.08366e-06 0.117684 3.08366e-06 9.375 9.625 2.15794e+06 212203 36490 22519 1462
9.75 7.27108e-07 0.0699658 -2.42928e-06 -1.9682e-06 0.114087 -1.35438e-06 7.99442e-05 0.143807 3.37152e-05 -3.65244e-05 0.146676 7.35744e-06 9.625 9.875 4.36941e+06 563735 86815 42930 2444
10 -8.10638e-06 0.0779959 -5.6958e-06 -6.97181e-06 0.11984 1.58107e-06 -5.09791e-06 0.1395 -1.13334e-05 -2.65139e-05 0.122775 6.27212e-06 9.875 10.125 4.1595e+06 651906 102343 46694 2744
10.25 1.64122e-05 0.0859282 5.03163e-07 3.87364e-05 0.1213 4.86268e-06 2.15582e-05 0.140261 -1.70823e-06 -2.73543e-06 0.125169 1.36771e-06 10.125 10.375 2.76792e+06 574484 96451 41163 2376
