#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.012548 0.0169121 0.012548 0.0357489 0.0314217 0.0357489 0.0129343 0.0355722 0.0129753 0.015714 0.0135472 0.015796 8.625 8.875 26237 1849 128 301 349
9 0.0121355 0.0126929 0.0120774 0.00148193 0.0153011 0.00547752 0.00812351 0.00503929 0.00829477 0.0251645 0.0177595 0.0252135 8.875 9.125 46416 5543 417 998 1150
9.25 0.0301342 0.0280581 0.0298038 0.0316577 0.0255188 0.0317229 0.0271159 0.030548 0.0267677 0.0295882 0.0293399 0.0291219 9.125 9.375 216571 32649 2547 6268 6092
9.5 0.0653305 0.0540318 0.0614012 0.057097 0.0574618 0.0545183 0.0746358 0.0651214 0.0701171 0.0925496 0.0654364 0.0859595 9.375 9.625 781682 85554 8628 13385 12685
9.75 0.0717916 0.0485148 0.054271 0.0784788 0.0559707 0.0614418 0.109708 0.0750869 0.0838154 0.120954 0.0768483 0.0917674 9.625 9.875 2.16946e+06 266748 28644 33789 28703
10 0.0789024 0.0619267 0.0435552 0.0848281 0.0706795 0.0490765 0.104591 0.0788558 0.0528011 0.112167 0.0811339 0.0587318 9.875 10.125 3.37989e+06 555110 66252 69931 56498
10.25 0.0878297 0.0757656 0.0349452 0.0911301 0.084055 0.0378039 0.114262 0.0888838 0.0402332 0.112637 0.0888933 0.039986 10.125 10.375 2.51558e+06 542130 69397 69451 53819
