#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0 0.00528045 0 0 0.00840489 0 0.00716579 0 0 0 0.0617163 8.625 8.875 90857 1691 195 127 5
9 0 0.000335187 0.00162338 0 0.00142888 0.00156892 0 0.00354326 0.00125933 0 0 0.0076671 8.875 9.125 155685 4330 796 591 44
9.25 -1.64819e-06 0.0256555 1.64819e-06 -1.64819e-06 0.0260023 1.64819e-06 -1.64819e-06 0.0371608 1.64819e-06 -1.64819e-06 0.0570643 1.64819e-06 9.125 9.375 641101 34373 6618 4859 293
9.5 -3.52555e-06 0.0582542 -4.17929e-06 -3.52555e-06 0.0885132 -1.0073e-06 -3.52555e-06 0.104766 0 -3.52555e-06 0.120635 5.0365e-06 9.375 9.625 2.19904e+06 213540 36943 21949 1199
9.75 2.05918e-06 0.069205 9.86467e-07 1.2665e-05 0.11796 6.0652e-06 -9.41421e-06 0.143267 -9.41421e-06 -3.32994e-05 0.14288 8.06469e-06 9.625 9.875 4.40955e+06 565634 87024 41867 2047
10 -1.13818e-05 0.0779381 -6.47724e-06 -4.0563e-06 0.120105 -1.48655e-06 -1.56757e-06 0.14248 1.69405e-06 -2.36988e-05 0.128384 1.28487e-05 9.875 10.125 4.15179e+06 649506 101820 45185 2280
10.25 1.55703e-05 0.086669 7.34984e-07 3.79572e-05 0.123818 8.30545e-06 7.18729e-05 0.141205 2.99495e-05 -3.65961e-06 0.127081 9.14901e-07 10.125 10.375 2.75805e+06 572026 96115 39718 2013
