#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0 0 0 0 0 0 0 0 8.625 8.875 249844 20 0 0
9.00 0 0.714286 0 0 0 0 0 0 0 8.875 9.125 400638 98 4 0
9.25 0.5 0.177966 0.5 0 0.666667 0 0 0 0 9.125 9.375 1.30367e+06 1443 70 0
9.50 0.836735 0.029932 0.335189 0.5 0.216049 0.5 0 0 0 9.375 9.625 3.34557e+06 12811 688 0
9.75 0.817232 0.0577676 0.207838 0.75 0.159091 0.219101 0 0 0 9.625 9.875 4.20392e+06 27291 1165 0
10.00 0.839729 0.0693618 0.186451 0.946429 0 0.31485 0 0 0 9.875 10.125 3.02583e+06 31736 1388 0
10.25 0.858779 0.0782843 0.188711 0.847059 0.0647058 0.204857 0 0 0 10.125 10.375 1.74542e+06 32403 1353 0
10.50 0.830023 0.0959882 0.155028 0.872093 0.0756682 0.187988 0 0 0 10.375 10.625 943233 25671 1073 0
10.75 0.832727 0.08118 0.154454 0.865854 0.0696302 0.169272 0 0 0 10.625 10.875 475537 17352 722 0
11.00 0.814267 0.0796014 0.138294 0.759036 0.0409639 0.198851 0 0 0 10.875 11.125 232762 11214 468 0
11.25 0.781659 0.0999474 0.119994 0.732558 0.119294 0.117173 0 0 0 11.125 11.375 107878 6675 298 0
11.50 0.770732 0.108463 0.11767 0.712329 0.12488 0.0746476 0 0 0 11.375 11.625 47499 3236 215 0
11.75 0.736111 0.0601852 0.13438 0.653846 0.184864 0.110989 0 0 0 11.625 11.875 19898 870 128 0
12.00 0.764706 0.187675 0.117647 0.765957 0.078487 0.152624 0 0 0 11.875 12.125 7586 102 105 0
12.25 0.666667 0 0.333333 0.5625 0.206731 0.0407609 0 0 0 12.125 12.375 2645 6 48 0
12.50 0 0 0 0.727273 0.041958 0.181818 0 0 0 12.375 12.625 748 0 26 0
12.75 0 0 0 0.5 0.5 0.166667 0 0 0 12.625 12.875 196 0 6 0
13.00 0 0 0 0 0 0 0 0 0 12.875 13.125 39 0 1 0
13.25 0 0 0 0 0 0 0 0 0 13.125 13.375 4 0 0 0
13.50 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
