#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0.00756045 0 0 0.0222056 0 0 0 0.00791899 0 0.053801 0 8.625 8.875 55256 1816 225 251 47
9 -1.08189e-05 0.00907005 0 -1.08189e-05 0.00785717 1.08189e-05 -1.08189e-05 0.0083949 0 -1.08189e-05 0.0147536 1.08189e-05 8.875 9.125 97734 5303 896 1015 201
9.25 2.2356e-05 0.0350419 4.96501e-06 -2.4825e-06 0.03598 4.96501e-06 -2.4825e-06 0.0446518 4.96501e-06 -2.4825e-06 0.0414064 4.96501e-06 9.125 9.375 443079 40260 6800 7559 1576
9.5 6.09268e-06 0.0687686 2.68359e-06 2.25952e-05 0.0880673 1.00634e-05 -9.39255e-06 0.104225 -2.01269e-06 -9.39255e-06 0.105861 2.01269e-06 9.375 9.625 1.68428e+06 193733 31262 27268 5138
9.75 4.05761e-05 0.0746435 2.37785e-05 2.71337e-05 0.110674 7.43846e-06 0.000124063 0.139393 4.89494e-05 4.33038e-05 0.133904 6.76632e-05 9.625 9.875 3.8473e+06 522095 77789 53500 9420
10 6.23958e-06 0.0816943 8.22617e-06 9.38611e-06 0.111337 1.14265e-05 -2.94915e-06 0.133755 -8.1519e-06 3.99388e-05 0.130215 5.02291e-05 9.875 10.125 4.16282e+06 664389 101977 64514 11187
10.25 9.74596e-06 0.0901895 1.77797e-06 1.52029e-05 0.117907 0 1.21341e-05 0.135482 -4.28473e-06 -5.37663e-06 0.125471 1.34416e-06 10.125 10.375 2.82702e+06 595136 97184 57108 9541
