#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.0677815 0.0572941 0.0555784 0.0713597 0.0703954 0.0593057 0.0964912 0.0438597 0.0877193 0.0760563 0.0788732 0.0647887 0.0808081 0.0808081 0.0757576 8.625 8.875 43457 41383 2074 114 355 396
9.00 0.110166 0.0890138 0.089841 0.111867 0.099286 0.0950357 0.108696 0.0993789 0.0900621 0.118744 0.0961727 0.100098 0.1251 0.0924303 0.104382 8.875 9.125 65120 59238 5882 322 1019 1255
9.25 0.101111 0.0915691 0.0826623 0.115854 0.104336 0.0918022 0.106901 0.105999 0.0847993 0.118083 0.101989 0.094575 0.121917 0.102278 0.0950511 9.125 9.375 260726 228254 32472 2217 5530 6365
9.50 0.0729283 0.0697912 0.0522206 0.140487 0.100845 0.0844172 0.126189 0.0976538 0.0837032 0.150429 0.110501 0.0906369 0.164754 0.117393 0.0934374 9.375 9.625 773440 704473 68967 6308 10018 10895
9.75 0.124963 0.0899567 0.0593413 0.218724 0.130169 0.0771104 0.221245 0.140546 0.081403 0.264092 0.147246 0.0880032 0.269118 0.145872 0.0852695 9.625 9.875 1.97132e+06 1.77035e+06 200970 19901 24836 24309
10.00 0.0985211 0.0604579 0.0417238 0.229567 0.100476 0.0580067 0.233247 0.106167 0.0606936 0.265296 0.114594 0.0570728 0.26705 0.118715 0.051214 9.875 10.125 3.08137e+06 2.59382e+06 487552 53171 60736 56042
10.25 0.087307 0.0451996 0.0354044 0.252581 0.0942601 0.0471435 0.261905 0.0969944 0.0488999 0.287676 0.0989273 0.0403219 0.286984 0.0976771 0.0422948 10.125 10.375 2.37334e+06 1.8753e+06 498035 58609 63808 55815
10.50 0.0882023 0.0365358 0.0309144 0.280571 0.0789023 0.0447991 0.282411 0.081919 0.0458761 0.320666 0.0900443 0.0405749 0.31713 0.084668 0.0399052 10.375 10.625 1.51831e+06 1.13193e+06 386377 47792 51499 43818
10.75 0.0952755 0.0334788 0.0282587 0.333926 0.0723237 0.0384603 0.327963 0.0727556 0.0409997 0.369075 0.0778974 0.0366039 0.366761 0.0736079 0.0351962 10.625 10.875 945115 675651 269464 36123 37995 31511
11.00 0.111944 0.0260384 0.0299161 0.396103 0.0671381 0.031765 0.372121 0.0651211 0.037854 0.422629 0.0672173 0.0282488 0.417852 0.0629865 0.0261437 10.875 11.125 585099 401523 183576 27784 26515 21589
11.25 0.144131 0.0245563 0.0304544 0.456596 0.0519053 0.0285873 0.423169 0.0518507 0.0361271 0.476221 0.0516999 0.0252795 0.487181 0.0477416 0.0258558 11.125 11.375 352230 240753 111477 20519 17221 13925
11.50 0.196395 0.0203162 0.0326545 0.520839 0.0424688 0.0270619 0.472674 0.0395307 0.0372174 0.537301 0.0442154 0.02569 0.555169 0.0443493 0.0220476 11.375 11.625 209127 145401 63726 12552 11072 8628
11.75 0.254827 0.016853 0.0367317 0.592631 0.0332837 0.0223053 0.542155 0.0321348 0.0359451 0.599629 0.0363035 0.01701 0.61156 0.0328594 0.0180726 11.625 11.875 123816 87581 36235 4353 7001 5450
12.00 0.32146 0.0306235 0.0389981 0.664114 0.0305882 0.0160004 0.616667 0.0306279 0.0203364 0.673482 0.0299646 0.0178949 0.66859 0.0338654 0.0120239 11.875 12.125 72586 51823 20763 540 4793 3467
12.25 0.41564 0.0424451 0.0433776 0.72985 0.0302306 0.015219 0.825 0 0.0709016 0.727995 0.0351371 0.0142438 0.732427 0.0306684 0.0121315 12.125 12.375 42315 31099 11216 80 3022 2134
12.50 0.516787 0.0571398 0.0423437 0.800389 0.0275838 0.0198414 0.791667 0.0265151 0.109848 0.790456 0.0294882 0.0245921 0.807927 0.0238774 0.0240035 12.375 12.625 24758 18586 6172 24 1928 1312
12.75 0.609725 0.0684931 0.0487163 0.849295 0.0282875 0.0294136 1 0 0.142857 0.829346 0.037433 0.0296641 0.843159 0.0373369 0.0288734 12.625 12.875 14427 11023 3404 12 627 899
13.00 0.703768 0.0666561 0.0543065 0.895928 0.0245335 0.0281492 1 0 0 0.855072 0.0377847 0.0289855 0.899642 0.0243653 0.028213 12.875 13.125 8084 6316 1768 2 69 558
13.25 0.771819 0.0662107 0.0596443 0.925357 0.0105983 0.0330973 0 0 0 0.9 0 0.0111111 0.933687 0.00902128 0.03166 13.125 13.375 4566 3655 911 0 10 377
