#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0.75 0.0147059 0.75 0.846154 -0.0322004 0.846154 0.9 0.0411765 0.9 8.625 8.875 28510 233 520 351
9.00 0.666667 0.0595238 0.666667 0.85 -0.0224138 0.85 0.891892 -0.0357768 0.891892 8.875 9.125 49861 707 1531 1134
9.25 0.821429 -0.00989014 0.821429 0.812139 0.00237739 0.812139 0.869565 -0.0121314 0.869565 9.125 9.375 239773 4761 9459 6952
9.50 0.830287 0.169713 0.204884 0.844262 -0.0480303 0.594262 0.868697 0.026083 0.202031 9.375 9.625 918462 16257 21681 14977
9.75 0.846844 0.0142674 0.254823 0.878209 -0.0260025 0.322653 0.884742 0.0206504 0.200495 9.625 9.875 2.61338e+06 44488 46413 29090
10.00 0.934694 0.00975055 0.160005 0.946689 0.00093931 0.144783 0.944626 0.00570476 0.136579 9.875 10.125 3.69922e+06 80146 76853 46249
10.25 0.958387 0.00391573 0.108387 0.960349 0.000939786 0.110174 0.956844 0.00798023 0.0993591 10.125 10.375 2.65953e+06 80997 72840 41337
10.50 0.952223 0.00817263 0.0910785 0.965153 -0.000717521 0.090353 0.948619 0.0143046 0.0793762 10.375 10.625 1.6697e+06 67014 56546 31434
10.75 0.964896 -0.00697869 0.107324 0.958599 0.000451684 0.0869771 0.951941 0.0065397 0.0833913 10.625 10.875 1.03691e+06 54060 41351 21889
11.00 0.964286 -0.00846356 0.105283 0.961885 0 0.0986506 0.963184 -0.00306135 0.100646 10.875 11.125 633168 41586 28739 14429
11.25 0.959518 -0.00578141 0.107411 0.958476 -0.00225729 0.0940804 0.949954 0.0011515 0.103926 11.125 11.375 367485 28880 18386 9252
11.50 0.950685 -0.0119686 0.107714 0.952683 -0.00963336 0.0919037 0.932216 0.00180131 0.0984644 11.375 11.625 214047 16785 12142 5677
11.75 0.902883 -0.00834042 0.0816541 0.912878 -0.0108738 0.0880865 0.891892 0.000283062 0.0875322 11.625 11.875 123729 5234 8107 3675
12.00 0.772894 0.018612 0.0443224 0.754365 0.0130841 0.0656251 0.734551 0.0141932 0.0664122 11.875 12.125 71327 592 5499 2312
12.25 0.655738 0.0511588 0.0307377 0.54194 0.0189549 0.0500274 0.510097 0.0269927 0.0497129 12.125 12.375 40762 83 3559 1435
12.50 0.464286 0.0357143 0.0714286 0.304204 0.0574036 0.048018 0.271591 0.0565898 0.0491215 12.375 12.625 22706 29 2026 957
12.75 0.142857 0.232143 0.142857 0.178515 0.0615512 0.0332291 0.203101 0.0419222 0.0345247 12.625 12.875 12695 7 694 677
13.00 0 0 0 0.0793651 0.0517825 0.031746 0.0973236 0.0163715 0.0135915 12.875 13.125 6895 2 65 422
13.25 0 0 0 0 0 0 0.0427046 0.0182273 0.00313628 13.125 13.375 3565 0 5 283
13.50 0 0 0 1 0 1 0.0295858 0.0106441 0.0117287 13.375 13.625 1809 0 2 172
13.75 0 0 0 0 0 0 0.0588235 0.00117647 0.0370844 13.625 13.875 866 0 0 51
14.00 0 0 0 0 0 0 0.2 0.2 0 13.875 14.125 361 0 0 5
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 136 0 0 1
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 34 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 5 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 2 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
