#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.0238548 0.0459225 0.0238548 0.0293852 0.0551537 0.0293852 0.0386473 0.0676329 0.0386473 0.0298507 0.0472637 0.0298507 0.0253521 0.0704225 0.0253521 8.625 8.875 27951 25739 2212 207 402 355
9.00 0.037242 0.0667886 0.0372183 0.036521 0.0838956 0.0363743 0.0355412 0.0969305 0.0355412 0.0385735 0.080786 0.0385735 0.0456081 0.0717905 0.0456081 8.875 9.125 48921 42103 6818 619 1374 1184
9.25 0.0296157 0.0591575 0.0296104 0.0467601 0.0908192 0.046736 0.0449636 0.0924391 0.0447124 0.0453721 0.091833 0.0453721 0.0514738 0.0959022 0.0514738 9.125 9.375 230961 189494 41467 3981 8265 6955
9.50 0.022384 0.0491495 0.0223453 0.0652212 0.107312 0.0650391 0.0624673 0.106799 0.0622435 0.0751816 0.118817 0.0749695 0.0825719 0.127919 0.0823012 9.375 9.625 864631 749285 115346 13399 18861 14775
9.75 0.0283494 0.0610338 0.0279486 0.0808989 0.115637 0.07921 0.0882238 0.127985 0.0868395 0.108184 0.145898 0.106046 0.113912 0.154236 0.111653 9.625 9.875 2.44054e+06 2.1137e+06 326840 38289 42557 30541
10.00 0.0191297 0.0435055 0.0186019 0.0712344 0.118171 0.0667654 0.0778084 0.126641 0.0734433 0.0942815 0.132383 0.0867859 0.0935129 0.138399 0.0870128 9.875 10.125 3.59739e+06 3.007e+06 590389 75159 75264 51394
10.25 0.0138311 0.0355415 0.0130608 0.0642553 0.112794 0.0546187 0.0686559 0.122433 0.0587917 0.0835698 0.131187 0.0683585 0.081351 0.130714 0.0668992 10.125 10.375 2.61292e+06 2.0498e+06 563113 77284 72251 46957
10.50 0.0104115 0.0278779 0.00894207 0.0588569 0.107515 0.038944 0.0625393 0.115865 0.0431332 0.0762458 0.122215 0.045447 0.0732386 0.122162 0.0441571 10.375 10.625 1.64563e+06 1.21135e+06 434274 63544 56108 35555
10.75 0.00875468 0.0240949 0.00588205 0.0666667 0.105055 0.0213106 0.0671335 0.109058 0.0251419 0.0847733 0.114744 0.0188007 0.0804524 0.108364 0.0145525 10.625 10.875 1.02243e+06 716417 306015 50839 41263 25108
11.00 0.0100692 0.0230614 0.00307376 0.0890907 0.0935843 0.000477403 0.0835188 0.0928049 0.00561925 0.105016 0.100558 -0.00338267 0.108302 0.095476 -0.00524249 10.875 11.125 627142 424562 202580 39081 28805 16694
11.25 0.0165375 0.0238281 0.000764923 0.145955 0.0828015 -0.0112369 0.121974 0.0779542 -0.00778034 0.171044 0.0842947 -0.0125505 0.173909 0.0815129 -0.0148641 11.125 11.375 365980 251006 114974 27350 18428 10678
11.50 0.0383602 0.0241581 -0.000299484 0.254022 0.0732794 -0.00940815 0.192867 0.0708075 -0.0090823 0.284632 0.0747586 -0.00636861 0.297183 0.0732963 -0.0082674 11.375 11.625 214278 150260 64018 16094 12279 6639
11.75 0.0991673 0.0308074 0.00512896 0.414203 0.0540206 0.00667819 0.317645 0.0543689 0.00766852 0.439995 0.0508449 0.00824538 0.46649 0.0620746 0.00537348 11.625 11.875 124319 89102 35217 5163 7991 4148
12.00 0.223687 0.0297562 0.0165948 0.603572 0.0353331 0.0181949 0.519097 0.0377397 0.0216969 0.619693 0.0321952 0.0204226 0.635267 0.0277159 0.0166134 11.875 12.125 71968 52426 19542 576 5535 2654
12.25 0.424924 0.0223102 0.0352199 0.764012 0.020277 0.0241923 0.805195 0.0030244 0.0504778 0.761272 0.0204917 0.0249471 0.79529 0.0158145 0.0277117 12.125 12.375 41482 31062 10420 77 3615 1656
12.50 0.640777 0.024356 0.0622931 0.879098 0.01445 0.0292655 0.909091 0.04329 0.026738 0.860409 0.0189785 0.0324303 0.907692 0.0103565 0.0304646 12.375 12.625 23187 17819 5368 22 2056 1040
12.75 0.811566 0.0287194 0.0690632 0.945244 0.00674713 0.0265889 1 0 0 0.930131 0.0123977 0.0313041 0.932895 0.0129047 0.0195321 12.625 12.875 13086 10237 2849 4 687 760
13.00 0.910825 0.0156358 0.0560137 0.968085 0.00618225 0.019609 0 1 0 0.923077 0.013431 0.018315 0.979036 0 0.0222322 12.875 13.125 7230 5820 1410 0 65 477
13.25 0.956606 0.00803596 0.0388943 0.981295 0.00126314 0.0142291 1 0 0 1 0 0 0.987915 0 0.00881094 13.125 13.375 3806 3111 695 2 10 331
