#Observed stellar mass range: 8.8 < log10(M*/Msun) < 9
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.0140493 0.00108802 0.00466627 0.996416 0.00191897 0.00312585 116661 41850
0.994717 0.0353931 0.0032009 0.00665445 0.907622 -0.000535429 0.0165957 116661 41850
0.987123 0.0465451 0.00668419 0.00687896 0.85147 0.000719428 0.0242824 116661 41850
0.979529 0.0532054 0.0065915 0.0083869 0.805998 0.000900388 0.0289719 116661 41850
0.971935 0.055297 0.00779608 0.00793206 0.769606 0.00207692 0.0342601 116661 41850
0.964342 0.05804 0.00781721 0.00890061 0.742748 0.00652254 0.035952 116661 41850
0.956748 0.0582371 0.00873128 0.00884788 0.717348 0.00699598 0.041005 116661 41850
0.949154 0.0581428 0.00867679 0.00905404 0.693453 0.0100222 0.0417524 116661 41850
0.941560 0.0575599 0.00853875 0.0083387 0.671302 0.0112999 0.0444536 116661 41850
0.933967 0.0561884 0.0090295 0.00855767 0.644325 0.016191 0.0425808 116661 41850
0.926373 0.0553913 0.0094574 0.00848065 0.623775 0.0160539 0.0445962 116661 41850
0.918779 0.0541312 0.00991154 0.00898333 0.600263 0.0178925 0.0473815 116661 41850
0.911185 0.0531283 0.0102875 0.00890709 0.574648 0.0212784 0.0443023 116661 41850
0.903592 0.0517054 0.0111769 0.00927238 0.554528 0.0209273 0.0443164 116661 41850
0.895998 0.0509082 0.0114343 0.00905766 0.533238 0.0211701 0.0442735 116661 41850
0.888404 0.0501539 0.0122632 0.00897566 0.509892 0.0240648 0.0453924 116661 41850
0.880810 0.0498281 0.0126967 0.00944139 0.488005 0.0222476 0.0452186 116661 41850
0.873217 0.0493824 0.0119818 0.00914238 0.46356 0.0236682 0.0430585 116661 41850
0.865623 0.0484052 0.0118925 0.00902372 0.44141 0.025254 0.0406348 116661 41850
0.858029 0.0451736 0.0133109 0.00819246 0.423393 0.025692 0.0396467 116661 41850
0.850435 0.0416849 0.0133532 0.00791893 0.401983 0.0296649 0.035392 116661 41850
0.842842 0.0398505 0.0130786 0.00823854 0.384182 0.0294577 0.0353354 116661 41850
0.835248 0.0372361 0.0136554 0.00782803 0.368793 0.0285272 0.0360209 116661 41850
0.827654 0.0353589 0.0137589 0.00716629 0.350179 0.029579 0.0337946 116661 41850
0.820060 0.0336445 0.0146492 0.00661252 0.331876 0.0294306 0.0325604 116661 41850
0.812467 0.031913 0.0147516 0.00616042 0.314241 0.029134 0.0314451 116661 41850
0.804873 0.0304472 0.0138793 0.00638145 0.294719 0.0313714 0.027061 116661 41850
0.797279 0.02857 0.0141543 0.00545804 0.279283 0.0317288 0.0264423 116661 41850
0.789685 0.0270956 0.0138202 0.00514388 0.261697 0.034476 0.0239249 116661 41850
0.782092 0.0251669 0.0134734 0.00507139 0.245544 0.0356753 0.0217394 116661 41850
0.774498 0.022904 0.0134117 0.00408834 0.229104 0.034173 0.0207016 116661 41850
0.766904 0.0217896 0.0129116 0.00414794 0.212569 0.0375213 0.0173163 116661 41850
0.759310 0.0196724 0.0139563 0.00328325 0.196894 0.0373204 0.0156034 116661 41850
0.751717 0.0183952 0.0137301 0.00300016 0.182031 0.0412393 0.010967 116661 41850
0.744123 0.0166465 0.0130923 0.00244846 0.169486 0.0395758 0.0103934 116661 41850
0.736529 0.0154636 0.0127741 0.0022361 0.155388 0.0404611 0.00979283 116661 41850
0.728935 0.0140921 0.0133498 0.00162129 0.14411 0.0395166 0.00931425 116661 41850
0.721342 0.0128835 0.0133513 0.0012576 0.13092 0.0411023 0.00620264 116661 41850
0.713748 0.0114348 0.0131278 0.00109171 0.117849 0.0428411 0.00463113 116661 41850
0.706154 0.0105434 0.0127371 0.00126122 0.105329 0.0460903 0.00306076 116661 41850
0.698560 0.00903472 0.0120708 0.000708797 0.0942413 0.0448496 0.00344431 116661 41850
0.690967 0.00789467 0.0119921 0.00066019 0.0841338 0.0466257 0.00229087 116661 41850
0.683373 0.00702891 0.0121072 0.000140445 0.0769654 0.0473908 0.000947066 116661 41850
0.678310 0.00637745 0.012165 0.000410953 0.0714934 0.047878 0.00151805 116661 41850
0.673248 0.00601744 0.0121339 0.000469632 0.0662127 0.0481069 0.000626005 116661 41850
0.668185 0.00519454 0.0118924 0.000213332 0.0605018 0.0467784 0.00126042 116661 41850
0.663123 0.00485166 0.0119718 0.000384586 0.055221 0.0487592 0.000560656 116661 41850
0.658060 0.0044145 0.0124915 0.000537746 0.0496296 0.0493374 0.000556566 116661 41850
0.652998 0.00403734 0.0123093 0.000620106 0.045687 0.0495964 0.000828385 116661 41850
0.647935 0.00355732 0.0119057 0.00069095 0.0411231 0.0503323 0.000704221 116661 41850
0.642873 0.00324873 0.0118774 0.000785841 0.0375866 0.0496756 0.00111089 116661 41850
0.637810 0.00287157 0.0119949 0.000656402 0.0341458 0.0512586 0.000482742 116661 41850
0.632748 0.00240012 0.0124519 0.000433691 0.0307049 0.0522603 0.000567095 116661 41850
0.627685 0.00196295 0.0125954 0.000308474 0.027503 0.0535576 9.87202e-08 116661 41850
0.622623 0.00185152 0.0126352 0.000363176 0.0249462 0.0536932 0 116661 41850
0.617560 0.0017658 0.0123955 0.000440068 0.0221983 0.0539683 0 116661 41850
0.612498 0.00150864 0.0127777 0.000379463 0.0194265 0.0539908 -0.000294343 116661 41850
0.607435 0.00131149 0.0126465 0.0003789 0.0171804 0.0539568 -0.000402657 116661 41850
0.602373 0.00108862 0.0126127 0.000285857 0.0147909 0.0543946 -0.00048009 116661 41850
0.597310 0.000968618 0.0130093 0.000302493 0.0127838 0.0553373 -0.000356853 116661 41850
0.592248 0.000840041 0.0132577 0.000313184 0.0108244 0.0550583 -0.000805917 116661 41850
0.587185 0.000685748 0.0135503 0.000281653 0.00900836 0.0538967 -0.00118735 116661 41850
0.582123 0.000608601 0.013771 0.000207217 0.00733572 0.0545935 -0.00138838 116661 41850
0.577060 0.000514311 0.0146975 0.000207672 0.00645161 0.0542015 -0.000977391 116661 41850
0.571997 0.000300015 0.0143654 0.000106838 0.00547192 0.0559009 -0.00071441 116661 41850
0.566935 0.000214296 0.0142631 7.94258e-07 0.00451613 0.0571583 -0.00094883 116661 41850
0.561872 0.000145721 0.0144344 -2.74309e-05 0.0037276 0.0563818 -0.00112809 116661 41850
0.556810 8.57184e-05 0.01452 -3.99213e-05 0.00284349 0.056069 -0.0012813 116661 41850
0.551747 4.28592e-05 0.0147511 -6.81617e-05 0.00236559 0.0546625 -0.00138158 116661 41850
0.546685 5.14311e-05 0.0147834 -3.93002e-05 0.00215054 0.052019 -0.0010649 116661 41850
0.541622 4.28592e-05 0.0146358 -2.41486e-05 0.00191159 0.0484078 -0.00112155 116661 41850
0.536560 5.14311e-05 0.0148048 -7.2008e-06 0.00181601 0.0472019 -0.000853173 116661 41850
0.531497 4.28592e-05 0.0149262 -2.40767e-06 0.00152927 0.0466931 -0.00074178 116661 41850
0.526435 5.14311e-05 0.0147787 9.91214e-06 0.0013859 0.0452532 -0.000529963 116661 41850
0.521372 4.28592e-05 0.0148741 1.01429e-05 0.00117085 0.0443462 -0.000569308 116661 41850
0.516310 3.42874e-05 0.0156797 1.02142e-05 0.00119474 0.0437494 -0.000194878 116661 41850
0.511247 4.28592e-05 0.0155638 1.8786e-05 0.00105137 0.0433485 -0.000142519 116661 41850
0.506185 3.42874e-05 0.0158282 1.62985e-05 0.000908005 0.0428647 -9.01415e-05 116661 41850
0.501122 3.42874e-05 0.0160455 1.65699e-05 0.000860215 0.0413785 2.19495e-05 116661 41850
0.496060 3.42874e-05 0.0158393 1.80214e-05 0.00078853 0.0405191 8.67032e-06 116661 41850
0.490997 2.57155e-05 0.0161459 1.67263e-05 0.000716846 0.0399406 4.73717e-06 116661 41850
0.485935 3.42874e-05 0.0154731 2.51645e-05 0.000716846 0.0391567 8.17962e-05 116661 41850
0.480872 2.57155e-05 0.0157116 1.67371e-05 0.000645161 0.0392168 7.00768e-05 116661 41850
0.475810 2.57155e-05 0.0152246 1.70726e-05 0.000597372 0.0375525 8.93318e-05 116661 41850
0.470747 2.57155e-05 0.0150402 2.57155e-05 0.000573477 0.0361047 7.03381e-05 116661 41850
0.465685 1.71437e-05 0.0147906 1.71437e-05 0.000501792 0.035316 2.25551e-05 116661 41850
0.460622 1.71437e-05 0.0146688 1.71437e-05 0.000406213 0.0347553 -1.80442e-05 116661 41850
0.455560 1.71437e-05 0.014652 9.32209e-06 0.000406213 0.0344571 0 116661 41850
0.450497 1.71437e-05 0.0150298 1.71437e-05 0.000358423 0.0344531 -1.82615e-06 116661 41850
0.445435 1.71437e-05 0.0150895 1.71437e-05 0.000334528 0.0340897 -3.04662e-05 116661 41850
0.440372 1.71437e-05 0.0155359 1.71437e-05 0.000334528 0.0334794 -2.10998e-05 116661 41850
0.435310 1.71437e-05 0.0158149 1.71437e-05 0.000334528 0.0339454 5.74709e-05 116661 41850
