#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.00357824 0.0153757 0.00432841 0.0287098 -0.00376881 0.0317051 0.00827488 0.0224389 0.00969365 0.0130266 0.0222581 0.0143435 8.625 8.875 43457 2074 114 355 396
9 0.00170094 0.0102722 0.00621641 -0.00147013 0.0183086 0.00875182 0.00857809 0.00596376 0.0105543 0.0149338 0.00628938 0.0150649 8.875 9.125 65120 5882 322 1019 1255
9.25 0.0147426 0.0122738 0.0102223 0.00579018 0.0151694 0.00390158 0.0169721 0.0105143 0.012886 0.0208057 0.0112108 0.0138056 9.125 9.375 260726 32472 2217 5530 6365
9.5 0.0675592 0.0310542 0.0317567 0.0532607 0.0265701 0.0309394 0.077501 0.0375558 0.0393386 0.0918262 0.0433697 0.0418524 9.375 9.625 773440 68967 6308 10018 10895
9.75 0.0937614 0.0335339 0.0178379 0.0962824 0.0372439 0.0212252 0.13913 0.0502825 0.0285984 0.144156 0.0520255 0.0259282 9.625 9.875 1.97132e+06 200970 19901 24836 24309
10 0.131046 0.0427858 0.0193339 0.134726 0.0483328 0.0216217 0.166775 0.0504082 0.0254039 0.168529 0.0546772 0.0239257 9.875 10.125 3.08137e+06 487552 53171 60736 56042
10.25 0.165274 0.0549837 0.0203719 0.174598 0.0588183 0.0220545 0.200369 0.0601157 0.022191 0.199677 0.0588832 0.023205 10.125 10.375 2.37334e+06 498035 58609 63808 55815
