#Peak halo mass range: 11.625 < log10(Mh/Msun) < 11.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 76121 46452
0.994717 0.0342875 0.00774631 0.000535574 0.929411 -0.00212526 0.0196264 76121 46452
0.987123 0.0549651 0.0102811 0.00201417 0.87923 -0.00189918 0.0270891 76121 46452
0.979529 0.0684962 0.0115514 0.00235463 0.847391 -0.00271314 0.0345304 76121 46452
0.971935 0.0796626 0.0116427 0.00522994 0.819556 -0.00295186 0.0391963 76121 46452
0.964342 0.0845496 0.0128061 0.0048629 0.800052 -0.00261664 0.0424832 76121 46452
0.956748 0.0900671 0.0142606 0.0062086 0.778287 -0.00322163 0.0451633 76121 46452
0.949154 0.0931543 0.0157245 0.00605574 0.758826 -0.0012747 0.0457453 76121 46452
0.941560 0.0965305 0.0166235 0.00670868 0.741626 -0.0016284 0.0484387 76121 46452
0.933967 0.0995389 0.0168779 0.00831164 0.725674 -0.00140369 0.0523693 76121 46452
0.926373 0.101023 0.0178172 0.0099465 0.706364 0.0010637 0.0506349 76121 46452
0.918779 0.102534 0.0178216 0.0105671 0.690605 0.00110549 0.0514239 76121 46452
0.911185 0.103677 0.0188146 0.011081 0.674158 0.00127333 0.0541531 76121 46452
0.903592 0.103979 0.0201183 0.0104773 0.657711 0.00155985 0.0543736 76121 46452
0.895998 0.103716 0.0222845 0.00995172 0.64544 0.000988722 0.057934 76121 46452
0.888404 0.106239 0.0219132 0.0110468 0.629381 0.00326604 0.0584282 76121 46452
0.880810 0.106042 0.0235951 0.011321 0.613257 0.00256985 0.0592328 76121 46452
0.873217 0.106791 0.024117 0.0112216 0.596013 0.00445151 0.0579901 76121 46452
0.865623 0.106882 0.0243721 0.0113412 0.581159 0.00595713 0.0575165 76121 46452
0.858029 0.105503 0.0254719 0.0113686 0.568199 0.00666785 0.0597633 76121 46452
0.850435 0.102692 0.0260725 0.0125741 0.554572 0.00931692 0.0588024 76121 46452
0.842842 0.101063 0.0264434 0.0140719 0.543443 0.0105965 0.0583442 76121 46452
0.835248 0.099263 0.027418 0.015287 0.530397 0.0127841 0.0581158 76121 46452
0.827654 0.0960576 0.0284669 0.0156812 0.517846 0.0120708 0.0596443 76121 46452
0.820060 0.0938637 0.0287024 0.016432 0.504349 0.012478 0.0584983 76121 46452
0.812467 0.0909079 0.0295974 0.0161774 0.489085 0.0136932 0.0562012 76121 46452
0.804873 0.0883593 0.0291051 0.0167549 0.472143 0.0157509 0.0524029 76121 46452
0.797279 0.0863756 0.0293327 0.0166536 0.459464 0.015575 0.0514665 76121 46452
0.789685 0.0839322 0.0316513 0.0153653 0.445169 0.0174794 0.051066 76121 46452
0.782092 0.081134 0.0307356 0.015481 0.429411 0.0176799 0.0487474 76121 46452
0.774498 0.0795444 0.0305654 0.0152974 0.41699 0.0170962 0.0497781 76121 46452
0.766904 0.0771535 0.0309393 0.0147036 0.402695 0.018711 0.0473477 76121 46452
0.759310 0.073751 0.0311706 0.0133657 0.385839 0.0182658 0.0446237 76121 46452
0.751717 0.0702697 0.031962 0.012861 0.370275 0.0164654 0.0433752 76121 46452
0.744123 0.0669723 0.0315605 0.0121205 0.354301 0.0192561 0.0390142 76121 46452
0.736529 0.0631232 0.0314945 0.0112317 0.340524 0.019169 0.0393327 76121 46452
