#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0426897 0.120717 0.0373413 0.0782243 0.172941 0.0650023 0.0801075 0.208232 0.0683143 -0.00511978 0.00466033 0.0530706 7.2 7.4 385056 77035 7775 176 0
7.5 0.044791 0.123561 0.0379962 0.0824802 0.179038 0.0678198 0.0913304 0.173217 0.0759334 -0.0058125 0.00524159 0.0548461 7.4 7.6 291518 63217 7679 175 0
7.7 0.0479008 0.123316 0.0404718 0.0821691 0.183313 0.0632111 0.0722137 0.189172 0.0535929 -0.00778634 0.00702474 0.0566259 7.6 7.8 215498 48539 6959 150 0
7.9 0.0522021 0.122273 0.0409347 0.0869217 0.178477 0.0655925 0.111991 0.17289 0.0961664 -0.0101467 0.00898735 0.0575278 7.8 8 157052 35141 6140 131 0
8.1 0.0586739 0.12612 0.0422946 0.0986202 0.172079 0.0721324 0.142463 0.151028 0.113306 -0.0127099 0.0109711 0.0564777 8 8.2 112871 23885 5075 116 0
8.3 0.0642578 0.12874 0.0470409 0.110169 0.167979 0.0732259 0.0615427 0.253437 0.0207922 -0.0163794 0.0135888 0.0561981 8.2 8.4 80363 16258 4117 77 0
8.5 0.0716969 0.125987 0.0485745 0.108693 0.160755 0.0722224 0.1648 0.122711 0.121929 -0.0199827 0.01585 0.0589748 8.4 8.6 57113 10973 3435 92 0
8.7 0.0792382 0.115193 0.0496597 0.11719 0.141174 0.0761656 0.104874 0.213734 0.0615761 -0.023697 0.0176425 0.0603171 8.6 8.8 40325 7325 2683 70 0
8.9 0.0878208 0.12084 0.0542686 0.114939 0.149771 0.0717136 0.259651 0.13132 0.196241 -0.0288108 0.0195326 0.0585977 8.8 9 28387 4750 2080 52 0
9.1 0.104296 0.10264 0.0606476 0.130528 0.113918 0.0810752 0.251631 0.189561 0.136173 -0.0372576 0.0235601 0.0605334 9 9.2 19632 3179 1639 45 0
9.3 0.0990181 0.106117 0.0585442 0.10203 0.124844 0.0551612 0.317421 0.123537 0.208701 -0.0436897 0.0255464 0.0619814 9.2 9.4 13426 1913 1098 36 0
9.5 0.120396 0.0884851 0.0671171 0.119513 0.0863992 0.0724145 0.22693 0.167296 0.0959448 -0.0508475 0.0265676 0.0652917 9.4 9.6 8967 1238 722 36 0
9.7 0.0908226 0.104771 0.0351306 0.0453259 0.1084 0.0323179 0.305359 0.060474 0.154204 -0.0582777 0.0299533 0.0643564 9.6 9.8 6166 778 444 33 0
9.9 0.0981549 0.0976595 0.0472104 0.0169553 0.0848422 0.0146966 0.357807 0.110727 0.188349 -0.070764 0.0321468 0.062396 9.8 10 3991 444 228 21 0
10.1 0.102457 0.0689681 0.0477782 0.0296896 0.0473213 0.0349181 0.450742 0.0781999 0.240629 -0.0755735 0.0325731 0.0735906 10 10.2 2487 264 114 19 0
10.3 0.108703 0.0587581 0.0518607 0.0512485 0.0142001 0.0975995 0.335864 0.117424 0.198279 -0.0641361 0.0172996 0.0837757 10.2 10.4 1690 162 52 15 0
10.5 0.126767 0.103883 0.0469679 -0.014359 0.156967 0.0325135 0.204689 0.153039 0.130262 -0.0810256 0.0210256 0.0638507 10.4 10.6 1052 77 15 14 0
10.7 0.152857 0.0497465 0.108503 0.167563 0.0315114 0.229803 0.0604199 0.195563 0.0239182 -0.0824373 0.0191962 0.0813054 10.6 10.8 609 51 8 14 0
10.9 0.00868745 0.206568 -0.0198491 -0.124646 0.243396 0.0244769 0.303926 0.132809 0.262312 -0.124646 0.0519186 0.0489876 10.8 11 383 30 5 7 0
11.1 0.447368 -0.0989148 0.394832 -0.0526316 0.00227187 0.129187 0.280702 0.0269906 0.426001 -0.0526316 0.000548247 0.133936 11 11.2 143 10 1 3 0
11.3 -0.104478 0.533856 -0.0175211 -0.104478 0.0590231 0.0906443 -0.104478 0.241733 0.0591587 -0.104478 0.0544776 0.0906443 11.2 11.4 69 2 0 1 0
11.5 -0.0588235 0.773109 0.182556 -0.0588235 -0.0152505 0.241176 -0.0588235 0.72549 0.191176 -0.0588235 -0.0152505 0.241176 11.4 11.6 17 0 0 0 0
11.7 0.4 -0.15 0.9 -0.6 0.6 0 0.4 -0.15 0.9 -0.6 0.6 0 11.6 11.8 6 1 0 1 0
11.9 0 0 0.5 0 0 0.5 0 0 0.5 0 0 0.5 11.8 12 1 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
