#Observed stellar mass range: 12 < log10(M*/Msun) < 12.2
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 1 0 1 1 0 0 1 33
0.994717 1 0 1 1 0 0.0169492 1 33
0.987123 1 0 1 1 0 0.030303 1 33
0.979529 1 0 1 1 0 0.02 1 33
0.971935 1 0 1 1 0 0.0185185 1 33
0.964342 1 0 1 1 0 0 1 33
0.956748 1 0 1 1 0 0 1 33
0.949154 1 0 1 1 0 0 1 33
0.941560 1 0 1 1 0 0 1 33
0.933967 1 0 1 1 0 0 1 33
0.926373 1 0 1 1 0 0 1 33
0.918779 1 0 1 1 0 0 1 33
0.911185 1 0 1 1 0 0.027027 1 33
0.903592 1 0 1 1 0 0.0277778 1 33
0.895998 1 0 1 1 0 0.0196078 1 33
0.888404 1 0 1 1 0 0.0277778 1 33
0.880810 1 0 1 1 0 0 1 33
0.873217 1 0 1 1 0 0 1 33
0.865623 1 0 1 1 0 0 1 33
0.858029 1 0 1 1 0 0 1 33
0.850435 1 0 1 1 0 0.02 1 33
0.842842 1 0 1 1 0 0 1 33
0.835248 1 0 1 1 0 0.03125 1 33
0.827654 1 0 1 0.969697 0.030303 0.0105133 1 33
0.820060 1 0 1 1 0 0.0204082 1 33
0.812467 1 0 1 1 0 0.0204082 1 33
0.804873 1 0 1 1 0 0.0333334 1 33
0.797279 1 0 1 1 0 0.037037 1 33
0.789685 1 0 1 1 0 0.047619 1 33
0.782092 1 0 1 0.969697 0.030303 0.0162086 1 33
0.774498 1 0 1 1 0 0.0454546 1 33
0.766904 1 0 1 1 0 0.04 1 33
0.759310 1 0 1 1 0 0.0392157 1 33
0.751717 1 0 1 0.969697 0.030303 0.0151516 1 33
0.744123 1 0 1 1 0 0.0227273 1 33
0.736529 1 0 1 1 0 0.0285714 1 33
0.728935 1 0 1 1 0 0.0322581 1 33
0.721342 1 0 1 1 0 0.0392157 1 33
0.713748 1 0 1 1 0 0.05 1 33
0.706154 1 0 1 1 0 0.0444444 1 33
0.698560 1 0 1 1 0 0.0357143 1 33
0.690967 1 0 1 1 0 0.0232558 1 33
0.683373 1 0 1 1 0 0.0204082 1 33
0.678310 1 0 1 1 0 0.02 1 33
0.673248 1 0 1 1 0 0.0238096 1 33
0.668185 1 0 1 1 0 0.0196078 1 33
0.663123 1 0 1 1 0 0 1 33
0.658060 1 0 1 1 0 0 1 33
0.652998 1 0 1 1 0 0 1 33
0.647935 1 0 1 1 0 0 1 33
0.642873 1 0 1 1 0 0.0238096 1 33
0.637810 1 0 1 1 0 0.0238096 1 33
0.632748 1 0 1 1 0 0.0434783 1 33
0.627685 1 0 1 1 0 0.030303 1 33
0.622623 1 0 1 1 0 0.0333334 1 33
0.617560 1 0 1 1 0 0.0344828 1 33
0.612498 1 0 1 1 0 0.037037 1 33
0.607435 1 0 1 1 0 0.04 1 33
0.602373 1 0 1 1 0 0 1 33
0.597310 1 0 1 1 0 0 1 33
0.592248 1 0 1 1 0 0 1 33
0.587185 1 0 1 1 0 0.027027 1 33
0.582123 1 0 1 1 0 0.0285714 1 33
0.577060 1 0 1 1 0 0.0232558 1 33
0.571997 1 0 1 1 0 0.0285714 1 33
0.566935 1 0 1 0.969697 0.030303 0.0151516 1 33
0.561872 1 0 1 1 0 0.0384616 1 33
