#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0.736842 0 0 0.842105 0 0 1 0 8.625 8.875 39948 236 329 110
9.00 0 0.691358 0 0 0.740741 0 0 0.818182 0 8.875 9.125 72259 880 1279 431
9.25 0.5 0.211009 0.5 0 0.74744 0 0 0.74344 0 9.125 9.375 342362 6507 9043 3284
9.50 0 0.713363 0 1 0 0.5 0 0.782003 0 9.375 9.625 1.38021e+06 26616 27636 9123
9.75 0.25 0.521034 0.03125 0.357143 0.502176 0.0532213 0.333333 0.483539 0.190476 9.625 9.875 3.45277e+06 68275 55402 16587
10.00 0.142857 0.756261 0 0.333333 0.570142 0.333333 0 0.910256 0 9.875 10.125 4.06803e+06 97609 73734 21161
10.25 0.5 0.430939 0.277778 0.25 0.663992 -0.0833333 0 0.923267 0 10.125 10.375 2.80915e+06 94449 65764 18450
10.50 1 -0.0655499 0.333333 1 0 0.25 0 0.942149 0 10.375 10.625 1.75013e+06 82296 51997 14113
10.75 0 0.925581 -0.693007 0.875 0.0792857 0.075 1 -0.0196078 0.225166 10.625 10.875 1.08473e+06 67956 37551 10023
11.00 0.823529 0.104261 0.0358081 0.810811 0.124673 0.0173326 0.8 0.152381 0.0259372 10.875 11.125 637199 49444 25527 6417
11.25 0.917808 0.00425339 0.127548 0.885714 0.0389029 0.097742 0.92 0.0070073 0.150088 11.125 11.375 361510 32905 16586 4026
11.50 0.901961 0.0115528 0.128405 0.904594 0.0106606 0.135989 0.851429 0.0490689 0.119286 11.375 11.625 205557 18107 11130 2485
11.75 0.850427 0.0231647 0.0797452 0.855658 0.0173395 0.106521 0.843243 0.0189012 0.118791 11.625 11.875 115817 5529 7500 1646
12.00 0.810458 -0.0121382 0.10485 0.777022 0.0161741 0.0807228 0.746765 0.027992 0.0762226 11.875 12.125 64910 570 5108 996
12.25 0.707317 0.0558408 0.0482261 0.600478 0.0287439 0.0576702 0.573333 0.0313178 0.0578506 12.125 12.375 35546 58 3321 668
12.50 0.5 0.0625 0.0555556 0.413606 0.038627 0.063334 0.387173 0.0352185 0.0622886 12.375 12.625 19265 19 1852 447
12.75 0.714286 0.0357143 0.114286 0.272727 0.0612808 0.0680594 0.278846 0.0318335 0.0518725 12.625 12.875 9964 7 579 328
13.00 0 0 0 0.210526 0.0639835 0.0526316 0.154589 0.0369994 0.0252361 12.875 13.125 5031 0 58 210
13.25 0 0 0 1 0 0 0.0813008 0.0289354 0.0243902 13.125 13.375 2386 0 1 127
13.50 0 0 0 0 0 0 0.0266667 0.0418265 0.0133333 13.375 13.625 1057 0 0 76
13.75 0 0 0 0 0 0 0.136364 0 0.0454545 13.625 13.875 424 0 0 22
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 152 0 0 2
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 28 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 2 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 2 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
