#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.181938 0.0580427 0.0157628 0.188998 0.0653816 0.0166436 0.217335 0.0676258 0.0166402 0.204623 0.0693081 0.0112013 7.2 7.4 749709 178957 21768 23007 20387
7.5 0.189098 0.0556607 0.0174964 0.193183 0.0588344 0.0186389 0.229772 0.0596905 0.0202003 0.220871 0.0628973 0.0194258 7.4 7.6 647321 166944 21241 22346 19512
7.7 0.199353 0.053331 0.0186844 0.198607 0.0593973 0.0187503 0.228983 0.0634567 0.0186369 0.232148 0.0544309 0.0261757 7.6 7.8 540218 147808 19209 20587 17910
7.9 0.210042 0.055904 0.0189496 0.207463 0.0583052 0.0185688 0.243214 0.0639422 0.0233546 0.235067 0.0601835 0.0186181 7.8 8 440211 126912 17312 18208 15771
8.1 0.234988 0.0552872 0.0265413 0.222314 0.0555894 0.0266811 0.258738 0.0652295 0.0223619 0.247683 0.0634488 0.0193467 8 8.2 353625 107054 14968 15947 13799
8.3 0.263265 0.0563756 0.0283591 0.243916 0.0521015 0.0330844 0.283569 0.0639339 0.0227495 0.273765 0.0649132 0.0245453 8.2 8.4 284560 92445 13280 14107 11853
8.5 0.269794 0.0635613 0.0230983 0.257463 0.0591727 0.0250411 0.289598 0.0621138 0.0244677 0.284562 0.0674537 0.024143 8.4 8.6 233530 83051 12017 12567 10625
8.7 0.264583 0.0592082 0.0240843 0.255797 0.0572086 0.0250082 0.286143 0.0623693 0.0252318 0.281179 0.0573071 0.0243692 8.6 8.8 192463 72456 11172 10853 9068
8.9 0.259342 0.0638042 0.0208039 0.251175 0.0571795 0.0240518 0.274789 0.0675639 0.017104 0.275731 0.0628846 0.0169666 8.8 9 156762 59697 9764 9273 7775
9.1 0.264741 0.0588131 0.0225711 0.254228 0.0466791 0.0293217 0.28773 0.0619932 0.0221933 0.293104 0.0535875 0.0257217 9 9.2 127543 48208 8446 7836 6619
9.3 0.26709 0.0616619 0.0204899 0.237168 0.0551145 0.0209225 0.274613 0.0620657 0.01638 0.287699 0.0659475 0.0146857 9.2 9.4 106505 39632 7045 6540 5522
9.5 0.268473 0.0583959 0.0187246 0.218179 0.0607065 0.0194563 0.28104 0.0563668 0.0199072 0.29188 0.0536431 0.0198866 9.4 9.6 89473 32993 5488 5658 4846
9.7 0.272711 0.0570198 0.0234252 0.202513 0.0610554 0.0226992 0.292222 0.0572198 0.0242556 0.306867 0.0473908 0.0323919 9.6 9.8 76211 27556 4134 4920 4237
9.9 0.269256 0.0643006 0.0140289 0.188254 0.0686557 0.0256119 0.280293 0.0671124 0.012641 0.297748 0.0581187 0.0158008 9.8 10 64783 23114 2636 4255 3784
10.1 0.275527 0.0599323 0.017369 0.162698 0.072855 0.0334651 0.283926 0.0587016 0.0136948 0.305169 0.0612017 0.0133178 10 10.2 56988 19977 1631 4018 3332
10.3 0.289744 0.0504897 0.0248882 0.146534 0.0711904 0.0403915 0.307334 0.0469248 0.0264592 0.303635 0.0477093 0.0237845 10.2 10.4 49870 16916 745 3575 3069
10.5 0.278242 0.0506023 0.0219757 0.13405 0.111125 0.0421728 0.278528 0.048985 0.0180807 0.303592 0.0511347 0.0204338 10.4 10.6 42915 14075 304 3305 2666
10.7 0.260752 0.0405087 0.0192412 0.163829 0.115306 0.061981 0.252271 0.0374739 0.0210726 0.286104 0.0392553 0.0142489 10.6 10.8 34642 10756 129 2523 2261
10.9 0.219472 0.0324126 0.0198277 0.255836 0.0903046 0.071291 0.188533 0.0471902 0.0186167 0.263829 0.0221464 0.0348061 10.8 11 23746 6891 34 1540 1597
11.1 0.158127 0.0382383 0.0261056 0.0915017 0.154523 0.0985999 0.105856 0.0496944 0.0281494 0.193551 0.0334221 0.0441077 11 11.2 13161 3343 11 627 914
11.3 0.115176 0.0237821 0.0438141 -0.767316 0.979763 0.0744764 0.0839236 0.0199346 0.0765049 0.123823 0.0368429 0.0395136 11.2 11.4 5888 1268 0 121 395
11.5 0.0681223 0.0274079 0.0420553 -0.869021 0.0559877 0.0645221 0.0476462 0.084677 0.0757105 0.0703734 0.0222738 0.0392537 11.4 11.6 2106 350 0 12 132
11.7 0.0411486 0.024219 0.0303376 -0.928082 0.0489455 0.0379179 -0.928082 0.0489455 0.0379179 0.0192863 0.0397199 0.0671551 11.6 11.8 649 65 0 0 19
11.9 -0.0515611 0.0848944 0.0133962 -0.980132 0.0530939 0.00111753 -0.980132 0.0530939 0.00111753 0.0198675 0.050555 0.00347412 11.8 12 165 14 0 0 3
12.1 0 0.0196078 1 -1 0.0416667 0 -1 0.0416667 0 -1 0.0487805 0 12 12.2 32 1 0 0 0
12.3 -1 0 0 -1 0 0 -1 0 0 -1 0 0 12.2 12.4 3 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
