#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.00408662 0.0232668 0.00374562 0.0324139 0.107134 0.0291792 0.0340148 0.120954 0.0310207 0.046853 0.126521 0.0414095 0.0434947 0.121568 0.0379525 7.2 7.4 695225 512649 182576 28958 24118 13243
7.5 0.00365676 0.021307 0.00314151 0.0332098 0.10725 0.0277744 0.0360326 0.117837 0.0307837 0.0436184 0.12858 0.0351356 0.0393215 0.118078 0.0321119 7.4 7.6 565906 410199 155707 26143 21413 11673
7.7 0.0035708 0.020052 0.00279642 0.0360339 0.111222 0.0260785 0.0363056 0.116973 0.0268433 0.0472567 0.123079 0.0341592 0.0432068 0.118264 0.0304975 7.6 7.8 460184 325977 134207 23798 18664 10091
7.9 0.00325954 0.019231 0.00205288 0.0366052 0.11021 0.0204806 0.0360579 0.113913 0.0221918 0.0448737 0.120899 0.0234556 0.0407823 0.117777 0.0208969 7.8 8 380563 258012 122551 22658 17137 8999
8.1 0.00338883 0.0188288 0.00142631 0.0349456 0.103271 0.0124903 0.033763 0.10744 0.0138077 0.0457436 0.116152 0.0147179 0.0436659 0.109711 0.0151129 8 8.2 313354 202725 110629 21414 15412 7878
8.3 0.00400884 0.0187888 0.000719726 0.0375238 0.0971298 0.00669452 0.0358472 0.100094 0.0079466 0.0465912 0.11153 0.00377313 0.0480986 0.107131 0.00714526 8.2 8.4 251335 157901 93434 19081 13436 6653
8.5 0.00479751 0.0186237 -7.1825e-05 0.0435283 0.0898798 -0.00284286 0.0422671 0.0886087 -4.88386e-06 0.057153 0.10245 -0.00362465 0.0495976 0.108267 -0.00826502 8.4 8.6 197899 123189 74710 16656 11233 5343
8.7 0.00683463 0.0187724 -0.000826401 0.0544423 0.0859998 -0.0103343 0.0514009 0.0790942 -0.00567218 0.0665613 0.100105 -0.0138613 0.0670171 0.0988897 -0.0111927 8.6 8.8 154904 96567 58337 13813 9495 4566
8.9 0.0104288 0.0191073 -0.0014888 0.0734822 0.0782085 -0.0122756 0.060704 0.0758418 -0.0104565 0.0919046 0.0887671 -0.0121878 0.0969713 0.082993 -0.0068141 8.8 9 121917 76423 45494 11449 7671 3764
9.1 0.0150096 0.0181465 -0.00123192 0.0991799 0.075025 -0.0157444 0.0754151 0.0674737 -0.0115583 0.11832 0.0888346 -0.0164295 0.114831 0.0826212 -0.0119624 9 9.2 98032 61694 36338 9335 6381 3196
