#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0318447 0.0824836 0.027225 0.0341691 0.0947064 0.0300174 0.0451658 0.101586 0.037565 0.0412021 0.0968271 0.0346485 7.2 7.4 699235 183318 28912 24255 13547
7.5 0.0326981 0.0824303 0.0252413 0.0340181 0.0917654 0.0272395 0.0438696 0.102072 0.0326739 0.0405313 0.0950592 0.0313706 7.4 7.6 567778 156204 25981 21375 12308
7.7 0.0359469 0.0841414 0.0239942 0.0373809 0.0922419 0.026552 0.0444546 0.101955 0.0279266 0.0411142 0.094044 0.0271981 7.6 7.8 463190 133990 23432 18968 10439
7.9 0.0373704 0.0859786 0.0183207 0.0391874 0.0884296 0.0223019 0.0482496 0.0957057 0.0231898 0.0414878 0.0946444 0.0188005 7.8 8 381087 121529 22038 17011 9319
8.1 0.0375081 0.0787457 0.0125491 0.0361335 0.0818303 0.0140545 0.0472912 0.0923124 0.013603 0.0441256 0.089987 0.0109835 8 8.2 313852 110318 21102 15471 8138
8.3 0.0382278 0.0719871 0.00395469 0.0361138 0.0758697 0.00518739 0.0491732 0.0877201 0.00495401 0.0488383 0.0796761 0.00610179 8.2 8.4 253492 94191 19000 13739 6931
8.5 0.0451973 0.0664847 -0.00311366 0.0429731 0.0665634 -0.000217829 0.0572513 0.0833167 -0.00551293 0.0572058 0.0784228 -0.00439274 8.4 8.6 199468 74985 16402 11171 5677
8.7 0.0539163 0.0643304 -0.00796439 0.0519849 0.0564711 -0.00377217 0.067714 0.0734946 -0.00885065 0.066125 0.0826466 -0.0113533 8.6 8.8 155397 58652 13638 9534 4654
8.9 0.0707339 0.0600987 -0.00896236 0.0593185 0.0555279 -0.00825567 0.0863492 0.0707102 -0.0115607 0.0910525 0.0700583 -0.00689629 8.8 9 123142 46219 11451 7736 3910
9.1 0.0925748 0.0580862 -0.00735817 0.0689264 0.0527585 -0.00477348 0.11726 0.0625707 -0.00594761 0.116722 0.0599432 -0.0021578 9 9.2 99012 36714 9208 6652 3317
