#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 1.73136e-05 0.0212951 -3.65846e-07 0.000132501 0.122122 0.000113375 0.000117161 0.146532 0.000117161 0.000249688 0.1622 0.000249688 0 0.159734 0 7.2 7.4 635648 462065 173583 34141 12015 530
7.5 3.39752e-05 0.0192911 1.28939e-05 0.000183389 0.121122 0.000122979 0.000201845 0.144075 0.000152522 0.000883548 0.160003 0.000787191 0 0.148305 0 7.4 7.6 516786 353199 163587 34680 11318 495
7.7 2.59207e-05 0.0188843 7.93151e-06 0.000461337 0.116576 0.000294771 0.000602464 0.135626 0.000438519 0.000952562 0.154186 0.000637337 0 0.136201 0 7.6 7.8 415284 270054 145230 33197 10498 510
7.9 8.20642e-05 0.0177419 4.42622e-05 0.000976612 0.111863 0.00060077 0.00133569 0.129468 0.000879761 0.00273713 0.145642 0.00166634 0 0.139194 0 7.8 8 324909 207155 117754 29947 9499 412
8.1 0.000166651 0.0181274 6.25402e-05 0.00233622 0.109777 0.00142081 0.00293703 0.123468 0.00186884 0.00498567 0.144677 0.00304227 0.00257069 0.140286 0.000184059 8 8.2 252760 162015 90745 25536 8023 389
8.3 0.000437989 0.0188 0.000160054 0.00422414 0.111613 0.00213033 0.00500162 0.11552 0.00242314 0.00588668 0.14717 0.00299609 0.00903614 0.135195 0.00646545 8.2 8.4 194227 125574 68653 21593 6795 332
8.5 0.00125445 0.0195639 0.000695477 0.00818966 0.108506 0.00361632 0.00785067 0.11351 0.00342493 0.0145359 0.144183 0.00728953 0.0153846 0.167766 0.00789398 8.4 8.6 151906 99645 52261 18215 5710 260
8.7 0.00247318 0.0209722 0.000994988 0.0149853 0.111265 0.00626882 0.0118145 0.109566 0.00459753 0.023888 0.137914 0.0107707 0.0262009 0.151369 0.0034736 8.6 8.8 116738 77633 39105 14643 4856 229
8.9 0.00486067 0.0233443 0.00134133 0.0275645 0.106886 0.0100509 0.0176211 0.0922336 0.00627826 0.0514778 0.132087 0.0226392 0.0564103 0.0706616 0.0276746 8.8 9 89811 60897 28914 11123 4060 195
9.1 0.00965541 0.0251591 0.00239376 0.045866 0.100063 0.0144754 0.0259724 0.0798484 0.00992521 0.0702255 0.128914 0.021708 0.0597015 0.129488 0.0155838 9 9.2 68654 47331 21323 7970 3503 134
9.3 0.0181431 0.026953 0.00467661 0.0684816 0.104178 0.0164612 0.0303927 0.0796463 0.00864083 0.102987 0.130449 0.0244655 0.125984 0.117918 0.048398 9.2 9.4 52558 37094 15464 5067 2913 127
9.5 0.0314251 0.0294608 0.00622935 0.102683 0.118576 0.0194477 0.0343059 0.0857633 0.00789864 0.152156 0.136074 0.0381383 0.15625 0.110417 0.0430425 9.4 9.6 39993 28735 11258 3119 2458 96
9.7 0.0524035 0.0318471 0.0103248 0.156922 0.100262 0.0310593 0.0449242 0.082533 0.00677262 0.216963 0.111783 0.0438493 0.264368 0.0550766 0.106473 9.6 9.8 31171 22842 8329 1714 2134 87
9.9 0.0828555 0.0306008 0.0154553 0.194534 0.11203 0.0315078 0.0551724 0.0791914 0.0150307 0.255593 0.116568 0.049395 0.25 0.0972222 0.0472973 9.8 10 25193 19009 6184 870 1788 64
10.1 0.122377 0.0327222 0.0182675 0.266299 0.0899903 0.0432232 0.0978836 0.0700176 0.0235979 0.347222 0.0840779 0.0582891 0.333333 0.0748299 0.0430108 10 10.2 20578 15869 4709 378 1584 60
