#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0912235 0.0749132 0.0244481 0.0995981 0.078515 0.0301641 0.114741 0.091457 0.0265742 0.11155 0.0886683 0.0219157 7.2 7.4 720528 185447 25700 24627 18620
7.5 0.0923461 0.0726692 0.0139601 0.0959379 0.0751382 0.0167826 0.118034 0.0821646 0.0175144 0.112043 0.0795232 0.014155 7.4 7.6 603491 163401 23813 22474 16957
7.7 0.100436 0.0682216 0.00979428 0.102689 0.0706516 0.0143315 0.123244 0.0769338 0.0105903 0.113809 0.0769891 0.00874048 7.6 7.8 493651 138959 21195 19815 14750
7.9 0.117506 0.0626763 0.00983321 0.116455 0.0619099 0.0134786 0.135898 0.0739426 0.0068235 0.127892 0.0693852 0.0049092 7.8 8 400022 117967 18758 17334 12693
8.1 0.13405 0.0634795 0.00346747 0.12959 0.0624451 0.00622369 0.151573 0.0694624 0.0045096 0.144263 0.0677933 0.00269084 8 8.2 325713 104880 17079 15473 11138
8.3 0.138184 0.0605862 0.000342056 0.13274 0.0599925 0.0028491 0.159618 0.065999 0 0.149716 0.0618729 -0.00040558 8.2 8.4 267629 95323 16181 13977 9858
8.5 0.146254 0.0532361 0.00144821 0.142258 0.0486365 0.00605553 0.165374 0.0627846 -0.000809357 0.16812 0.0599272 -0.00060913 8.4 8.6 215320 81420 14487 12109 8442
8.7 0.157103 0.054391 0.00239691 0.146459 0.0505088 0.00270303 0.181779 0.058632 0.0026768 0.187087 0.0549219 0.0062052 8.6 8.8 171659 65857 12449 10376 7080
8.9 0.173538 0.0517009 0.0028332 0.164228 0.0406554 0.0133486 0.198651 0.054265 0.00432542 0.196801 0.0582944 0.00231014 8.8 9 137591 53019 10833 8698 5988
9.1 0.191722 0.0491686 0.00411029 0.166328 0.0411366 0.0114473 0.220403 0.0560489 0.0048418 0.219613 0.0579616 0.00604278 9 9.2 112633 42437 8948 7202 4913
9.3 0.206374 0.0473146 0.00657415 0.15618 0.0448012 0.00837058 0.233168 0.0527198 0.0101839 0.237043 0.049437 0.00969234 9.2 9.4 93963 35451 7491 6282 4297
9.5 0.222971 0.0458201 0.00970793 0.156832 0.0414292 0.0122539 0.239171 0.0538166 0.00453389 0.251135 0.0474806 0.00882959 9.4 9.6 80433 29641 5828 5543 3887
9.7 0.241914 0.0447449 0.00860193 0.150525 0.053467 0.00657824 0.270484 0.0398928 0.0180793 0.271588 0.042182 0.0178471 9.6 9.8 70240 25320 4423 4965 3402
9.9 0.249101 0.0464935 0.0077917 0.116425 0.0697789 0.00640723 0.287 0.0388028 0.0165174 0.294556 0.0457183 0.0139513 9.8 10 62192 21900 3008 4553 3250
