#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 -2.19456e-05 0.103622 -1.18207e-05 -3.89981e-05 0.12418 -1.83581e-05 -3.89981e-05 0.130996 -2.67643e-05 -3.89981e-05 0.121923 -1.33122e-05 7.2 7.4 663130 175927 32930 20015 4761
7.5 2.0815e-06 0.10613 0 -1.06444e-05 0.120568 1.83284e-06 -1.06444e-05 0.134529 -2.17522e-05 -1.06444e-05 0.128346 4.26529e-06 7.4 7.6 532945 157160 31442 18152 4271
7.7 1.02372e-05 0.100737 -1.0726e-05 -3.44643e-06 0.112681 -1.39191e-05 5.69765e-05 0.130003 1.43995e-05 -3.44643e-06 0.120908 -9.70071e-07 7.6 7.8 436315 146160 30824 16550 3898
7.9 4.88709e-05 0.0912433 -1.54996e-05 2.9772e-05 0.102242 -2.00825e-05 0.000192853 0.120399 1.71029e-07 0.000285276 0.112042 1.49716e-06 7.8 8 358065 131376 29254 15208 3452
8.1 0.000177797 0.0870353 0 0.000251285 0.0936592 -1.20512e-05 0.000439562 0.117946 2.55523e-05 0.00100293 0.114153 0.00037689 8 8.2 286703 107926 26113 13148 2942
8.3 0.000463234 0.084147 -2.72274e-05 0.000353895 0.0906739 -0.000266987 0.000879959 0.110214 0 0.00116247 0.101194 -1.86278e-05 8.2 8.4 225569 85043 22160 11273 2565
8.5 0.00124231 0.0858377 -7.36404e-05 0.00078775 0.0867568 -0.000104589 0.00177851 0.11232 -0.000476029 0.0016866 0.101013 -0.000770062 8.4 8.6 177936 65871 18803 9240 2155
8.7 0.00351675 0.0853635 -9.3628e-05 0.00139186 0.0768742 -0.00115144 0.00685375 0.105797 -0.000573394 0.0115005 0.107147 0.00332133 8.6 8.8 137965 50437 15589 7648 1671
8.9 0.0088047 0.0830694 -0.000114137 0.00440098 0.0668673 0 0.0122026 0.114211 -0.000196341 0.0105071 0.100163 -0.00579333 8.8 9 106517 38440 12329 6520 1404
9.1 0.0171758 0.0822645 -0.00019969 0.0051419 0.0645744 -0.00196664 0.0290585 0.0979582 0.000732284 0.030311 0.101809 0.00343844 9 9.2 82762 29265 9293 5336 1162
9.3 0.0334292 0.0791788 0.00440402 0.00992202 0.0578272 0.000239769 0.0479113 0.0954981 0.00367542 0.0455256 0.104596 0.00570772 9.2 9.4 65477 22509 6643 4540 958
9.5 0.0579357 0.0813574 0.0115393 0.0122926 0.0573135 0.00374168 0.0885366 0.0887617 0.0176821 0.0848765 0.0824072 0.0183474 9.4 9.6 52779 17970 4589 3902 824
9.7 0.0875359 0.0779605 0.0150381 -0.00500675 0.070742 0.00291527 0.132903 0.0830799 0.0237281 0.126711 0.0859136 0.023732 9.6 9.8 44275 14508 2866 3656 710
