#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.00335582 0.0337575 0.00318969 0 0.0548523 0 0 0 0 0 0 0 0 0 0 8.625 8.875 30334 30097 237 0 0 0
9.00 0.00406568 0.0374305 0.00388207 0.00961538 0.0817308 0.00961538 0 0 0 0 0 0 0 0 0 8.875 9.125 38332 38124 208 0 0 0
9.25 0.00321205 0.0301746 0.00298547 0.0101523 0.0634518 0.0101523 0 0 0 0 0 0 0 0 0 9.125 9.375 75424 75030 394 0 0 0
9.50 0.00471815 0.0416787 0.00439036 0.012926 0.0963572 0.012926 0 0 0 0 0 0 0 0 0 9.375 9.625 101526 100675 851 0 0 0
9.75 0.0106976 0.0724492 0.00969094 0.0532915 0.142951 0.0491074 0 0 0 0 0 0 0 0 0 9.625 9.875 67514 66557 957 0 0 0
10.00 0.0162149 0.0930223 0.014183 0.0707396 0.202572 0.0592829 0 0 0 0 0 0 0 0 0 9.875 10.125 25229 24607 622 0 0 0
10.25 0.0194503 0.0995067 0.017759 0.087963 0.212963 0.073745 0 0 0 0 0 0 0 0 0 10.125 10.375 7311 7095 216 0 0 0
10.50 0.0205714 0.116571 0.0188571 0.0789474 0.272404 0.0789474 0 0 0 0 0 0 0 0 0 10.375 10.625 1788 1750 38 0 0 0
10.75 0.0208333 0.135417 0.0182292 0 0.285714 0 0 0 0 0 0 0 0 0 0 10.625 10.875 391 384 7 0 0 0
11.00 0.0833333 0.0666667 0.0666667 0 0 0 0 0 0 0 0 0 0 0 0 10.875 11.125 62 60 2 0 0 0
11.25 0 0.285714 0 0 0 0 0 0 0 0 0 0 0 0 0 11.125 11.375 7 7 0 0 0 0
11.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.375 11.625 1 1 0 0 0 0
11.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.625 11.875 0 0 0 0 0 0
12.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.875 12.125 0 0 0 0 0 0
12.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.125 12.375 0 0 0 0 0 0
12.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.375 12.625 0 0 0 0 0 0
12.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.625 12.875 0 0 0 0 0 0
13.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0 0
13.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0 0
