#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.0684936 0.0617378 0.0643708 0.0876549 0.0780174 0.0826067 0.0948276 0.0862069 0.0948276 0.113314 0.110482 0.104816 0.0579065 0.0712695 0.0534521 8.625 8.875 31043 28864 2179 116 353 449
9.00 0.115317 0.0999168 0.107628 0.11004 0.100241 0.104578 0.111421 0.114206 0.100279 0.113346 0.0886655 0.107861 0.118271 0.109174 0.109932 8.875 9.125 51873 45648 6225 359 1094 1319
9.25 0.098118 0.100595 0.0893954 0.120004 0.114521 0.108944 0.122662 0.107438 0.111353 0.12057 0.117542 0.110419 0.120109 0.115317 0.109567 9.125 9.375 227109 195010 32099 2299 5615 6261
9.50 0.0535193 0.0586882 0.045307 0.123671 0.102209 0.0913805 0.109885 0.101088 0.0851349 0.134102 0.110844 0.0968159 0.150515 0.11083 0.108931 9.375 9.625 755245 683118 72127 6707 10835 11062
9.75 0.0881095 0.0843052 0.0561449 0.172878 0.127243 0.0840695 0.177807 0.133321 0.0888361 0.212712 0.149189 0.0994345 0.223799 0.14784 0.101513 9.625 9.875 2.02522e+06 1.80506e+06 220161 22322 27234 25514
10.00 0.0675475 0.0606621 0.0362493 0.178591 0.120504 0.0588917 0.183662 0.126699 0.0625452 0.210728 0.130152 0.0632281 0.216059 0.132477 0.0627903 9.875 10.125 3.17729e+06 2.66606e+06 511231 57742 63703 56753
10.25 0.0573639 0.0464263 0.0261534 0.193394 0.105778 0.0413023 0.201716 0.115725 0.0442073 0.22795 0.119319 0.0406447 0.223965 0.116623 0.0406484 10.125 10.375 2.42329e+06 1.9092e+06 514096 62474 66383 55406
10.50 0.0567127 0.0386399 0.0216267 0.213458 0.0908816 0.0309946 0.218878 0.0941862 0.0319382 0.250756 0.0994876 0.0306204 0.247692 0.0977405 0.0299712 10.375 10.625 1.546e+06 1.14858e+06 397418 50937 52880 42791
10.75 0.062847 0.0315177 0.0194103 0.261969 0.0745291 0.0270846 0.255789 0.0769396 0.0287015 0.294015 0.0792775 0.02338 0.294575 0.0787182 0.0236443 10.625 10.875 961923 684535 277388 39083 39015 30858
11.00 0.0775432 0.0272709 0.0201355 0.326611 0.06921 0.0234009 0.307465 0.0645784 0.0235558 0.356506 0.0649854 0.0216874 0.351048 0.0622457 0.019552 10.875 11.125 595233 406844 188389 30101 27360 21000
11.25 0.107729 0.0227171 0.0205526 0.396258 0.0503128 0.0210731 0.368452 0.0501959 0.0292087 0.415113 0.0532081 0.0180995 0.432138 0.0490624 0.0173082 11.125 11.375 356238 243473 112765 21954 17588 13417
11.50 0.15706 0.0177896 0.0221859 0.473018 0.0425009 0.0201589 0.417587 0.0394505 0.0264907 0.486087 0.046021 0.0197908 0.517525 0.0440055 0.0180115 11.375 11.625 210666 146715 63951 13408 11356 8274
11.75 0.221216 0.0157575 0.0254587 0.563255 0.0335077 0.0190574 0.496257 0.0335131 0.0262332 0.574296 0.035194 0.0173318 0.592523 0.0313674 0.0170251 11.625 11.875 124518 88339 36179 4542 7275 5323
12.00 0.307366 0.0230308 0.0342392 0.651472 0.0259146 0.0162373 0.585821 0.0401791 0.0110034 0.667544 0.0253237 0.0177203 0.665582 0.0255186 0.0140629 11.875 12.125 72791 52104 20687 536 4942 3382
12.25 0.409346 0.0352625 0.043942 0.724916 0.0293836 0.01882 0.783133 0.0240964 0.0890149 0.72329 0.0322503 0.0181242 0.721125 0.0270301 0.0196918 12.125 12.375 42256 31223 11033 83 3173 2026
12.50 0.527578 0.0497429 0.0623004 0.804262 0.0286777 0.0246128 0.882353 0 0.0588235 0.802463 0.0265393 0.0288684 0.815217 0.0233161 0.0239063 12.375 12.625 24575 18475 6100 17 1949 1288
12.75 0.640808 0.0547332 0.0670687 0.856753 0.0222065 0.0333038 1 0 0 0.83284 0.0289245 0.0381974 0.846682 0.0297616 0.0352341 12.625 12.875 14246 10944 3302 3 676 874
13.00 0.734106 0.058104 0.0732335 0.899477 0.0233716 0.0277855 0 0 0 0.892308 0.0319347 0.0151147 0.9 0.0234973 0.0208981 12.875 13.125 7934 6213 1721 0 65 560
13.25 0.803557 0.0589052 0.0761323 0.936291 0.0117764 0.0393005 0 0 0 0.818182 0.0909091 0 0.940722 0.00664681 0.0496042 13.125 13.375 4478 3599 879 0 11 388
