#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0.666667 0 0 0.8 0 0 0 0 8.625 8.875 98184 159 125 5
9.00 0 0.575342 0 0 0.641791 0 0 0 0 8.875 9.125 167036 697 480 32
9.25 0 0.598945 0 0 0.647368 0 0 0.666667 0 9.125 9.375 676680 6517 4375 206
9.50 0 0.664586 0 0 0.665395 0 0 0.66187 0 9.375 9.625 2.28397e+06 37174 20353 956
9.75 0 0.696309 0 0 0.742748 0 0 0.69697 0 9.625 9.875 4.48667e+06 87152 38771 1593
10.00 0.5 0.301993 0.5 0 0.812509 0 0 0.793594 0 9.875 10.125 4.13437e+06 100973 41228 1815
10.25 0.428571 0.421429 0.0952381 0.75 0.148058 0.135844 0 1 0 10.125 10.375 2.73502e+06 95371 36411 1634
10.50 0.666667 0.184946 0.666667 1 -0.1 0.405497 0 0.857143 0 10.375 10.625 1.70805e+06 88343 29576 1302
10.75 0.675676 0.166579 0.009009 0.848485 0.0265151 0.165405 0 0.842105 0 10.625 10.875 1.02439e+06 69056 21123 985
11.00 0.774436 0.0904288 0.0938686 0.795455 0.0499063 0.128788 0.5 0.357143 0.5 10.875 11.125 566063 47236 13902 633
11.25 0.783784 0.0534804 0.111999 0.783088 0.0696896 0.13141 0.733333 0.141667 0.0876641 11.125 11.375 308462 30302 9370 431
11.50 0.803859 0.038781 0.142761 0.761269 0.0733424 0.128642 0.735294 0.117647 0.110294 11.375 11.625 166836 15471 6158 237
11.75 0.77027 0.0538038 0.0901971 0.732087 0.0598122 0.128984 0.658537 0.122713 0.0676275 11.625 11.875 88923 4285 4243 155
12.00 0.769231 0.00723982 0.142968 0.691964 0.0520445 0.10494 0.648649 0.108927 0.13252 11.875 12.125 46020 421 2727 102
12.25 0.4 0.145455 0.127273 0.610009 0.0488472 0.0754112 0.64 0.0673171 0.0481632 12.125 12.375 23191 22 1736 70
12.50 0.5 0 0.5 0.506192 0.0438875 0.0789056 0.527778 0.0277778 0.0953453 12.375 12.625 11181 2 892 48
12.75 1 0 0 0.413613 0.0759708 0.067641 0.305556 0.138889 0.0352853 12.625 12.875 5135 1 246 39
13.00 1 0 0 0.333333 0.0740741 0.1 0.2 0.08 0.08 12.875 13.125 2123 1 32 25
13.25 0 0 0 0 0 0 0.428571 0.032967 0.197802 13.125 13.375 814 0 0 14
13.50 0 0 0 0 0 0 0 0.142857 0 13.375 13.625 272 0 0 6
13.75 0 0 0 0 0 0 0 0 0 13.625 13.875 72 0 0 0
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 7 0 0 0
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 1 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
