#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -0.000129481 0.0142083 -8.75984e-05 -0.00148844 0.00144656 0.0564576 -0.00148844 0.00144656 0.0564576 -0.00148844 0.00144656 0.0564576 8.625 8.875 315543 5151 0 0 0
9 0.00198845 0.0243948 0.00200964 -0.00234806 0.00232687 0.0398493 -0.00234806 0.00226965 0.0690136 -0.00234806 0.00226965 0.0690136 8.875 9.125 477643 5765 10 0 0
9.25 0.00324292 0.0324998 0.00322496 0.0116529 0.078631 0.0116658 -0.00298128 0.00283463 0.064564 -0.00298128 0.00283463 0.064564 9.125 9.375 1.25682e+06 15745 205 0 0
9.5 0.0042369 0.0356693 0.00395201 0.0225423 0.0814458 0.0213211 -0.00527728 0.23822 0.00079869 -0.00527728 0.0049257 0.069191 9.375 9.625 2.33341e+06 72208 1330 7 0
9.75 0.0123937 0.0635586 0.0112191 0.0384436 0.14367 0.0344557 -0.00688887 0.132414 0.0158519 -0.00688887 0.00631819 0.0729156 9.625 9.875 2.34142e+06 135252 2978 10 0
10 0.035685 0.102222 0.0316831 0.0836964 0.197286 0.0714811 -0.00779192 0.234037 -0.00591182 -0.00779192 0.00713911 0.080897 9.875 10.125 1.49959e+06 133174 3924 14 0
10.25 0.0669174 0.143485 0.0557913 0.12178 0.20751 0.0976402 0.204206 0.21862 0.204208 -0.0100794 0.00918186 0.0849218 10.125 10.375 784869 107446 3754 14 0
10.5 0.0872046 0.14091 0.0692824 0.138153 0.202531 0.106736 0.0697909 0.187908 0.0429897 -0.0135424 0.0123835 0.0843187 10.375 10.625 362590 47654 2683 12 0
10.75 0.104717 0.123959 0.0761344 0.183973 0.166403 0.125565 -0.0208132 0.397355 0.000652384 -0.0208132 0.0185053 0.0879526 10.625 10.875 160223 17669 1797 7 0
11 0.111593 0.100485 0.0745638 0.202644 0.145649 0.12642 0.367499 0.196934 0.368638 -0.0325007 0.0272403 0.100451 10.875 11.125 66159 6468 1178 5 0
11.25 0.145996 0.0738456 0.0887984 0.230743 0.107077 0.140863 0.453115 0.00762045 0.458884 -0.0468851 0.0353898 0.106256 11.125 11.375 25306 2079 742 2 0
11.5 0.122724 0.0570711 0.0602568 0.141706 0.0634105 0.0671389 -0.063496 0.0584311 0.0809141 -0.063496 0.0444719 0.112909 11.375 11.625 8632 537 346 1 0
11.75 0.132229 0.0449052 0.101117 0.0557492 0.0213702 0.0584157 -0.0954136 0.952088 0.0126945 -0.0954136 0.0610156 0.110565 11.625 11.875 2565 123 86 1 0
12 0.207315 -8.60542e-05 0.118761 0.0866801 0.0108768 0.10241 -0.135542 0.0798193 0.118976 -0.135542 0.0798193 0.118976 11.875 12.125 699 35 9 0 0
12.25 0.370968 0.395161 0.120968 -0.129032 0.0403226 0.120968 -0.129032 0.0403226 0.120968 -0.129032 0.0403226 0.120968 12.125 12.375 126 2 0 0 0
12.5 -0.185185 0.0740741 0.0740741 -0.185185 0.0740741 0.0740741 -0.185185 0.0740741 0.0740741 -0.185185 0.0740741 0.0740741 12.375 12.625 27 0 0 0 0
12.75 -1 0.6 0 -1 0.6 0 -1 0.6 0 -1 0.6 0 12.625 12.875 5 0 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
