#Observed stellar mass range: 9 < log10(M*/Msun) < 9.2
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.016336 0.000130376 0.00567336 0.996594 0.00171679 0.00344718 92985 36112
0.994717 0.0376727 0.00298554 0.00670222 0.914876 -0.00399154 0.0199686 92985 36112
0.987123 0.0513739 0.00455475 0.00879053 0.858108 -0.00207782 0.0267668 92985 36112
0.979529 0.0580309 0.00570383 0.00919764 0.813109 -0.00064826 0.0306779 92985 36112
0.971935 0.0611496 0.00721608 0.00936824 0.777193 0 0.0345499 92985 36112
0.964342 0.0630639 0.00751883 0.00936186 0.756314 0.000915408 0.0393068 92985 36112
0.956748 0.0633651 0.008571 0.00903314 0.728207 0.00419176 0.0409938 92985 36112
0.949154 0.0631607 0.00935619 0.00874197 0.704337 0.00715888 0.0420342 92985 36112
0.941560 0.0623972 0.00990469 0.00884587 0.681436 0.0105313 0.04232 92985 36112
0.933967 0.0616659 0.00970536 0.00941729 0.659448 0.00985688 0.0464854 92985 36112
0.926373 0.0603753 0.0100481 0.00927018 0.635966 0.0124331 0.0465031 92985 36112
0.918779 0.0603323 0.0103819 0.0105402 0.61265 0.0138336 0.0459161 92985 36112
0.911185 0.0594289 0.0108107 0.0104157 0.591105 0.0147541 0.0472177 92985 36112
0.903592 0.0580846 0.0117391 0.0107307 0.570032 0.0161192 0.0472844 92985 36112
0.895998 0.057235 0.0109716 0.0109932 0.550011 0.0162604 0.0494604 92985 36112
0.888404 0.0567081 0.0114298 0.010574 0.527747 0.0176026 0.0490623 92985 36112
0.880810 0.0557832 0.0123026 0.010625 0.504791 0.0176479 0.0478922 92985 36112
0.873217 0.0554928 0.0124265 0.0105676 0.484077 0.0173865 0.0483582 92985 36112
0.865623 0.0545787 0.013427 0.010829 0.463087 0.0166341 0.0468958 92985 36112
0.858029 0.0527289 0.0132551 0.0109545 0.44758 0.0158216 0.0456412 92985 36112
0.850435 0.0491692 0.0143013 0.0100317 0.42778 0.0181411 0.0435676 92985 36112
0.842842 0.0464914 0.0145411 0.00967337 0.409421 0.0209022 0.0437203 92985 36112
0.835248 0.0447922 0.0151725 0.0100942 0.392972 0.0218199 0.0409351 92985 36112
0.827654 0.0428134 0.0144684 0.00935955 0.373117 0.0255767 0.0383891 92985 36112
0.820060 0.0400065 0.0157068 0.00868693 0.353844 0.0271166 0.0351644 92985 36112
0.812467 0.0389095 0.0147915 0.00881237 0.337173 0.0283984 0.0337009 92985 36112
0.804873 0.0366403 0.015298 0.00828243 0.319035 0.0278289 0.0326812 92985 36112
0.797279 0.0341345 0.0155877 0.00761751 0.30242 0.0293196 0.0288045 92985 36112
0.789685 0.0325321 0.0148075 0.00726059 0.285611 0.0296322 0.0274971 92985 36112
0.782092 0.0311018 0.0148124 0.00732504 0.269024 0.0312078 0.0257178 92985 36112
0.774498 0.0287143 0.0157225 0.00610246 0.253517 0.0304533 0.0242146 92985 36112
0.766904 0.0275743 0.0157958 0.00601899 0.238702 0.0317144 0.0211852 92985 36112
0.759310 0.0251331 0.0152627 0.00537827 0.222336 0.0314043 0.0192966 92985 36112
0.751717 0.0233048 0.0150351 0.00530747 0.20622 0.033908 0.0158035 92985 36112
0.744123 0.0215196 0.0143545 0.00492261 0.190851 0.0337941 0.0132016 92985 36112
0.736529 0.0192827 0.0148871 0.00408711 0.175842 0.0351417 0.0106654 92985 36112
0.728935 0.0177663 0.0144824 0.00345441 0.164627 0.0347084 0.0108628 92985 36112
0.721342 0.0160564 0.0152826 0.00271791 0.152442 0.0351012 0.00986098 92985 36112
0.713748 0.0145615 0.0145546 0.00225002 0.138874 0.0360475 0.00796853 92985 36112
0.706154 0.0132925 0.0141709 0.00168261 0.126828 0.0380536 0.00671569 92985 36112
0.698560 0.0116363 0.0140113 0.00115072 0.114422 0.0379842 0.00634673 92985 36112
0.690967 0.0103135 0.0135793 0.000966573 0.102708 0.0390878 0.00530009 92985 36112
0.683373 0.0092488 0.0136968 0.000408707 0.0937915 0.0417129 0.00383963 92985 36112
0.678310 0.00829166 0.0135222 3.74047e-05 0.0864256 0.0433299 0.00155196 92985 36112
0.673248 0.00797978 0.0132454 0.000174206 0.0814134 0.0430082 0.00163767 92985 36112
0.668185 0.00696887 0.0128294 9.45129e-05 0.0739366 0.0438297 0 92985 36112
0.663123 0.00647416 0.012251 3.74499e-05 0.0697829 0.0437934 0.000565045 92985 36112
0.658060 0.00590418 0.0120543 8.69101e-05 0.0633861 0.04422 0 92985 36112
0.652998 0.00542023 0.0121188 5.54337e-05 0.0582355 0.0445603 -9.57027e-05 92985 36112
0.647935 0.00481798 0.0121488 0 0.0530018 0.0457927 -1.96099e-05 92985 36112
0.642873 0.00398989 0.0126479 -4.9952e-05 0.0493188 0.04418 0.00111021 92985 36112
0.637810 0.00358122 0.0130938 -0.000124284 0.0443343 0.0456757 0.000403441 92985 36112
0.632748 0.0032801 0.0130927 2.14064e-05 0.0411221 0.0450962 7.52248e-05 92985 36112
0.627685 0.00307576 0.0128582 0.000173088 0.0375498 0.0467323 -9.69693e-06 92985 36112
0.622623 0.00290369 0.0122314 0.0003634 0.0329807 0.0481421 -0.000753604 92985 36112
0.617560 0.00245201 0.0123901 0.000161137 0.0300177 0.0494629 -0.00046174 92985 36112
0.612498 0.00221541 0.0124902 0.000266344 0.0275255 0.0492911 0 92985 36112
0.607435 0.00178523 0.0128494 0.000117994 0.0254763 0.0490867 0.000178633 92985 36112
0.602373 0.00165618 0.0126725 0.00022957 0.022541 0.0500252 -0.000224002 92985 36112
0.597310 0.00137657 0.012962 5.23087e-05 0.0205749 0.050781 0.000313461 92985 36112
0.592248 0.0010862 0.0129077 -3.23599e-05 0.017418 0.0515838 -0.000360891 92985 36112
0.587185 0.00103242 0.0133289 3.93137e-05 0.0148427 0.0530749 -0.000611231 92985 36112
0.582123 0.000785073 0.0139338 -7.21387e-05 0.0128766 0.0519349 -0.000441745 92985 36112
0.577060 0.000677529 0.0139612 -2.67588e-05 0.0115474 0.0504929 -0.00042948 92985 36112
0.571997 0.000505458 0.0144661 2.7294e-05 0.00941515 0.0512159 -0.0012494 92985 36112
0.566935 0.000397914 0.0148003 -9.25246e-06 0.00791981 0.0535705 -0.00139579 92985 36112
0.561872 0.000322633 0.0141495 -4.12402e-05 0.00703367 0.053324 -0.00145355 92985 36112
0.556810 0.000204334 0.0145139 -0.000125068 0.00567678 0.0526708 -0.00170462 92985 36112
0.551747 0.000204334 0.0146565 -7.81391e-05 0.00473527 0.0517256 -0.00170377 92985 36112
0.546685 0.000172071 0.0145514 -3.93077e-05 0.00448604 0.0491732 -0.00106325 92985 36112
0.541622 0.000161316 0.0145833 -3.53899e-05 0.0042922 0.0473373 -0.00070626 92985 36112
0.536560 0.000139807 0.0148101 -2.92953e-05 0.00404298 0.0471032 -0.000688835 92985 36112
0.531497 0.000118299 0.0149573 -3.74005e-05 0.00346145 0.0460969 -0.000577668 92985 36112
0.526435 9.67898e-05 0.0150522 -4.52991e-05 0.00310146 0.0455968 -0.00060317 92985 36112
0.521372 7.5281e-05 0.0156394 -2.14943e-05 0.00315685 0.0457161 -7.77678e-05 92985 36112
0.516310 6.45265e-05 0.0158476 -1.81104e-05 0.00279685 0.0444344 -0.000141006 92985 36112
0.511247 6.45265e-05 0.0159322 0 0.0026307 0.0427527 1.88753e-05 92985 36112
