#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0543521 0.0876061 0.0469031 -0.0096014 0.00826055 0.0464129 -0.0096014 0.00826055 0.0464129 -0.0096014 0.00826055 0.0464129 7.2 7.4 14092 344 0 0 0
7.5 0.0592263 0.0963696 0.0508387 -0.0112434 0.0100158 0.0465412 -0.0112434 0.0100158 0.0465412 -0.0112434 0.0100158 0.0465412 7.4 7.6 10793 298 0 0 0
7.7 0.0690643 0.107112 0.0619296 -0.0116532 0.00972055 0.053955 -0.0116532 0.00972055 0.053955 -0.0116532 0.00972055 0.053955 7.6 7.8 8032 223 0 0 0
7.9 0.0668583 0.114886 0.0630245 -0.0133556 0.0118398 0.0564956 -0.0133556 0.0118398 0.0564956 -0.0133556 0.0118398 0.0564956 7.8 8 5578 187 0 0 0
8.1 0.0826166 0.0734522 0.0826166 -0.00982043 0.00834114 0.0611047 -0.00982043 0.00834114 0.0611047 -0.00982043 0.00834114 0.0611047 8 8.2 3683 119 0 0 0
8.3 0.0681426 0.0751075 0.0681426 -0.0163644 0.0150263 0.0562006 -0.0163644 0.0150263 0.0562006 -0.0163644 0.0150263 0.0562006 8.2 8.4 2332 71 0 0 0
8.5 0.0922884 0.111392 0.0944482 -0.00975244 0.00881347 0.059444 -0.00975244 0.00881347 0.059444 -0.00975244 0.00881347 0.059444 8.4 8.6 1382 49 0 0 0
8.7 0.0659204 0.113623 0.0769701 -0.0174129 0.0174129 0.0557334 -0.0174129 0.0174129 0.0557334 -0.0174129 0.0174129 0.0557334 8.6 8.8 828 24 0 0 0
8.9 0.0978661 0.0765806 0.117347 -0.013245 0.013245 0.0603746 -0.013245 0.013245 0.0603746 -0.013245 0.013245 0.0603746 8.8 9 462 9 0 0 0
9.1 -0.0185185 0.104253 0.0282441 -0.0185185 0.0185185 0.0573743 -0.0185185 0.0185185 0.0573743 -0.0185185 0.0185185 0.0573743 9 9.2 278 8 0 0 0
9.3 -0.0272727 0.0272727 0.0282828 -0.0272727 0.0272727 0.0534726 -0.0272727 0.0272727 0.0534726 -0.0272727 0.0272727 0.0534726 9.2 9.4 114 4 0 0 0
9.5 -0.0163934 0.0163934 0.0461066 -0.0163934 0.0163934 0.0572908 -0.0163934 0.0163934 0.0572908 -0.0163934 0.0163934 0.0572908 9.4 9.6 64 3 0 0 0
9.7 -0.0227273 0.0227273 0.0328283 -0.0227273 0.0227273 0.0424901 -0.0227273 0.0227273 0.0424901 -0.0227273 0.0227273 0.0424901 9.6 9.8 45 1 0 0 0
9.9 0 0 0.0666667 0 0 0.0769231 0 0 0.0769231 0 0 0.0769231 9.8 10 18 0 0 0 0
10.1 0 0 0 0 0 0 0 0 0 0 0 0 10 10.2 3 0 0 0 0
10.3 -0.5 0.5 -0.375 -0.5 0.5 -0.375 -0.5 0.5 -0.375 -0.5 0.5 -0.375 10.2 10.4 2 0 0 0 0
10.5 0 0 0 0 0 0 0 0 0 0 0 0 10.4 10.6 2 0 0 0 0
10.7 0 0 0 0 0 0 0 0 0 0 0 0 10.6 10.8 1 0 0 0 0
10.9 0 0 0 0 0 0 0 0 0 0 0 0 10.8 11 0 0 0 0 0
11.1 0 0 0 0 0 0 0 0 0 0 0 0 11 11.2 0 0 0 0 0
11.3 0 0 0 0 0 0 0 0 0 0 0 0 11.2 11.4 0 0 0 0 0
11.5 0 0 0 0 0 0 0 0 0 0 0 0 11.4 11.6 0 0 0 0 0
11.7 0 0 0 0 0 0 0 0 0 0 0 0 11.6 11.8 0 0 0 0 0
11.9 0 0 0 0 0 0 0 0 0 0 0 0 11.8 12 0 0 0 0 0
12.1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
