#Observed stellar mass range: 9.2 < log10(M*/Msun) < 9.4
#Quenched: SFR / SM < 1e-11 / yr
#Galaxies at z=0 are selected as quenched via observed SSFR.
#Quenching histories are based on true SSFR.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Galaxies_Remaining Bestfit_Q_Galaxies_Remaining
1.002310 0.0171755 0.000969715 0.00568291 0.996325 0.00176972 0.00302672 75398 32109
0.994717 0.0385554 0.00414946 0.00565771 0.919773 -0.00331062 0.0191953 75398 32109
0.987123 0.0522428 0.00569949 0.00689701 0.866704 -0.00490373 0.0282168 75398 32109
0.979529 0.0591528 0.00734111 0.00693062 0.824193 -0.00406402 0.032205 75398 32109
0.971935 0.0641264 0.0071106 0.00835839 0.788097 -0.000761569 0.0339968 75398 32109
0.964342 0.0661821 0.00938028 0.00803719 0.767324 0.000629485 0.0397927 75398 32109
0.956748 0.0672432 0.0089905 0.00896236 0.741942 0.00250763 0.0425202 75398 32109
0.949154 0.0686225 0.0095378 0.00952795 0.719985 0.00504369 0.0448139 75398 32109
0.941560 0.0676145 0.0113559 0.00926621 0.698402 0.00690031 0.0471008 75398 32109
0.933967 0.0671901 0.0113655 0.00988485 0.676166 0.0081284 0.0452271 75398 32109
0.926373 0.0677737 0.0110911 0.0112693 0.653493 0.00692225 0.0480269 75398 32109
0.918779 0.0665137 0.0106669 0.0109007 0.631941 0.00863755 0.0503491 75398 32109
0.911185 0.0657577 0.0120338 0.0108523 0.610078 0.0114197 0.0513918 75398 32109
0.903592 0.0654394 0.0122617 0.0113739 0.589897 0.0137147 0.0497106 75398 32109
0.895998 0.064763 0.0120985 0.0119702 0.571055 0.0159852 0.0503342 75398 32109
0.888404 0.0638611 0.0142017 0.0111041 0.550282 0.014412 0.0491777 75398 32109
0.880810 0.063251 0.0141086 0.0112937 0.530007 0.0122451 0.0506362 75398 32109
0.873217 0.0633571 0.0153016 0.0116373 0.507988 0.0139949 0.049274 75398 32109
0.865623 0.0619512 0.0164087 0.011391 0.48597 0.0147432 0.0485401 75398 32109
0.858029 0.0588477 0.0170456 0.0105232 0.468747 0.0161265 0.046716 75398 32109
0.850435 0.0564736 0.0165716 0.0109739 0.449749 0.0177595 0.0445305 75398 32109
0.842842 0.0548688 0.016009 0.011132 0.431748 0.021596 0.0418853 75398 32109
0.835248 0.0524417 0.017002 0.0111932 0.417764 0.0194719 0.0425699 75398 32109
0.827654 0.0495371 0.0181074 0.0103828 0.398549 0.0212052 0.0391219 75398 32109
0.820060 0.0479323 0.017959 0.0106899 0.385904 0.0193011 0.0429716 75398 32109
0.812467 0.0462081 0.0174572 0.0104425 0.366315 0.0214655 0.0385675 75398 32109
0.804873 0.0439799 0.0177152 0.009535 0.347348 0.0242023 0.0355979 75398 32109
0.797279 0.0422558 0.0183418 0.00995124 0.332742 0.0236059 0.0351002 75398 32109
0.789685 0.0394705 0.0181501 0.00889878 0.313962 0.0256965 0.032496 75398 32109
0.782092 0.0373485 0.0194395 0.0079668 0.296926 0.0270213 0.0299869 75398 32109
0.774498 0.0364599 0.0174402 0.00828191 0.281603 0.0253383 0.0292175 75398 32109
0.766904 0.0343378 0.0178488 0.00726591 0.265969 0.0265898 0.0257867 75398 32109
0.759310 0.0321361 0.017574 0.00708602 0.249868 0.0262847 0.0242244 75398 32109
0.751717 0.0304915 0.0176152 0.00683825 0.236382 0.0271286 0.0229664 75398 32109
0.744123 0.0272156 0.0187241 0.00529181 0.217727 0.0295364 0.0179265 75398 32109
0.736529 0.0252924 0.0188028 0.00487802 0.204211 0.0300691 0.0183908 75398 32109
0.728935 0.0236611 0.0182106 0.00472294 0.190227 0.031694 0.0158141 75398 32109
0.721342 0.0214064 0.017733 0.00418279 0.178361 0.030103 0.0153365 75398 32109
0.713748 0.0190456 0.0175964 0.00331775 0.165343 0.0309019 0.0141485 75398 32109
0.706154 0.0178917 0.0161878 0.00341773 0.152045 0.0329466 0.0116241 75398 32109
0.698560 0.016088 0.0169811 0.00280157 0.138279 0.0343338 0.0103129 75398 32109
0.690967 0.0142046 0.0169738 0.00215104 0.126226 0.0339637 0.00875809 75398 32109
