#Peak halo mass range: 14.625 < log10(Mh/Msun) < 14.875
#Quenched threshold: True SFR / True SM < 1e-11 / yr
#True SFHs in units of Msun/yr.
#See documentation for explanation of true vs. observed SFRs and SMs.
#Bestfit_X_Galaxies_Remaining: number of galaxies with most-massive progenitor trees extending to the scale factor in question.
#Scale_factor F(Q)_given_SF@z=0 Err+ Err- F(Q)_given_Q@z=0 Err+ Err- Bestfit_SF_Halos_Remaining Bestfit_Q_Halos_Remaining
1.002310 0 0 0 1 0 0 2 59
0.994717 0.5 -0.1 0.5 0.983051 0.0169492 0 2 59
0.987123 0 0.4 0 0.983051 0.0169492 0.000907958 2 59
0.979529 0.5 -0.1 0.5 0.966102 0.0338983 0 2 59
0.971935 0 0.333333 0 1 0 0.0178571 2 59
0.964342 0 0.5 0 1 0 0.0169492 2 59
0.956748 0.5 0 0.5 1 0 0.05 2 59
0.949154 0.5 0.166667 0.5 1 0 0.0344828 2 59
0.941560 0.5 0.166667 0.5 1 0 0.0338983 2 59
0.933967 0.5 0.1 0.5 1 0 0.0344828 2 59
0.926373 0 0.5 0 1 0 0.0344828 2 59
0.918779 0 0.666667 0 0.983051 0.0169492 0.0375963 2 59
0.911185 0 1 0 0.983051 0.0169492 0.0330508 2 59
0.903592 0.5 0.166667 0.5 0.966102 0.0172316 0.0161017 2 59
0.895998 0.5 0.5 0.5 0.966102 0.0172316 0.0196731 2 59
0.888404 0.5 0.333333 0.5 0.983051 0.0169492 0.0175336 2 59
0.880810 0.5 0.166667 0.5 1 0 0.0350877 2 59
0.873217 0.5 0.166667 0.5 1 0 0.05 2 59
0.865623 0.5 0.166667 0.5 1 0 0.0357143 2 59
0.858029 0.5 0.166667 0.5 1 0 0.0357143 2 59
0.850435 0.5 0.166667 0.5 0.983051 0.0169492 0.0200878 2 59
0.842842 0.5 0.166667 0.5 1 0 0.0344828 2 59
0.835248 0.5 0.166667 0.5 0.983051 0 0.0356824 2 59
0.827654 0.5 0.166667 0.5 0.983051 0.000282526 0.0338983 2 59
0.820060 0.5 0.166667 0.5 1 -0.0166667 0.0491803 2 59
0.812467 0.5 0.166667 0.5 1 -0.0166667 0.0357143 2 59
0.804873 0.5 0.166667 0.5 0.983051 0.000282526 0.0330508 2 59
0.797279 0.5 0.166667 0.5 0.983051 0 0.0366222 2 59
0.789685 0.5 0.166667 0.5 0.983051 -0.0163842 0.0677966 2 59
0.782092 0.5 0.166667 0.5 0.949153 0.0151332 0.0193279 2 59
0.774498 0.5 0.166667 0.5 0.966102 0.0166569 0.0350672 2 59
0.766904 0.5 0.5 0.5 0.966102 0.00111139 0.0375303 2 59
0.759310 0.5 0.166667 0.5 0.966102 0.000564933 0.0375303 2 59
0.751717 0.5 0.166667 0.5 0.949153 0.0175141 0.0169491 2 59
0.744123 0.5 0.5 0.5 0.966102 0.0172316 0.0338983 2 59
0.736529 0.5 0.3 0.5 0.983051 0.0169492 0.0338983 2 59
0.728935 0.5 0.166667 0.5 0.966102 0.0175049 0.0178258 2 59
0.721342 0.5 0.166667 0.5 0.966102 0.0169491 0.015282 2 59
0.713748 0.5 0.166667 0.5 0.966102 0.0169491 0.0178258 2 59
0.706154 0.5 0.166667 0.5 0.966102 0.0169491 0.0169492 2 59
0.698560 0.5 0.166667 0.5 0.983051 0.0169492 0.0169491 2 59
0.690967 0.5 0.166667 0.5 0.983051 0.000282526 0.0158377 2 59
0.683373 0.5 0.166667 0.5 0.966102 0.0338983 0.00246537 2 59
0.678310 0.5 0.166667 0.5 1 0 0.0344828 2 59
0.673248 0.5 0.166667 0.5 0.966102 0.0172316 0.0178258 2 59
0.668185 0.5 0.166667 0.5 0.966102 0.0338983 0.00181597 2 59
0.663123 0.5 0.166667 0.5 0.983051 0.0169492 0.0169491 2 59
0.658060 0.5 0.166667 0.5 0.983051 0.0169492 0.0175336 2 59
0.652998 0.5 0.166667 0.5 1 0 0.0169492 2 59
0.647935 0.5 0.166667 0.5 0.983051 0.0169492 0.0175336 2 59
0.642873 0.5 0.166667 0.5 1 0 0.0169492 2 59
0.637810 0.5 0.25 0.5 1 0 0.0338983 2 59
0.632748 0.5 0.25 0.5 0.966102 0.0175049 0.00118941 2 59
0.627685 0.5 0.166667 0.5 0.983051 0.0169492 0.0175336 2 59
0.622623 0.5 0.25 0.5 0.983051 0.0169492 0.000594676 2 59
0.617560 0.5 0.25 0.5 0.983051 0.0169492 0.0163842 2 59
0.612498 0.5 0.25 0.5 0.983051 0.0169492 0.0175336 2 59
0.607435 0.5 0.25 0.5 0.983051 0.000555754 0.0158377 2 59
0.602373 0.5 0.25 0.5 1 0 0.0166667 2 59
0.597310 0.5 0.25 0.5 1 0 0.0169492 2 59
0.592248 0.5 0.357143 0.5 0.983051 0.0169492 0.0169491 2 59
0.587185 0.5 0.5 0.5 0.983051 0.0169492 0.0175336 2 59
0.582123 1 0 0.4 0.983051 0.0169492 0.0338983 2 59
0.577060 1 0 0.25 0.983051 0.0169492 0.0175336 2 59
0.571997 1 0 0.2 0.983051 0.0169492 0.0175336 2 59
0.566935 1 0 0.4 0.966102 0.0338983 0 2 59
0.561872 1 0 0.2 0.983051 0.0169492 0.0175336 2 59
0.556810 1 0 0.25 1 0 0.0338983 2 59
0.551747 1 0 0.2 1 0 0.0172414 2 59
0.546685 1 0 0.2 1 0 0.0172414 2 59
0.541622 1 0 0 1 0 0.0163934 2 59
0.536560 1 0 0.2 1 0 0.0172414 2 59
0.531497 1 0 0.2 1 0 0.0166667 2 59
0.526435 1 0 0 1 0 0 2 59
0.521372 1 0 0 1 0 0.0169492 2 59
0.516310 1 0 0 1 0 0 2 59
0.511247 1 0 0 1 0 0.0163934 2 59
0.506185 1 0 0 0.983051 0.0169492 0.000907958 2 59
0.501122 1 0 0.2 1 0 0 2 59
0.496060 1 0 0 1 0 0 2 59
0.490997 1 0 0 1 0 0.0163934 2 59
0.485935 0.5 0.333333 0.5 1 0 0.0175439 2 59
0.480872 0.5 0.3 0.5 1 0 0.0169492 2 59
0.475810 1 0 1 1 0 0 2 59
0.470747 1 0 0.5 1 0 0.0178571 2 59
0.465685 1 0 0.5 1 0 0 2 59
0.460622 1 0 0.5 1 0 0.0169492 2 59
0.455560 1 0 0.166667 1 0 0 2 59
0.450497 1 0 0 1 0 0.0175439 2 59
0.445435 1 0 0.2 0.983051 0.0169492 0.000292182 2 59
0.440372 1 0 0 0.983051 0.0169492 0.000292182 2 59
0.435310 1 0 0 1 0 0 2 59
0.430247 1 0 0 0.983051 0.0169492 0.000292182 2 59
0.425185 1 0 0 0.983051 0.0169492 0.000292182 2 59
0.420122 1 0 0.166667 1 0 0.0166667 2 59
0.415060 1 0 0.5 1 0 0.0163934 2 59
0.409997 1 0 0.5 1 0 0.0172414 2 59
0.404935 1 0 0.4 1 0 0.0169492 2 59
0.399872 1 0 1 0.983051 0.0169492 0.000907958 2 59
0.394810 1 0 1 0.983051 0.0169492 0.000907958 2 59
0.389747 1 0 1 0.966102 0.0338983 0.00181597 2 59
0.384685 1 0 1 0.983051 0.0169492 0.0158377 2 59
0.379622 0.5 0.5 0.5 0.983051 0.0169492 0.0187651 2 59
0.374560 0.5 0.5 0.5 0.966102 0.0172316 0.00118941 2 59
0.369497 0.5 0.5 0.5 0.966102 0.0172316 0.00246537 2 59
0.364435 0.5 0.3 0.5 0.983051 0.000282526 0.0322312 2 59
0.359372 0.5 0.3 0.5 0.983051 0.000282526 0.0330508 2 59
0.354310 0.5 0.3 0.5 0.949153 0.0175141 0.0205811 2 59
0.349247 0.5 0.25 0.5 0.966102 0.000564933 0.0508475 2 59
0.344185 0.5 0.3 0.5 0.949153 0.0163647 0.0311198 2 59
0.339122 0.5 0.3 0.5 0.966102 0.000564933 0.0644624 2 59
0.334060 0.5 0.25 0.5 0.949153 0.0175141 0.0677966 2 59
0.328997 0.5 0.3 0.5 0.932203 0.0338983 0.0338984 2 59
0.323935 0.5 0.3 0.5 0.932203 0.0338983 0.0550104 2 59
0.318873 0.5 0.3 0.5 0.932203 0.0177966 0.0822034 2 59
0.313810 0.5 0.3 0.5 0.881356 0.0669199 0.0338983 2 59
0.308748 0.5 0.25 0.5 0.881356 0.0353107 0.0537697 2 59
0.303685 0.5 0.25 0.5 0.864407 0.0522599 0.0810734 2 59
0.298623 0.5 0.166667 0.5 0.813559 0.0657511 0.0635593 2 59
0.293560 0.5 0.166667 0.5 0.79661 0.0605327 0.0677966 2 59
0.288498 0.5 0.166667 0.5 0.830508 0.0361582 0.11121 2 59
0.283435 0.5 0.166667 0.5 0.79661 0.0700565 0.101695 2 59
0.278373 0.5 0.1 0.5 0.79661 0.0482174 0.101695 2 59
0.273310 0.5 0 0.5 0.762712 0.0587167 0.0902981 2 59
0.268248 0.5 0.1 0.5 0.728814 0.0606601 0.099184 2 59
0.263185 0 0.5 0 0.677966 0.097896 0.0572765 2 59
0.258123 0 0.4 0 0.711864 0.0214689 0.184592 2 59
0.253060 0 0.285714 0 0.559322 0.078609 0.103182 2 59
0.247998 0 0.2 0 0.491525 0.0847458 0.0777323 2 59
0.242935 0 0.2 0 0.491525 0.0946815 0.0915254 2 59
