#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.0659091 0.0597042 0.0634199 0.0919153 0.0596728 0.087103 0.0884956 0.0265487 0.0884956 0.142045 0.0767045 0.130682 0.0763547 0.044335 0.0763547 8.625 8.875 29798 27720 2078 113 352 406
9.00 0.112107 0.0962904 0.106623 0.110527 0.100673 0.107078 0.124675 0.127273 0.116883 0.10452 0.108286 0.101695 0.115602 0.0986257 0.11156 8.875 9.125 50029 43940 6089 385 1062 1237
9.25 0.0926775 0.100531 0.0868465 0.115324 0.116079 0.107873 0.115948 0.108621 0.109914 0.119755 0.118675 0.111291 0.115497 0.117609 0.108512 9.125 9.375 222683 190877 31806 2320 5553 6156
9.50 0.0498816 0.0557144 0.0434536 0.121272 0.104362 0.0937508 0.109621 0.0991254 0.0858601 0.138167 0.108345 0.106703 0.146952 0.117652 0.111575 9.375 9.625 755210 682176 73034 6860 10965 11024
9.75 0.0830277 0.0824637 0.0562171 0.167717 0.127031 0.0865364 0.173472 0.137098 0.0944841 0.208494 0.147065 0.102591 0.219204 0.152833 0.103793 9.625 9.875 2.04137e+06 1.81562e+06 225750 23093 28092 25734
10.00 0.0627798 0.0589362 0.0359992 0.168464 0.120851 0.0583661 0.172795 0.126317 0.0612807 0.199251 0.133149 0.0631906 0.204219 0.135695 0.0636347 9.875 10.125 3.20368e+06 2.68628e+06 517397 58931 64627 56126
10.25 0.0518095 0.0448283 0.0258359 0.180391 0.109038 0.0423411 0.188846 0.117864 0.0448739 0.211543 0.121931 0.0363678 0.210689 0.120462 0.0373153 10.125 10.375 2.4362e+06 1.91772e+06 518484 63475 66757 54597
10.50 0.0505472 0.038496 0.0208254 0.198172 0.0911233 0.0285157 0.20244 0.0963701 0.0292941 0.233026 0.100463 0.0280442 0.233567 0.0991921 0.0299035 10.375 10.625 1.55293e+06 1.15316e+06 399773 51798 53200 42035
10.75 0.0560889 0.0311082 0.0175835 0.24534 0.0769311 0.0236442 0.238116 0.0816013 0.0239374 0.277727 0.0815157 0.0202927 0.276182 0.0800636 0.0187573 10.625 10.875 966052 686892 279160 39758 39258 30317
11.00 0.070043 0.0269289 0.0175861 0.307157 0.0682041 0.0170666 0.285854 0.0646486 0.0190862 0.339094 0.0689563 0.0173405 0.330365 0.063913 0.0155502 10.875 11.125 597652 408335 189317 30582 27541 20550
11.25 0.0981047 0.023286 0.0177884 0.379003 0.052748 0.018874 0.350804 0.0517011 0.0254298 0.400542 0.0528186 0.0200736 0.415258 0.0515727 0.0169243 11.125 11.375 356988 243923 113065 22266 17696 13134
11.50 0.147991 0.0178679 0.0204972 0.462141 0.0414335 0.0188047 0.408517 0.0368943 0.0245825 0.475037 0.0465346 0.0157565 0.507138 0.0428302 0.017166 11.375 11.625 211059 147191 63868 13549 11397 8055
11.75 0.213319 0.0160492 0.0238025 0.555755 0.0310484 0.0184335 0.485558 0.0296202 0.0232665 0.564551 0.0327036 0.0180592 0.580657 0.0346821 0.0124844 11.625 11.875 124618 88478 36140 4570 7312 5232
12.00 0.302576 0.0214922 0.0313763 0.652677 0.0257883 0.0164607 0.604396 0.0309635 0.0154048 0.67509 0.0260416 0.0172791 0.667575 0.0243286 0.0160644 11.875 12.125 72840 52205 20635 546 5026 3303
12.25 0.407432 0.0336697 0.0439532 0.725827 0.0279159 0.018024 0.77027 0.0499544 0.0305443 0.721511 0.030125 0.0200185 0.730247 0.0254867 0.0217633 12.125 12.375 42219 31215 11004 74 3203 1987
12.50 0.526998 0.0537243 0.0601214 0.803243 0.0243549 0.0231575 1 0 0 0.797828 0.0272962 0.025314 0.815372 0.02307 0.0238339 12.375 12.625 24489 18446 6043 16 1934 1262
12.75 0.649918 0.0567454 0.0713893 0.858583 0.0199954 0.0312735 0.8 0 0.05 0.829123 0.0273721 0.0429962 0.866667 0.0156149 0.0329458 12.625 12.875 14200 10926 3274 5 673 855
13.00 0.743983 0.0596026 0.0704248 0.911422 0.0231912 0.0278561 1 0 0 0.884058 0.0413151 0.0311168 0.911439 0.0225232 0.0207288 12.875 13.125 7907 6191 1716 1 69 542
13.25 0.81148 0.0610579 0.0740011 0.933486 0.00714242 0.0350581 0 0 0 0.888889 0 0.111111 0.931217 0.0118725 0.0404606 13.125 13.375 4426 3554 872 0 9 378
