#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 5.44143e-05 0.0241185 -1.75078e-06 2.25698e-05 0.132089 -4.79577e-05 3.18177e-05 0.149423 -3.81294e-05 0 0.163229 -5.21186e-05 0 0.153815 0 7.2 7.4 673421 496193 177228 31429 22127 7881
7.5 1.03674e-05 0.0220596 -2.70892e-05 3.90386e-05 0.133683 -0.000110641 0 0.145993 -0.000180989 0 0.162276 -0.000116171 0 0.1525 -0.000154297 7.4 7.6 539518 385824 153694 29107 19354 7072
7.7 1.33205e-05 0.0200927 -2.33611e-05 2.84315e-05 0.12879 -0.000222892 3.57692e-05 0.140989 -0.0001118 5.5841e-05 0.155376 -0.000424034 0 0.140654 -0.000332613 7.6 7.8 440978 300289 140689 27957 17908 6153
7.9 1.6986e-05 0.0196661 -2.70561e-05 4.59527e-05 0.120395 -0.000457858 0 0.126655 -0.000352858 6.13384e-05 0.147299 -0.000815914 0.000176866 0.135331 -0.000227583 7.8 8 366057 235488 130569 27281 16303 5654
8.1 1.61368e-05 0.0195395 -8.73835e-05 0.00019789 0.115573 -0.000903819 0.000200811 0.118278 -0.00072671 6.93433e-05 0.143886 -0.0015555 0.000622149 0.138184 -0.00136664 8 8.2 297084 185911 111173 24899 14421 4822
8.3 6.85091e-05 0.0193897 -0.000172586 0.000696175 0.114784 -0.00198162 0.000652863 0.115384 -0.00139892 0.00113122 0.142449 -0.00301847 0.00146915 0.133711 -0.00174311 8.2 8.4 235024 145966 89058 21444 12376 4084
8.5 0.000182102 0.019535 -0.000299111 0.00196149 0.114701 -0.00340669 0.00160594 0.113597 -0.00341783 0.00354296 0.135891 -0.00470167 0.0014476 0.137205 -0.00650834 8.4 8.6 184655 115320 69335 18058 10161 3454
8.7 0.000475995 0.0198241 -0.000715941 0.00481203 0.113769 -0.00650389 0.00375717 0.103406 -0.00556522 0.00546838 0.133299 -0.00857423 0.00593472 0.130047 -0.0107518 8.6 8.8 143537 90337 53200 15171 8412 2696
8.9 0.00144781 0.0202327 -0.000866904 0.01187 0.107229 -0.00981013 0.00726471 0.0971564 -0.00816897 0.016288 0.122916 -0.0108161 0.021875 0.120405 -0.00861281 8.8 9 111563 70451 41112 12251 6999 2240
9.1 0.00436219 0.0197359 -0.000348194 0.0260517 0.101843 -0.00652696 0.0157354 0.0861234 -0.00608624 0.030494 0.120515 -0.00716144 0.0394036 0.109047 -0.00392971 9 9.2 87489 55706 31783 9342 5870 1878
9.3 0.00912588 0.021743 -0.000147403 0.0477188 0.101569 -0.00363169 0.02513 0.0741969 -0.00557703 0.0616298 0.11939 0.000745386 0.0688989 0.102663 -0.003593 9.2 9.4 69541 44708 24833 6924 4884 1553
