#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0337994 0.0829174 0.0282169 0.0377594 0.0949948 0.0324388 0.0465604 0.0996649 0.0384579 0.0427165 0.0979049 0.0347688 7.2 7.4 698651 183189 28535 24448 13970
7.5 0.0348256 0.0820989 0.0258301 0.0346582 0.0942588 0.0269143 0.047532 0.101415 0.0340895 0.0424659 0.0959877 0.0306299 7.4 7.6 570118 156470 25956 21618 12323
7.7 0.0371416 0.0831042 0.023011 0.0400714 0.0904237 0.0287299 0.0450306 0.101078 0.026409 0.0429324 0.0918854 0.0259567 7.6 7.8 464178 134152 23436 18826 10821
7.9 0.0393754 0.0833972 0.0184663 0.0419993 0.0832538 0.0222865 0.0489343 0.0951343 0.0232207 0.0426563 0.0937961 0.0187763 7.8 8 381666 121140 21635 17330 9462
8.1 0.0383081 0.0784777 0.0103455 0.0368711 0.0821658 0.0116551 0.0477882 0.0928616 0.0117769 0.0462289 0.0826128 0.0132392 8 8.2 314495 110270 20922 15509 8465
8.3 0.0411855 0.0704051 0.00423292 0.0391332 0.0722511 0.00521515 0.0520429 0.0826107 0.00489703 0.0508585 0.0849601 0.0037263 8.2 8.4 253969 93821 18956 13566 6846
8.5 0.0458767 0.0637365 -0.00334089 0.0425032 0.0644425 -0.000298779 0.0578964 0.0794023 -0.00579867 0.0588851 0.0752195 -0.00353019 8.4 8.6 199921 75400 16150 11314 5839
8.7 0.0582295 0.0599573 -0.0054367 0.0528487 0.0593274 -0.00348689 0.07214 0.0723919 -0.00672485 0.0717287 0.0710305 -0.00900515 8.6 8.8 156653 59201 13840 9672 4811
8.9 0.0736745 0.0585884 -0.00888419 0.0619013 0.0551242 -0.00914294 0.0905272 0.067655 -0.00584178 0.0992524 0.0674014 -0.00387768 8.8 9 123700 46521 11484 7911 3906
9.1 0.0952899 0.0573253 -0.00577952 0.0728277 0.0479054 -0.00480144 0.116939 0.0656004 -0.00609022 0.115706 0.0671503 -0.00715337 9 9.2 99242 36705 9115 6608 3375
