#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0.325475 0.0548149 0.0212424 0.275692 0.0518259 0.0274279 0.335224 0.0581825 0.020698 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0.331816 0.0502051 0.0214497 0.280844 0.0499213 0.0286627 0.336822 0.0553903 0.0195027 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0.330579 0.0505255 0.0220343 0.294697 0.0448656 0.0328251 0.333611 0.0460767 0.0298247 8.375 8.625 0 0 0 0 0
8.75 -0.00273224 0.00273224 0.010929 0.303643 0.0421236 0.0319833 0.368299 0.0455836 0.0651131 0.305656 0.0450562 0.032444 8.625 8.875 366 0 0 0 0
9 -0.00236407 0.00236407 0.0165485 0.265692 0.035561 0.0340031 0.324451 0.028012 0.106867 0.25746 0.0418676 0.0260981 8.875 9.125 424 1 0 0 0
9.25 -0.00143266 0 0.0100287 0.228202 0.032728 0.0533342 0.3835 0.050136 0.0902992 0.207029 0.0352079 0.0381973 9.125 9.375 699 1 0 0 0
9.5 -0.00483871 0.00322581 0.033871 0.181273 0.0247658 0.0690731 0.2961 0.0539781 0.113261 0.181814 0.0341705 0.0842983 9.375 9.625 620 0 0 0 0
9.75 -0.0189573 0.0189573 0.0853081 0.144092 0.0305377 0.072059 -0.770662 0.0629447 0.103722 0.118227 0.0180624 0.162767 9.625 9.875 211 0 0 0 0
10 -0.0204082 0.0204082 0.102041 0.0946087 0.0434952 0.0576223 -0.836426 0.0688477 0.0869141 -0.836426 0.0688477 0.0869141 9.875 10.125 49 0 0 0 0
10.25 0 0 0 0.0605653 0.0585587 0.0445378 -0.898526 0.0702515 0.0589766 -0.898526 0.0702515 0.0589766 10.125 10.375 4 0 0 0 0
10.5 0 0 0 0.0268894 0.043657 0.0290138 -0.942808 0.067591 0.0346621 -0.942808 0.067591 0.0346621 10.375 10.625 0 0 0 0 0
10.75 0 0 0 -0.00111485 0.0249662 0.0401036 -0.949833 0.0401338 0.0367893 -0.949833 0.0401338 0.0367893 10.625 10.875 0 0 0 0 0
11 0 0 0 0.024 0.048 0.024 -0.976 0.048 0.024 -0.976 0.048 0.024 10.875 11.125 0 0 0 0 0
11.25 0 0 0 -0.949153 0.0169491 0.0338983 -0.949153 0.0169491 0.0338983 -0.949153 0.0169491 0.0338983 11.125 11.375 0 0 0 0 0
11.5 0 0 0 0 0.2 0 -1 0.2 0 -1 0.2 0 11.375 11.625 0 0 0 0 0
11.75 0 0 0 -1 0 0 -1 0 0 -1 0 0 11.625 11.875 0 0 0 0 0
12 0 0 0 0 0 0 0 0 0 0 0 0 11.875 12.125 0 0 0 0 0
12.25 0 0 0 0 0 0 0 0 0 0 0 0 12.125 12.375 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 12.375 12.625 0 0 0 0 0
12.75 0 0 0 0 0 0 0 0 0 0 0 0 12.625 12.875 0 0 0 0 0
13 0 0 0 0 0 0 0 0 0 0 0 0 12.875 13.125 0 0 0 0 0
13.25 0 0 0 0.0239065 0.0105667 0.0170278 -0.0299758 0.0177119 0.0210718 0.0278746 0.00521813 0.0196048 13.125 13.375 0 0 0 0 0
13.5 0 0 0 -0.000427455 0.00467831 0.00988402 0.00197172 0.0267094 0.0179645 0.0180145 -0.000648871 0.0205682 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0.0176951 0.0101125 0.00960585 0.00874808 0.0133407 0.00487901 0.00780687 0.013352 -0.000454888 13.625 13.875 0 0 0 0 0
14 0 0 0 0.0706409 0.0315466 0.0268146 0.0665922 0.0314912 0.0324921 0.0806824 0.0355124 0.033125 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0.0996602 0.03187 0.0147473 0.104064 0.0384107 0.018091 0.144025 0.0452203 0.0241303 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0.146009 0.046093 0.0169654 0.150922 0.0509918 0.0196968 0.179221 0.05066 0.0144248 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0.183221 0.0526451 0.0164182 0.187927 0.0578694 0.0178644 0.220786 0.0586446 0.0193324 14.625 14.875 0 0 0 0 0
15 0 0 0 0.21266 0.0530945 0.0210008 0.214694 0.0543626 0.0211098 0.254212 0.0618169 0.0232847 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0.258209 0.0567275 0.0247653 0.246642 0.0562678 0.0254997 0.294523 0.0618438 0.026472 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0.304961 0.0562283 0.0290897 0.283735 0.0562958 0.0322796 0.332059 0.0610182 0.0274997 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0.32177 0.0578769 0.0272926 0.293762 0.0562404 0.0296964 0.334407 0.057357 0.0267445 15.625 15.875 0 0 0 0 0
