#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 1 0 0 0 0 0 0 0 8.625 8.875 216998 27 1 0
9.00 0 0.666667 0 0 0.4 0 0 0 0 8.875 9.125 347334 188 19 0
9.25 1 -0.315789 1 1 0 1 0 0 0 9.125 9.375 1.19042e+06 2093 257 0
9.50 0.875 0.125 0.293208 1 0 0.5 0 0 0 9.375 9.625 3.34693e+06 19065 1855 0
9.75 0.834559 0.0126634 0.24588 0.833333 0.0362319 0.266156 0 0 0 9.625 9.875 4.56363e+06 41711 3161 0
10.00 0.826498 0.0901682 0.17394 0.803571 0.0988676 0.171218 0 0 0 9.875 10.125 3.41181e+06 47916 3362 0
10.25 0.842809 0.0829247 0.175825 0.809091 0.135354 0.138234 0 0 0 10.125 10.375 2.01602e+06 47197 3331 0
10.50 0.847839 0.0612516 0.15782 0.827869 0.0887978 0.162073 0 0 0 10.375 10.625 1.13921e+06 39108 2727 0
10.75 0.829449 0.0719069 0.145538 0.839744 0.0745421 0.187736 0 0 0 10.625 10.875 593868 26700 1823 0
11.00 0.812326 0.0917139 0.141988 0.746479 0.0811074 0.11255 0 0 0 10.875 11.125 301215 17600 1134 0
11.25 0.78683 0.0818145 0.119811 0.751634 0.0829524 0.135054 0 0 0 11.125 11.375 145725 10485 749 0
11.50 0.783296 0.107027 0.116444 0.741259 0.104895 0.116723 0 0 0 11.375 11.625 67588 5019 523 0
11.75 0.765957 0.0475473 0.12234 0.75188 0.0814536 0.179299 0 0 0 11.625 11.875 30245 1355 320 0
12.00 0.78125 0.0520833 0.220274 0.8 0.0658537 0.133333 0 0 0 11.875 12.125 12581 143 236 0
12.25 0.666667 0.333333 0.333333 0.654545 0.117384 0.0945454 0 0 0 12.125 12.375 4825 5 123 0
12.50 1 0 0 0.6 0.0388889 0.140541 0 0 0 12.375 12.625 1607 1 68 0
12.75 0 0 0 0.666667 0.133333 0.0666667 0 0 0 12.625 12.875 463 0 13 0
13.00 0 0 0 0 0 0 0 0 0 12.875 13.125 117 0 1 0
13.25 0 0 0 0 1 0 0 0 0 13.125 13.375 22 0 1 0
13.50 0 0 0 0 0 0 0 0 0 13.375 13.625 1 0 0 0
13.75 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
