#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.00265862 0.0144353 0.00265862 0.0257772 0.0488691 0.0257772 -0.005155 0.0485175 -0.00507276 0.00715702 0.00175847 0.00915698 8.625 8.875 26072 1754 120 295 337
9 0.00376634 0.0165022 0.00376634 0.0291141 0.0415181 0.0291141 -0.000483945 0.0124982 0.00163684 0.00818578 0.016243 0.00818578 8.875 9.125 46585 5537 428 1036 1101
9.25 0.0291093 0.030699 0.0289876 0.0230609 0.0305141 0.0230717 0.036933 0.0253797 0.0368095 0.0297742 0.0376565 0.0295741 9.125 9.375 219329 33649 2798 6646 6384
9.5 0.0616352 0.0557507 0.0598041 0.0563473 0.0515372 0.0551704 0.0731169 0.0686042 0.0712157 0.0827823 0.0718484 0.0799899 9.375 9.625 802851 92585 9740 14803 13430
9.75 0.0677979 0.0515301 0.0584477 0.0747084 0.0598036 0.0667586 0.106034 0.0766764 0.0913184 0.116766 0.0853785 0.099484 9.625 9.875 2.2388e+06 285193 31333 36628 30368
10 0.0722932 0.0658286 0.0497533 0.0778185 0.0747052 0.0555419 0.0982245 0.0853059 0.0647513 0.103502 0.0888338 0.0685499 9.875 10.125 3.45148e+06 568536 69180 72574 56608
10.25 0.0757359 0.0715777 0.040557 0.0811317 0.0793661 0.0454961 0.100639 0.0883147 0.0483413 0.0971374 0.0894105 0.046453 10.125 10.375 2.54697e+06 551072 72247 70868 53276
