#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0317254 0.033107 0.0131536 0.138342 0.107898 0.0294855 0.145514 0.114092 0.0345648 0.164754 0.120282 0.0314211 0.162252 0.11817 0.0299034 7.2 7.4 726132 540419 185713 25056 24491 19291
7.5 0.0319034 0.0301191 0.0120056 0.141358 0.101106 0.0232591 0.142734 0.104485 0.0247193 0.167543 0.111944 0.0228764 0.162202 0.11007 0.0201589 7.4 7.6 610370 445470 164900 23260 22824 17583
7.7 0.0321452 0.0274392 0.0102653 0.149512 0.0931044 0.0167541 0.150171 0.0958684 0.0180904 0.17567 0.0990052 0.0179562 0.16942 0.098418 0.0146783 7.6 7.8 501836 360831 141005 21096 19770 15618
7.9 0.0347045 0.0237347 0.00920603 0.170817 0.0806858 0.012786 0.167203 0.0866005 0.014963 0.189075 0.0946403 0.0145407 0.183707 0.0857771 0.0114314 7.8 8 405906 286562 119344 18319 17300 13576
8.1 0.0380165 0.0225315 0.0075071 0.195682 0.080958 0.0101979 0.191817 0.0780585 0.0162639 0.211811 0.084746 0.00918356 0.202132 0.0839309 0.00383945 8 8.2 328057 224113 103944 16620 15528 11631
8.3 0.0431543 0.0218712 0.00682755 0.210523 0.0765216 0.00616716 0.203664 0.077269 0.00918573 0.230239 0.07581 0.00830713 0.223542 0.0745012 0.00509711 8.2 8.4 269290 174583 94707 15555 13929 10441
8.5 0.0511556 0.0192741 0.00843875 0.218394 0.0671727 0.00657977 0.211215 0.0690353 0.004803 0.238219 0.0784243 0.000960082 0.236545 0.0727313 0.00277996 8.4 8.6 219714 137033 82681 14213 12266 8937
8.7 0.0591551 0.0183782 0.00749578 0.236621 0.0682956 0.00482008 0.234611 0.0595488 0.0104747 0.255847 0.0743148 0.00208282 0.262535 0.0662546 0.00393635 8.6 8.8 174710 107345 67365 12314 10475 7519
8.9 0.0701698 0.0176828 0.0100289 0.26804 0.0589745 0.00956649 0.25627 0.0490997 0.013432 0.291605 0.0625797 0.00953913 0.297041 0.0610058 0.00823659 8.8 9 141061 86875 54186 10446 8803 6319
9.1 0.0844314 0.0159914 0.0118352 0.291203 0.0582989 0.00914586 0.270605 0.0478866 0.0145172 0.315704 0.0579506 0.00786948 0.316475 0.0616983 0.00585499 9 9.2 115452 71644 43808 9039 7374 5299
9.3 0.102362 0.0128087 0.0134997 0.323033 0.0536686 0.0071924 0.286875 0.0453667 0.0141359 0.350277 0.0489678 0.0124098 0.343945 0.0626459 0.00467861 9.2 9.4 96554 60276 36278 7383 6315 4649
9.5 0.123788 0.0106414 0.0149225 0.360167 0.0474206 0.00966161 0.303949 0.0450923 0.0154665 0.365572 0.0560879 0.00323278 0.394404 0.0475645 0.0165282 9.4 9.6 82342 51895 30447 5774 5635 4110
9.7 0.150923 0.0120021 0.0157131 0.394944 0.0480276 0.00869039 0.300431 0.0573081 0.00204402 0.419206 0.0477856 0.0100262 0.435106 0.0444277 0.00819391 9.6 9.8 71253 45500 25753 4407 4988 3629
