#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.998004 0.00199598 0.105446 0.995984 0.00133181 0.102598 0.995392 0.00460827 0.105166 7.2 7.4 688498 29981 23910 11209
7.5 0.990025 0.00997508 0.0927144 0.993378 0.00662249 0.0879095 1 0 0.103424 7.4 7.6 555144 27319 21027 9813
7.7 1 0 0.104994 0.997481 0.00251889 0.0986844 0.993197 0.00680274 0.0931973 7.6 7.8 451595 25205 18628 8549
7.9 0.99361 0.0063898 0.0945609 0.9941 0.00328875 0.0982831 1 0 0.105333 7.8 8 374307 24370 17144 7655
8.1 0.993311 0.000419378 0.0959768 1 -0.00334448 0.0997443 0.985611 0.0143885 0.0845004 8 8.2 307000 22697 15218 6797
8.3 0.993174 -0.00445759 0.106865 0.988235 0.00509804 0.088604 1 -0.00555557 0.111111 8.2 8.4 245865 20165 13144 5658
8.5 0.990964 -0.00130868 0.0955075 0.982639 0.00714755 0.0874168 0.954023 0.0367177 0.0902318 8.4 8.6 193362 17052 11017 4729
8.7 0.991549 -0.00362986 0.0993983 0.976589 0.00749952 0.0971243 0.963303 0.0174047 0.116337 8.6 8.8 149640 14407 9022 3796
8.9 0.981982 -0.001136 0.0807199 0.96648 0.00983536 0.104174 0.910828 0.0459621 0.0912665 8.8 9 118469 11698 7565 3181
9.1 0.979058 -0.00358593 0.0766715 0.925847 0.0401168 0.0612941 0.872549 0.072304 0.0621094 9 9.2 93294 9331 6162 2619
9.3 0.964706 0.000719666 0.0502763 0.90971 0.028861 0.0715661 0.855072 0.0607691 0.0594068 9.2 9.4 76770 7404 5442 2324
9.5 0.965 9.60231e-05 0.045207 0.863913 0.0411841 0.0734934 0.847059 0.0407916 0.0939208 9.4 9.6 64441 5570 4718 2000
9.7 0.943152 0.0112895 0.0379537 0.795074 0.0590546 0.0392352 0.779775 0.0677425 0.0588048 9.6 9.8 56305 3945 4441 1810
9.9 0.955882 -0.00765347 0.0429695 0.765672 0.0363417 0.0551454 0.73849 0.0630369 0.0388312 9.8 10 51174 2724 4190 1720
10.1 0.93 0.00415635 0.0421795 0.723188 0.0285972 0.0412136 0.698413 0.0505806 0.056693 10 10.2 47664 1578 4117 1712
10.3 0.880282 0.0231932 0.0231388 0.665796 0.0255956 0.0283293 0.595411 0.0729123 0.0138415 10.2 10.4 45198 797 3997 1624
10.5 0.880952 0.0190476 0.0451314 0.621281 0.0323603 0.0166763 0.556604 0.018286 0.0301061 10.4 10.6 40312 392 3669 1453
10.7 0.901961 0.0355392 0.0250377 0.62441 0.0122109 0.0303683 0.463171 0.0473494 0.00527629 10.6 10.8 32325 137 2828 1215
10.9 0.913043 0.0343249 0.0559006 0.62806 0.00795501 0.0577327 0.425107 0.014309 0.0347251 10.8 11 21019 44 1698 940
11.1 0.714286 0 0.380952 0.611494 0.00158477 0.0826672 0.375 0.00657895 0.0508105 11 11.2 10758 8 670 493
11.3 1 0 1 0.569106 0.035733 0.0985174 0.305825 -0.000125766 0.0726646 11.2 11.4 3813 5 178 223
11.5 0 0 0 0.538462 0.161538 0.288462 0.145833 0.0863095 0.0394503 11.4 11.6 894 0 21 52
11.7 0 0 0 0 0 0 0 0.222222 0 11.6 11.8 180 0 0 4
11.9 0 0 0 0 0 0 0 0 0 11.8 12 22 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 2 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
