#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.6111e-05 0.0214657 2.56035e-06 0.000132478 0.122268 0.000100171 8.70297e-05 0.146729 3.71096e-05 0.000344086 0.162707 0.000252107 0 0.154867 0 7.2 7.4 633190 459576 173614 34471 11625 468
7.5 4.25193e-05 0.0199846 1.53317e-05 0.000299328 0.121196 0.000215679 0.00034455 0.14625 0.00025503 0.000828958 0.164086 0.000633149 0 0.155206 0 7.4 7.6 516481 352781 163700 34828 10857 513
7.7 5.57704e-05 0.0189605 3.13088e-05 0.000563361 0.116975 0.000423107 0.000809183 0.13564 0.000644476 0.00137782 0.151105 0.000924816 0 0.152034 0 7.6 7.8 412740 268960 143780 33367 10161 472
7.9 0.000106473 0.0185326 6.39776e-05 0.00113747 0.11267 0.000765901 0.001098 0.131059 0.000643712 0.00319841 0.1459 0.0022654 0 0.15873 0 7.8 8 322673 206626 116047 29144 9067 440
8.1 0.000231808 0.0184848 0.000126908 0.00263578 0.110431 0.00172683 0.00315433 0.122932 0.00203985 0.00582902 0.141704 0.00330678 0.0057971 0.134501 0.0057971 8 8.2 249152 159615 89537 25362 7720 345
8.3 0.000580295 0.0189125 0.000325158 0.00440911 0.110765 0.00219923 0.00490631 0.118304 0.00246493 0.00696442 0.151203 0.00278157 0.0140845 0.13764 0.0102677 8.2 8.4 193839 125798 68041 21401 6605 284
8.5 0.00111699 0.0199853 0.000497993 0.00928178 0.113776 0.00513509 0.00850688 0.117333 0.00352516 0.015481 0.143062 0.00832538 0.011583 0.158228 0.00236642 8.4 8.6 149870 98479 51391 18103 5426 259
8.7 0.0027799 0.0211284 0.0012597 0.0169204 0.11317 0.00795991 0.0134845 0.110463 0.00551493 0.0285775 0.14408 0.0121622 0.0429185 0.130158 0.0242269 8.6 8.8 115697 77341 38356 14461 4724 233
8.9 0.00564747 0.0239795 0.00211484 0.029117 0.105976 0.010844 0.019539 0.0934332 0.00720201 0.0494325 0.136067 0.0211481 0.0387097 0.114665 0.00624214 8.8 9 88641 60204 28437 11106 3965 155
9.1 0.00985883 0.0262858 0.00221874 0.0487781 0.101813 0.0156454 0.0262545 0.0821431 0.00980388 0.0809197 0.113902 0.0257409 0.0564516 0.137097 0.0263764 9 9.2 67546 46963 20583 7732 3349 124
9.3 0.0197504 0.0255465 0.00638674 0.0714993 0.10562 0.0169374 0.0323776 0.0817075 0.00887949 0.103189 0.134147 0.0248057 0.128788 0.104857 0.0492424 9.2 9.4 51602 36455 15147 5127 2665 132
9.5 0.0320371 0.0304947 0.00754702 0.110681 0.112143 0.0286884 0.0454985 0.0742579 0.0158636 0.156652 0.144326 0.0345744 0.144578 0.11979 0.0261573 9.4 9.6 39327 28467 10860 3099 2330 83
