#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0.785714 0.130952 0.785714 0.818182 0.181818 0.0834879 0.864865 0.135135 0.0625393 8.625 8.875 54426 77 241 331
9.00 0.621622 0.287469 0.027027 0.761905 0.0842491 0.0409746 0.810606 0.122727 0.0119483 8.875 9.125 75460 286 811 1015
9.25 0.662162 0.137838 0.0157336 0.764103 0.117379 0.0324256 0.748031 0.121199 0.0196748 9.125 9.375 282058 1834 4669 5570
9.50 0.660147 0.128533 0.0567324 0.708049 0.117163 0.0580177 0.733144 0.118637 0.0714518 9.375 9.625 785591 5713 9000 10054
9.75 0.619509 0.126463 0.0891477 0.669486 0.12206 0.0980937 0.721875 0.110071 0.08863 9.625 9.875 1.95354e+06 18834 23533 23342
10.00 0.851295 0.0529457 0.0564632 0.879195 0.0416245 0.0575877 0.895894 0.0380275 0.0509133 9.875 10.125 3.04832e+06 51638 59005 55351
10.25 0.919929 0.0269343 0.0491118 0.93381 0.0188595 0.046706 0.934883 0.0191104 0.0419777 10.125 10.375 2.35393e+06 57037 62920 55886
10.50 0.926391 0.0204549 0.0383989 0.943465 0.0141169 0.0380826 0.946627 0.0118777 0.0422472 10.375 10.625 1.50744e+06 46480 50625 44070
10.75 0.923823 0.0164472 0.0367985 0.943058 0.0139058 0.037597 0.946297 0.0094496 0.0372475 10.625 10.875 938332 34809 37366 31771
11.00 0.914474 0.0156175 0.0350066 0.938815 0.0122289 0.0350481 0.941671 0.0115614 0.0361348 10.875 11.125 580566 26756 26019 21738
11.25 0.889486 0.0151432 0.0370973 0.918054 0.0094533 0.0357484 0.930928 0.0103561 0.0369148 11.125 11.375 350242 19898 16873 13950
11.50 0.837675 0.0143047 0.0420602 0.874249 0.0107756 0.0319111 0.900415 0.0100839 0.0344162 11.375 11.625 208366 12319 10872 8706
11.75 0.776667 0.0141409 0.0352235 0.802797 0.0135345 0.0274459 0.841829 0.00354683 0.0404845 11.625 11.875 123530 4344 6899 5536
12.00 0.688073 0.0174969 0.0378967 0.642697 0.0182112 0.0350607 0.679364 0.0209233 0.0288261 11.875 12.125 72529 526 4699 3557
12.25 0.483871 0.094254 0.00768048 0.471296 0.0289325 0.0240803 0.477202 0.027993 0.0229938 12.125 12.375 42353 75 2966 2151
12.50 0.5 0.0333334 0.1 0.308405 0.0555501 0.0146698 0.282689 0.0454899 0.0206961 12.375 12.625 24821 19 1885 1353
12.75 0.444444 0.155556 0.015873 0.219124 0.0601373 0.0164467 0.183727 0.0422144 0.0162013 12.625 12.875 14470 9 600 901
13.00 0 0 0 0.112903 0.0449915 0.0281575 0.0994036 0.0440227 0.00849448 12.875 13.125 8165 1 69 564
13.25 0 0 0 0 0.142857 0 0.0868347 0.0522185 0.000723623 13.125 13.375 4590 0 9 380
13.50 0 0 0 1 0 0 0.0416667 0.0484621 0.00805322 13.375 13.625 2499 0 2 258
13.75 0 0 0 0 0 0 0.0277778 0.0416667 0.00075075 13.625 13.875 1348 0 0 76
14.00 0 0 0 0 0 0 0.142857 0.142857 0.0178571 13.875 14.125 675 0 0 9
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 324 0 0 1
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 136 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 51 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 6 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 2 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
