#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.000358994 0.00819326 0.000366298 -0.00070117 0.000690214 0.0647341 -0.00070117 0.00068291 0.072845 -0.00070117 0.00068291 0.072845 8.625 8.875 277601 3773 6 0 0
9 0.000897518 0.0163044 0.000897518 -0.00107228 0.00107228 0.029833 -0.00107228 0.00106774 0.0860481 -0.00107228 0.00106546 0.0911891 8.875 9.125 444753 4569 59 3 0
9.25 0.00077242 0.0368952 0.000716291 -0.000169002 0.081219 -5.43895e-05 -0.00148479 0.0635284 0.00101155 -0.00148479 0.00143895 0.0814425 9.125 9.375 1.37054e+06 18164 760 19 0
9.5 0.00271356 0.0331566 0.00262015 0.00754215 0.0870818 0.00723555 -0.00233695 0.140745 -0.00178411 -0.00233695 0.00223979 0.0681849 9.375 9.625 3.18152e+06 124542 6782 112 0
9.75 0.00625383 0.051574 0.0058917 0.0225056 0.122255 0.0200249 0.0358285 0.0925059 0.0358291 -0.00381908 0.00361612 0.0745877 9.625 9.875 3.62777e+06 272513 14853 227 0
10 0.0169857 0.0774806 0.0155471 0.0441489 0.157874 0.0384866 0.0629187 0.174364 0.0529367 -0.0039709 0.0037376 0.0765309 9.875 10.125 2.52670e+06 276333 17498 299 0
10.25 0.0406442 0.128876 0.0359689 0.0719852 0.180027 0.059977 0.0656059 0.189284 0.0557233 -0.00462818 0.00433993 0.0706652 10.125 10.375 1.40744e+06 234845 18378 299 0
10.5 0.0586815 0.136541 0.048285 0.0907837 0.17297 0.0706772 0.106715 0.205039 0.0750621 -0.00668756 0.00623648 0.0657291 10.375 10.625 717454 132188 13327 194 0
10.75 0.0789619 0.137169 0.0606073 0.113198 0.18944 0.0833513 0.10795 0.22611 0.0658919 -0.0112548 0.0103914 0.069754 10.625 10.875 347255 54225 9144 151 0
11 0.106353 0.118337 0.0759518 0.15272 0.165089 0.108863 0.165686 0.161257 0.113142 -0.0203604 0.0175088 0.0804865 10.875 11.125 162235 21963 5847 86 0
11.25 0.139299 0.0992661 0.0854183 0.179466 0.131458 0.112956 0.377349 0.139665 0.236025 -0.0356943 0.0286832 0.096718 11.125 11.375 70701 8086 3430 46 0
11.5 0.153415 0.0740083 0.0756214 0.156973 0.0684446 0.0776309 0.232487 0.145708 0.0932289 -0.0591799 0.0403552 0.100488 11.375 11.625 28862 2620 1721 48 0
11.75 0.164946 0.0438412 0.0720797 0.105169 0.0217495 0.0567012 0.381727 0.0320739 0.199264 -0.0888608 0.0557444 0.107798 11.625 11.875 11085 788 469 34 0
12 0.138655 0.0337981 0.0456767 -0.00143143 0.0304487 0.0256272 0.110575 0.144332 0.0787673 -0.124719 0.0651685 0.10927 11.875 12.125 3803 243 73 17 0
12.25 0.0385848 0.0660436 0.0153983 -0.175701 0.252025 0.0158879 -0.00903426 0.186604 0.0713396 -0.175701 0.0700935 0.0971963 12.125 12.375 1112 42 3 6 0
12.5 0.243257 0 0.173282 -0.290076 0.10687 0.103053 0.37659 -0.0190839 0.233673 -0.290076 0.10687 0.103053 12.375 12.625 277 15 0 9 0
12.75 -0.271186 0.0847458 0.186441 -0.271186 0.0847458 0.186441 -0.271186 0.0847458 0.186441 -0.271186 0.0847458 0.186441 12.625 12.875 59 0 0 0 0
13 -0.4 0 0 -0.4 0 0 -0.4 0 0 -0.4 0 0 12.875 13.125 5 0 0 0 0
13.25 -1 0 0 -1 0 0 -1 0 0 -1 0 0 13.125 13.375 1 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
