#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0211256 0.0854806 0.0198643 0.0230514 0.0979569 0.0220018 0.0314063 0.111721 0.0292114 0.0271965 0.103683 0.0246565 7.2 7.4 692403 182095 29712 24203 12350
7.5 0.0211813 0.0906329 0.018648 0.0218273 0.0983519 0.0195226 0.0311461 0.110713 0.0274911 0.0241963 0.102412 0.0205149 7.4 7.6 560057 155050 26637 21418 10971
7.7 0.0228306 0.0910216 0.017895 0.0219826 0.101327 0.0178175 0.0301121 0.109148 0.0232712 0.0278615 0.10255 0.0213671 7.6 7.8 456003 134824 24546 18652 9442
7.9 0.0233215 0.0890321 0.0150674 0.0229297 0.0930026 0.0163113 0.0302158 0.105058 0.0185793 0.0294747 0.103032 0.0171322 7.8 8 377547 124024 23284 17114 8393
8.1 0.0211533 0.0870006 0.00953366 0.0199712 0.0897812 0.00993934 0.0313781 0.100527 0.0138335 0.0244086 0.0986255 0.00709047 8 8.2 310017 111049 22185 15307 7402
8.3 0.0229729 0.0778804 0.00366015 0.0203072 0.0808212 0.00303609 0.0296073 0.0987686 0.00172604 0.0296908 0.088841 0.00315545 8.2 8.4 248472 93216 19682 13328 6274
8.5 0.0263953 0.0724774 -0.00357424 0.0238853 0.0745238 -0.000962064 0.0345286 0.0916706 -0.00596815 0.0339208 0.0819751 -0.00460231 8.4 8.6 195646 73795 16639 11091 5124
8.7 0.0327564 0.0752718 -0.00971926 0.0297755 0.0720788 -0.00526815 0.0444088 0.0892282 -0.00962315 0.0370845 0.0946395 -0.0151109 8.6 8.8 152429 57285 14117 9268 4155
8.9 0.0476476 0.0698245 -0.0106096 0.0415642 0.0580812 -0.00632413 0.058681 0.0856187 -0.013102 0.0651379 0.0783651 -0.00569312 8.8 9 119717 44632 11612 7516 3540
9.1 0.0679062 0.0659819 -0.00924363 0.0475153 0.0545213 -0.00699729 0.0827751 0.0793078 -0.0135096 0.0854704 0.078112 -0.0139621 9 9.2 95983 35654 9380 6426 2926
