#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 2.32649e-05 0.0210456 -2.28662e-06 2.28197e-05 0.123799 -2.76303e-07 0 0.145528 0 0 0.163105 -4.59432e-05 0 0.145296 0 7.2 7.4 648103 472816 175287 34105 16226 1922
7.5 2.74978e-05 0.0196258 9.36771e-06 5.5322e-05 0.123473 1.55247e-05 2.94144e-05 0.143203 -3.65271e-07 0.000199774 0.158906 0.000123192 0 0.140317 0 7.4 7.6 526349 363665 162684 33997 15017 1826
7.7 7.15561e-06 0.0187266 -9.19972e-06 5.34949e-05 0.118556 0 9.02228e-05 0.13273 5.34757e-05 0 0.149383 -7.13572e-05 0.000606061 0.13328 0.000606061 7.6 7.8 429048 279501 149547 33251 14051 1650
7.9 1.84907e-05 0.0186989 -9.985e-06 0.000181478 0.111452 6.07759e-05 0.000264515 0.123025 0.000108446 0.000315482 0.147312 0.000112003 0 0.133379 0 7.8 8 343062 216325 126737 30244 12679 1465
8.1 5.91135e-05 0.0189021 -2.30939e-07 0.00047784 0.109744 4.13972e-05 0.000607441 0.11837 0.000211386 0.00111649 0.144846 6.81689e-05 0 0.138807 -0.000796178 8 8.2 269618 169166 100452 26340 10748 1195
8.3 0.000179502 0.0191201 5.13146e-05 0.00147028 0.10953 0.000425675 0.00146341 0.116306 0.000457135 0.00271474 0.143303 0.000989482 0.00635786 0.120205 0.00343673 8.2 8.4 211239 133703 77536 22550 9209 1101
8.5 0.000265592 0.018973 -6.46134e-05 0.00301814 0.105994 0.000781721 0.00275293 0.108736 0.000511842 0.00588928 0.143058 0.00151291 0.00774336 0.122976 0.00142757 8.4 8.6 164733 105425 59308 18889 7641 904
8.7 0.000948584 0.0189228 0.000122439 0.00647485 0.106411 0.00156875 0.0041656 0.102658 0.000154806 0.0107093 0.146394 0.00246841 0.00813008 0.121092 0.00110761 8.6 8.8 128534 83282 45252 15604 6443 738
8.9 0.00241512 0.019053 5.29177e-05 0.0137726 0.109177 0.00255457 0.00790152 0.0943368 0.00112678 0.0231831 0.13777 0.00395632 0.0218487 0.138408 0.00448763 8.8 9 98646 64593 34053 12023 5435 595
9.1 0.00637043 0.0211373 0.0012152 0.0295007 0.100508 0.00644242 0.0142776 0.0822586 0.0030416 0.0486173 0.118317 0.0101977 0.0521042 0.103685 0.0123428 9 9.2 76317 50860 25457 8755 4484 499
9.3 0.0124481 0.0234387 0.00163003 0.0492147 0.107458 0.00737341 0.0181973 0.084053 0 0.0828372 0.114495 0.0135954 0.0771084 0.0926528 0.0226061 9.2 9.4 58865 39765 19100 5880 3863 415
9.5 0.0264027 0.0235834 0.00434439 0.0910917 0.0909243 0.0187766 0.030977 0.0788986 0.00483771 0.129052 0.108556 0.0198605 0.146341 0.0755015 0.0400915 9.4 9.6 46213 31777 14436 3777 3239 328
9.7 0.0494307 0.0243335 0.00926298 0.136562 0.0964027 0.0215962 0.0453297 0.075441 0.00675143 0.179391 0.110332 0.0242751 0.230769 0.096817 0.0426159 9.6 9.8 37755 26522 11233 2184 2921 260
9.9 0.0870185 0.0218165 0.0164233 0.191274 0.0891789 0.0302289 0.057971 0.075168 0.00806886 0.245511 0.0892852 0.0374253 0.285714 0.0739979 0.0337143 9.8 10 31325 22432 8893 1173 2562 280
10.1 0.132695 0.0245917 0.0182462 0.27506 0.0689143 0.046517 0.090301 0.0687514 0.0254998 0.362313 0.0544632 0.060041 0.398374 0.0509014 0.062374 10 10.2 27194 20061 7133 598 2335 246
10.3 0.194236 0.0242876 0.0231365 0.344982 0.0699652 0.0319042 0.131206 0.0635995 0.0293875 0.402574 0.0830528 0.0241951 0.439252 0.0562432 0.0179757 10.2 10.4 24096 18287 5809 282 2176 214
10.5 0.256248 0.0271434 0.0164679 0.413202 0.0719394 0.0324061 0.216667 0.0951613 0.0537453 0.474576 0.0708279 0.0341722 0.596154 0.00485623 0.0618401 10.4 10.6 20222 15844 4378 120 1770 208
10.7 0.322776 0.0293037 0.0177838 0.477598 0.0668185 0.0274169 0.24 0.0843243 0.06 0.513669 0.0564459 0.0202617 0.617486 0.0565468 0.0322591 10.6 10.8 16029 12882 3147 50 1390 183
10.9 0.373628 0.0455019 0.00999123 0.545049 0.0681326 0.0281003 0.266667 0.161905 0.0666667 0.514884 0.0746026 0.0134405 0.722222 0.0244445 0.0436508 10.8 11 10855 8835 2020 15 907 144
11.1 0.427806 0.0688809 0.00642145 0.574113 0.105318 0.00404596 0.333333 0.266667 0.166667 0.502381 0.101438 -0.00752002 0.680851 0.0838549 0.0141844 11 11.2 5626 4668 958 6 420 94
11.3 0.495552 0.0962461 0.0131538 0.676218 0.0780679 0.0487106 0.333333 0.666667 0.333333 0.507143 0.0951299 0.0142857 0.875 0.0113636 0.095 11.2 11.4 2260 1911 349 3 140 48
11.5 0.556989 0.149584 0.0128032 0.634146 0.199187 0.00196242 0 0 0 0.576923 0.118729 0.0897436 0.833333 0.166667 0.0151515 11.4 11.6 547 465 82 0 26 18
11.7 0.684932 0.143193 0.0533526 1 0 0.285714 0 0 0 0 1 0 1 0 0 11.6 11.8 77 73 4 0 0 3
11.9 0.2 0.642105 -0.3 0 1 0 0 0 0 0 0 0 0 0 0 11.8 12 5 5 0 0 0 0
12.1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 3 2 1 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
