#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 0.065597 0 0 0.067345 0 0 0.0471698 0 0 0.030303 0 0 0 0 8.625 8.875 157757 155693 2064 106 33 0
9.00 3.92268e-06 0.102955 3.92268e-06 0 0.112064 0 0 0.0809717 0 0 0.0992366 0 0 0 0 8.875 9.125 258426 254928 3498 494 131 0
9.25 1.08145e-06 0.0875738 0 0 0.0971879 0 0 0.109767 0 0 0.130006 0 0 0 0 9.125 9.375 950962 924683 26279 4546 1623 0
9.50 3.77582e-06 0.0604101 2.64308e-06 4.68446e-06 0.0950476 0 2.98927e-05 0.133859 0 0 0.163252 0 0 0 0 9.375 9.625 2.8619e+06 2.64843e+06 213472 33453 9372 0
9.75 1.60865e-05 0.0690696 9.55867e-06 5.68494e-05 0.117233 4.2177e-05 0.000157849 0.176958 0.000131537 0.000172612 0.194441 0.000115071 0 0 0 9.625 9.875 4.8346e+06 4.2893e+06 545300 76022 17380 0
10.00 3.70282e-05 0.0505844 2.73948e-05 0.000268366 0.12639 0.000251258 0.000473423 0.182821 0.000437788 0.000674498 0.20373 0.000561619 0 0 0 9.875 10.125 3.90682e+06 3.3218e+06 585022 84491 17791 0
10.25 4.96246e-05 0.0412441 4.55736e-05 0.00096595 0.139524 0.000900974 0.00159087 0.188007 0.0014777 0.00276817 0.19949 0.00245968 0 0 0 10.125 10.375 2.47589e+06 1.97483e+06 501061 80459 15895 0
10.50 0.000125127 0.0350661 0.000109823 0.0026827 0.154326 0.0024113 0.00465474 0.180476 0.0041095 0.00544735 0.193614 0.00474379 0 0 0 10.375 10.625 1.52352e+06 1.11087e+06 412644 72829 13401 0
10.75 0.000290072 0.0340922 0.000250445 0.00801387 0.149899 0.00666786 0.0113583 0.183547 0.00967009 0.0184377 0.193638 0.0139786 0 0 0 10.625 10.875 866719 630878 235841 53353 9166 0
11.00 0.00102464 0.0397829 0.00087252 0.0228375 0.160387 0.0165659 0.0260061 0.17069 0.0188262 0.0396839 0.182958 0.0284479 0 0 0 10.875 11.125 462439 348416 114023 35684 5947 0
11.25 0.00416315 0.0456047 0.00314479 0.0620089 0.154956 0.0388257 0.0618492 0.160174 0.0397539 0.093154 0.180213 0.0525486 0 0 0 11.125 11.375 242464 189520 52944 22377 4090 0
11.50 0.0146102 0.0577193 0.00971709 0.130172 0.161686 0.0665741 0.100354 0.14533 0.0559474 0.177619 0.17643 0.0821012 0 0 0 11.375 11.625 124024 101162 22862 10732 2663 0
11.75 0.0430142 0.0635746 0.0212872 0.236522 0.146949 0.0837891 0.15681 0.121833 0.0633068 0.309081 0.15162 0.104743 0 0 0 11.625 11.875 62060 52285 9775 2959 1828 0
12.00 0.102993 0.0741055 0.0343951 0.347642 0.133089 0.0858966 0.173913 0.0869565 0.0543478 0.426432 0.158156 0.0873463 0 0 0 11.875 12.125 29970 25963 4007 276 1135 0
12.25 0.209138 0.0734084 0.0514026 0.49026 0.0732582 0.0872747 0.5 0.125 0.125 0.568214 0.0908772 0.104237 0 0 0 12.125 12.375 13446 11906 1540 8 711 0
12.50 0.353072 0.0785224 0.0538333 0.601202 0.062698 0.0601203 0 0 0 0.614943 0.0751159 0.0689656 0 0 0 12.375 12.625 5886 5387 499 0 348 0
12.75 0.507569 0.102176 0.0662252 0.668919 0.0521695 0.0648921 1 0 1 0.604167 0.0729166 0.0833334 0 0 0 12.625 12.875 2262 2114 148 1 96 0
13.00 0.685007 0.0839065 0.085282 0.702703 0.102853 0.0915916 0 0 0 0.6 0.2 0.0666667 0 0 0 12.875 13.125 764 727 37 0 15 0
13.25 0.79638 0.0859728 0.0497738 0.8 0.1 0.1 0 0 0 0 0 0 0 0 0 13.125 13.375 231 221 10 0 0 0
13.50 0.87037 0.074074 0.111111 1 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 58 54 4 0 0 0
13.75 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 4 4 0 0 0 0
14.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0 0
14.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0 0
