#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.000357121 0.0123099 0.000357121 -0.00023936 0.00023936 0.0411027 -0.00023936 0.00023936 0.0743435 -0.00023936 0.00023936 0.0743435 8.625 8.875 249844 3353 20 0 0
9 0.000171444 0.021363 0.000189084 -0.000352802 0.0375216 0.0121162 -0.000352802 0.000347762 0.0958185 -0.000352802 0.000347762 0.0983184 8.875 9.125 400638 3815 98 4 0
9.25 0.000283289 0.0243093 0.000283289 0.000854086 0.0478135 0.000889132 -0.000531915 0.0719516 -0.000288153 -0.000531915 0.000523348 0.081795 9.125 9.375 1.30367e+06 19627 1443 70 0
9.5 0.000963136 0.0269583 0.000936262 0.00284616 0.0777538 0.00279194 0.00483528 0.111137 0.00484092 -0.000978673 0.000941671 0.0623162 9.375 9.625 3.34557e+06 156555 12811 688 0
9.75 0.0035415 0.0472478 0.00331455 0.0118912 0.117295 0.0109878 0.0218916 0.126524 0.0211308 -0.00214272 0.00201899 0.0753463 9.625 9.875 4.20392e+06 356953 27291 1165 0
10 0.00984882 0.0699917 0.00906425 0.0259036 0.145058 0.023804 0.0383315 0.156372 0.0355587 -0.00201427 0.00191002 0.0709673 9.875 10.125 3.02583e+06 368791 31736 1388 0
10.25 0.0248856 0.118624 0.022466 0.0460226 0.177185 0.0395568 0.0603319 0.171041 0.0529373 -0.00249146 0.00233155 0.0641495 10.125 10.375 1.74542e+06 313328 32403 1353 0
10.5 0.0400376 0.12944 0.0341612 0.0631834 0.171613 0.0520949 0.0766425 0.183482 0.0627302 -0.00350661 0.00332034 0.0571801 10.375 10.625 943233 202346 25671 1073 0
10.75 0.0609748 0.127167 0.0483462 0.0883774 0.173822 0.0669095 0.106861 0.191548 0.0855763 -0.00671252 0.00624798 0.0606036 10.625 10.875 475537 88052 17352 722 0
11 0.0887717 0.128053 0.0644204 0.118042 0.163858 0.0839451 0.16288 0.146127 0.107598 -0.0144705 0.0128188 0.0731426 10.875 11.125 232762 37814 11214 468 0
11.25 0.122929 0.113608 0.0746949 0.14472 0.137818 0.0862483 0.261775 0.116835 0.136005 -0.0268155 0.0215793 0.086489 11.125 11.375 107878 14872 6675 298 0
11.5 0.15852 0.0925274 0.0758845 0.142676 0.0940377 0.0710696 0.292162 0.128735 0.118606 -0.0473733 0.0313454 0.0897748 11.375 11.625 47499 5260 3236 215 0
11.75 0.172192 0.0600491 0.0729026 0.0849992 0.0397171 0.0388328 0.325732 0.0832371 0.147602 -0.0805181 0.0480573 0.099256 11.625 11.875 19898 1753 870 128 0
12 0.177907 0.0793707 0.086224 0.0400048 0.0362135 0.0462277 0.320957 0.145526 0.14221 -0.126662 0.059757 0.0940672 11.875 12.125 7586 591 102 105 0
12.25 0.105063 0.0448631 0.0331997 0.298397 0.0720775 0.100134 0.13173 0.0697311 0.0812792 -0.201603 0.0769539 0.0945892 12.125 12.375 2645 150 6 48 0
12.5 0.158051 0.0411017 0.0956215 -0.266949 0.0579096 0.105932 0.156128 0.0609518 0.0882225 -0.266949 0.0579096 0.105932 12.375 12.625 748 40 0 26 0
12.75 -0.0140351 0.077193 0.150877 -0.347368 0.0578947 0.110526 -0.0140351 0.077193 0.150877 -0.347368 0.0578947 0.110526 12.625 12.875 196 6 0 6 0
13 -0.421053 0.131579 0.105263 -0.421053 0.131579 0.105263 -0.421053 0.131579 0.105263 -0.421053 0.131579 0.105263 12.875 13.125 39 1 0 1 0
13.25 -0.5 0 0 -0.5 0 0 -0.5 0 0 -0.5 0 0 13.125 13.375 4 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
