#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0.75 0 0 0.933333 0 0 0.888889 0 8.625 8.875 45979 257 334 86
9.00 0 0.689189 0 0 0.73125 0 0 0.777778 0 8.875 9.125 82560 893 1184 316
9.25 1 0 1 0 0.672377 0 0 0.701357 0 9.125 9.375 383221 6608 8325 2405
9.50 1 -0.223698 1 0 0.866639 0 0 0.760309 0 9.375 9.625 1.50852e+06 28697 27751 7267
9.75 0.235294 0.470885 0.0247678 0.4 0.342498 0.254545 0.333333 0.437515 0.333333 9.625 9.875 3.62502e+06 72684 55055 13055
10.00 0.285714 0.566039 0.119048 0 0.846842 0 0 0.882236 0 9.875 10.125 4.11811e+06 99940 70042 15930
10.25 0.2 0.702439 -0.05 0.333333 0.588418 -0.166667 0 1 0 10.125 10.375 2.82231e+06 96109 62338 13801
10.50 0 0.945946 0 0.666667 0.333333 -0.0833333 0 1 -0.5 10.375 10.625 1.7572e+06 84427 49305 10779
10.75 1 -0.0769231 0.276634 0.5 0.443902 -0.258668 0 0.928571 -0.5 10.625 10.875 1.08821e+06 70016 35865 7618
11.00 0.818182 0.0948617 0.0689642 0.884615 0.0460911 0.105732 0.833333 0.126667 0.0852074 10.875 11.125 632484 50215 24128 4841
11.25 0.857143 0.0603055 0.0873315 0.877049 0.0406196 0.119132 0.892857 0.0271429 0.155941 11.125 11.375 356976 33147 15682 3121
11.50 0.856089 0.0434089 0.092436 0.849174 0.0520268 0.0998623 0.834783 0.0371386 0.13865 11.375 11.625 201854 18098 10431 1825
11.75 0.868159 0 0.101457 0.830893 0.0260944 0.114691 0.823105 0.0315962 0.115116 11.625 11.875 112785 5408 7185 1249
12.00 0.807692 0.0109606 0.0917832 0.769873 0.018926 0.0842462 0.726316 0.0373658 0.0790855 11.875 12.125 62759 573 4829 762
12.25 0.780488 0.0487805 0.0617378 0.629761 0.0271307 0.0630942 0.584211 0.0274916 0.0716757 12.125 12.375 33880 59 3077 504
12.50 0.833333 0.0238096 0.119048 0.427541 0.0424721 0.0497056 0.440625 0.0273885 0.0739583 12.375 12.625 18197 6 1725 337
12.75 1 0 0.333333 0.313929 0.0485161 0.080736 0.303797 0.0396808 0.0410856 12.625 12.875 9217 3 508 246
13.00 0 0 0 0.25 0.0637255 0.0801887 0.14 0.0404511 0.02 12.875 13.125 4603 0 55 154
13.25 0 0 0 0 0 0 0.104651 0.0232558 0.0356856 13.125 13.375 2126 0 2 88
13.50 0 0 0 0 0 0 0.0357143 0.0357143 0.0178571 13.375 13.625 898 0 0 56
13.75 0 0 0 0 0 0 0.1 0.00526316 0 13.625 13.875 346 0 0 20
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 116 0 0 1
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 18 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 2 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 1 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
