#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0 0.0601565 0 0 0.0659341 0 0 0.0538922 0 0 0.079646 0 0 0 0 8.625 8.875 105783 104145 1638 167 113 2
9.00 0 0.0996549 0 0.000247036 0.0958498 0.000247036 0 0.0955882 0 0 0.122066 0 0 0 0 8.875 9.125 178761 174713 4048 680 426 17
9.25 1.46407e-06 0.087515 0 0 0.10971 0 0 0.11761 0 0 0.121577 0 0 0.115942 0 9.125 9.375 715785 683026 32759 6292 3981 138
9.50 1.85737e-06 0.0574675 4.64342e-07 4.62372e-06 0.107483 4.62372e-06 0 0.136276 0 5.29493e-05 0.158159 5.29493e-05 0 0.14845 0 9.375 9.625 2.36986e+06 2.15358e+06 216276 36925 18886 613
9.75 1.57854e-05 0.0633069 3.00674e-06 3.8662e-05 0.124495 1.40616e-05 3.46809e-05 0.174512 2.00453e-09 8.32039e-05 0.204817 2.77377e-05 0.000935454 0.190833 0.000935454 9.625 9.875 4.56007e+06 3.99104e+06 569034 86503 36056 1069
10.00 1.87143e-05 0.0502731 5.18243e-06 1.40702e-05 0.127273 0 2.98701e-05 0.172371 4.16367e-09 0 0.203074 0 0 0.167965 0 9.875 10.125 4.11292e+06 3.47327e+06 639652 100435 37830 1156
10.25 5.5868e-06 0.0405397 1.86227e-06 3.57461e-05 0.128081 1.59288e-05 7.40717e-05 0.16957 3.15561e-05 0.000150114 0.184543 5.85026e-05 0 0.160542 0 10.125 10.375 2.70742e+06 2.14792e+06 559501 94503 33308 1043
10.50 7.35119e-06 0.0339878 5.71759e-06 9.22341e-05 0.140009 7.84646e-05 0.000194031 0.162109 0.000182146 0.000219861 0.17688 0.000146713 0.00111857 0.180212 0.00111857 10.375 10.625 1.6905e+06 1.22429e+06 466205 87615 27290 894
10.75 1.99073e-05 0.0307511 1.56415e-05 0.000685669 0.140441 0.000524661 0.000829507 0.154564 0.000639279 0.00155296 0.179676 0.00107641 0 0.150082 0 10.625 10.875 1.00807e+06 703259 304812 67510 19318 662
11.00 7.78202e-05 0.0296319 4.76963e-05 0.00418187 0.140082 0.00274215 0.00394654 0.148794 0.00255496 0.00894979 0.169019 0.00628334 0.00959233 0.165408 0.00491943 10.875 11.125 554265 398354 155911 45863 12626 417
11.25 0.000531032 0.032442 0.000285597 0.0203709 0.15547 0.0103001 0.0163845 0.151257 0.00873364 0.0346401 0.171319 0.0155442 0.0334448 0.162984 0.00844481 11.125 11.375 300672 224092 76580 29479 8545 299
11.50 0.00374861 0.0391486 0.00168648 0.0713652 0.149931 0.0285138 0.0452595 0.137516 0.0177964 0.105945 0.169886 0.0375567 0.140127 0.2047 0.0341671 11.375 11.625 161195 125113 36082 14914 5635 157
11.75 0.0211529 0.0463995 0.00652652 0.184743 0.151195 0.0443956 0.110791 0.119136 0.0334624 0.237484 0.167002 0.0513162 0.275862 0.12069 0.0458621 11.625 11.875 85580 68643 16937 4161 3815 116
12.00 0.0851805 0.056962 0.0178542 0.366834 0.118015 0.0621147 0.268473 0.0837438 0.0575548 0.413916 0.127227 0.0718325 0.323077 0.0675481 0.0574519 11.875 12.125 43973 36182 7791 406 2515 65
12.25 0.22767 0.0609409 0.0436135 0.563771 0.0656837 0.0533314 0.416667 0.166667 0 0.601001 0.0638308 0.055546 0.711111 0.0222222 0.0599483 12.125 12.375 21887 18641 3246 24 1599 45
12.50 0.463324 0.0799212 0.0591198 0.728125 0.0332841 0.0413118 1 0 0.5 0.731586 0.0418322 0.0399612 0.821429 0.0357143 0.0714286 12.375 12.625 10414 9134 1280 2 801 28
12.75 0.709016 0.0925748 0.0928158 0.823913 0.0602741 0.0456522 0 0 0 0.754717 0.0754717 0.0707547 0.925926 0.0370371 0.0797721 12.625 12.875 4608 4148 460 0 212 27
13.00 0.861032 0.0709019 0.102666 0.924528 0.0377359 0.0628931 1 0 0 0.88 0 0.16 1 0 0 12.875 13.125 1922 1763 159 1 25 14
13.25 0.929003 0.0347432 0.0664653 0.970588 0.0294118 0.0588235 0 0 0 0 0 0 0.923077 0.0769231 0.0769231 13.125 13.375 696 662 34 0 0 13
13.50 0.9819 0 0.040724 1 0 0 0 0 0 0 0 0 1 0 0 13.375 13.625 231 221 10 0 0 5
13.75 0.980392 0 0.0196078 1 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 52 51 1 0 0 0
