#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0.875 0.125 0.875 0.5625 0.121711 0.5625 0.896552 -0.00766283 0.896552 8.625 8.875 26240 128 278 352
9.00 0.684211 0.0194932 0.684211 0.744186 0.0335917 0.744186 0.795082 -0.0104666 0.795082 8.875 9.125 46488 391 1016 1149
9.25 0.722222 0.0477778 0.11447 0.751314 0.0392147 0.0676273 0.804233 0.195767 0.055737 9.125 9.375 215934 2455 6146 6066
9.50 0.650185 0.220949 0.0746706 0.735157 0.179129 0.0922725 0.753355 0.164626 0.0776696 9.375 9.625 777438 8363 13045 12434
9.75 0.711214 0.178125 0.124478 0.766696 0.151617 0.126932 0.805913 0.120816 0.113052 9.625 9.875 2.15478e+06 28051 33015 28362
10.00 0.88818 0.0563699 0.0805832 0.909274 0.0445182 0.0847082 0.919755 0.0347534 0.081014 9.875 10.125 3.36206e+06 65539 69264 56427
10.25 0.932867 0.0210848 0.0670181 0.939904 0.0188797 0.0646132 0.939086 0.0187018 0.0617486 10.125 10.375 2.50784e+06 68833 69112 53869
10.50 0.939631 0.0155211 0.0598772 0.950412 0.0100319 0.0587087 0.949012 0.0105413 0.0509343 10.375 10.625 1.58947e+06 56224 54482 40906
10.75 0.944347 0.00932437 0.0585597 0.955532 0.00533783 0.0583958 0.944688 0.0149726 0.0519285 10.625 10.875 988274 43892 40200 28929
11.00 0.940847 0.00717515 0.0577548 0.946192 0.0084812 0.0524474 0.952291 0.00588816 0.0617008 10.875 11.125 609814 33770 28037 19493
11.25 0.92668 0.00889057 0.0540099 0.941938 0.0047912 0.0580078 0.94069 0.00979167 0.0539406 11.125 11.375 361656 24225 18231 12615
11.50 0.896609 0.00641686 0.0528254 0.918754 0.00305772 0.0506244 0.928593 0.00409323 0.0581193 11.375 11.625 212818 14620 11824 7678
11.75 0.837153 0.00812846 0.0449872 0.868812 0.00350225 0.0535387 0.865441 0.00964904 0.0456088 11.625 11.875 124810 4901 7655 4899
12.00 0.754325 0.00998449 0.0473485 0.698862 0.0172085 0.0419784 0.712248 0.0143853 0.0494685 11.875 12.125 72771 557 5278 3094
12.25 0.69863 -0.00745368 0.0789118 0.500796 0.0207497 0.0385694 0.466329 0.0254295 0.0380647 12.125 12.375 42099 96 3389 1844
12.50 0.666667 0.0333333 0.121212 0.269957 0.051206 0.0236144 0.246154 0.0531085 0.0294519 12.375 12.625 24172 13 1988 1166
12.75 0.222222 0.277778 0 0.16092 0.0656563 0.0175917 0.185897 0.037632 0.0301797 12.625 12.875 13788 9 696 853
13.00 0 0 0 0.0588235 0.0974265 0.0024855 0.0726577 0.0146603 0.0100391 12.875 13.125 7734 1 74 546
13.25 0 0 0 0 0 0 0.0373333 0.0211625 0.00445662 13.125 13.375 4223 0 4 390
13.50 0 0 0 0 0 0 0.0315315 0.0203553 0.00794663 13.375 13.625 2230 0 0 225
13.75 0 0 0 0 0 0 0.0138889 0.0159619 0 13.625 13.875 1139 0 0 75
14.00 0 0 0 0 0 0 0.142857 0 0.0178571 13.875 14.125 527 0 0 7
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 239 0 0 1
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 63 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 26 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 2 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 1 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
