#Observed stellar masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.185151 0.0589243 0.0170394 0.191526 0.0657411 0.0170754 0.220011 0.0656887 0.0175698 0.214973 0.0627104 0.0168308 7.2 7.4 750404 178510 21654 22999 20672
7.5 0.191754 0.0559842 0.016983 0.192921 0.0603461 0.0177128 0.232021 0.0614505 0.0190618 0.218847 0.0620244 0.016128 7.4 7.6 649499 167068 21185 22307 19746
7.7 0.200593 0.0545993 0.0171781 0.197164 0.0616557 0.0138322 0.232901 0.0633987 0.0189262 0.232303 0.0581477 0.0235315 7.6 7.8 541880 147734 19283 20475 18125
7.9 0.214525 0.054388 0.0221294 0.21316 0.0520541 0.0241338 0.250326 0.0629116 0.026054 0.234484 0.0625594 0.0202447 7.8 8 441147 127182 17143 18432 16124
8.1 0.234257 0.0574025 0.0232213 0.218154 0.0605415 0.0223036 0.265473 0.0640128 0.0238916 0.251384 0.0643356 0.0195214 8 8.2 354933 107259 14977 15927 13808
8.3 0.267403 0.0550678 0.0299439 0.245889 0.050025 0.0325178 0.288203 0.0630942 0.0248992 0.282897 0.0574631 0.0307285 8.2 8.4 285610 92397 12986 14112 12214
8.5 0.274813 0.0634114 0.0237828 0.26201 0.0548815 0.028485 0.287697 0.0664813 0.0208051 0.289997 0.063421 0.0252984 8.4 8.6 234446 83165 12111 12697 10686
8.7 0.266726 0.0620519 0.0220558 0.25695 0.0617696 0.0225701 0.29377 0.0568025 0.0230786 0.279739 0.0664222 0.0190316 8.6 8.8 193132 72456 11022 10874 9217
8.9 0.264685 0.0624021 0.0204008 0.256678 0.0548286 0.0238904 0.281225 0.0664094 0.0168276 0.281575 0.0648223 0.0204523 8.8 9 156808 59573 9845 9199 7890
9.1 0.271151 0.0578658 0.0265516 0.253919 0.0533408 0.0278429 0.294195 0.0558879 0.0272299 0.286616 0.0603916 0.0244156 9 9.2 128447 48451 8420 7807 6663
9.3 0.26744 0.0638182 0.0196893 0.245676 0.0567664 0.0230078 0.280332 0.0592915 0.0243572 0.295168 0.060166 0.0221358 9.2 9.4 106635 39741 7034 6607 5656
9.5 0.267456 0.060449 0.0209509 0.218731 0.0594785 0.0219164 0.268269 0.0673558 0.0123635 0.289351 0.0601288 0.0197398 9.4 9.6 89916 33158 5480 5692 4900
9.7 0.274454 0.061411 0.0205561 0.194621 0.0714206 0.0201585 0.297308 0.0541985 0.0262419 0.295407 0.0608054 0.0206737 9.6 9.8 75922 27532 4070 4823 4294
9.9 0.280122 0.0555341 0.0265338 0.190185 0.0650568 0.0311537 0.296725 0.0563024 0.025555 0.312888 0.0468192 0.0290236 9.8 10 64954 23093 2683 4302 3869
10.1 0.274404 0.0614793 0.0157408 0.174575 0.0833488 0.0232712 0.271397 0.0678906 0.00409675 0.30959 0.0539285 0.0217263 10 10.2 56702 19668 1511 3929 3365
10.3 0.285271 0.0515429 0.0249672 0.147229 0.0697322 0.0420265 0.305258 0.0467892 0.0262326 0.294615 0.0549953 0.0202288 10.2 10.4 49936 17156 741 3621 3114
10.5 0.281962 0.0517305 0.0241241 0.116316 0.129539 0.0253351 0.292848 0.039407 0.0299392 0.309703 0.0476315 0.0243833 10.4 10.6 42918 14077 293 3301 2646
10.7 0.257218 0.0388134 0.0198528 0.11067 0.0975796 0.0234154 0.241639 0.0365476 0.0186117 0.28182 0.0327812 0.0257645 10.6 10.8 34398 10626 124 2423 2259
10.9 0.219414 0.0263844 0.0239608 0.200897 0.0606176 0.0893685 0.188118 0.0332512 0.0249171 0.248709 0.0253946 0.0291492 10.8 11 23743 6853 39 1567 1618
11.1 0.15834 0.0457593 0.0298586 0.264507 -0.00924587 0.219388 0.112111 0.0515586 0.0347955 0.184794 0.0439239 0.0332853 11 11.2 13221 3405 10 626 907
11.3 0.109662 0.0395477 0.0406724 -0.266195 0.482975 0.529114 0.0568821 0.0601947 0.0477694 0.117367 0.0434943 0.0455665 11.2 11.4 5975 1313 2 130 438
11.5 0.0523201 0.0410792 0.0226701 -0.878619 0.114241 0.0563703 0.121381 0.0189236 0.114495 0.0563402 0.0315347 0.0366806 11.4 11.6 2158 362 0 7 123
11.7 0.0537315 0.0474449 0.0308909 -0.918871 0.0598969 0.0420367 -0.918871 0.0634705 0.0396125 -0.00220454 0.079574 0.0123406 11.6 11.8 640 73 0 0 24
11.9 0.0434783 0.0412675 0.0162055 -0.956522 0.0491143 0.0137753 -0.956522 0.0491143 0.0137753 0.0434783 0.0458835 0.0168116 11.8 12 195 11 0 0 2
12.1 -0.961538 0.992788 0.0106838 -0.961538 0.0686813 0.017185 -0.961538 0.0686813 0.017185 -0.961538 0.0686813 0.017185 12 12.2 26 0 0 0 0
12.3 -1 0.2 0 -1 0.2 0 -1 0.2 0 -1 0.2 0 12.2 12.4 2 0 0 0 0
12.5 0 0 1 0 0 1 0 0 1 0 0 1 12.4 12.6 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0
