#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0 1 0 1 0 0.5 0 1 0 7.2 7.4 650717 34039 17074 2253
7.5 0 1 0 1 0 0.304348 0 0.987654 0 7.4 7.6 527437 33614 15593 2077
7.7 1 0 0.238095 1 0 0.215426 0 1 0 7.6 7.8 431380 32918 14510 1934
7.9 1 0 0.241379 1 0 0.216531 0 0.96 0 7.8 8 346251 30355 13055 1692
8.1 0.95 0.05 0.128862 0.6 0.4 -0.162376 0 1 0 8 8.2 272774 26498 11299 1405
8.3 0.9375 0.0504518 0.1208 0.633333 0.336591 -0.045912 1 0 0.369565 8.2 8.4 213340 22419 9439 1245
8.5 0.840909 0.115295 0.0219465 0.666667 0.261086 -0.0488263 0.666667 0.333333 -0.0133333 8.4 8.6 167047 19057 8036 1025
8.7 0.833333 0.125641 0 0.766667 0.148062 0.0460625 0.727273 0.237013 0.0454546 8.6 8.8 129813 15648 6754 837
8.9 0.877551 0.0772877 0.0348544 0.742574 0.165773 0.0210273 0.5 0.4 -0.153061 8.8 9 100140 11986 5652 698
9.1 0.919355 0.0406451 0.0721666 0.688679 0.185195 0.00632626 0.576923 0.28022 -0.0307692 9 9.2 77737 8893 4833 590
9.3 0.952381 0.00396001 0.0857143 0.693069 0.14139 0.0185131 0.615385 0.207196 0.0347395 9.2 9.4 59438 6031 3822 460
9.5 0.898438 0.0341866 0.0385153 0.733333 0.0957265 0.0698413 0.72093 0.0855214 0.141983 9.4 9.6 47583 3811 3447 388
9.7 0.883495 0.0395818 0.0289497 0.684982 0.0993735 0.0709466 0.60241 0.17781 0.0190763 9.6 9.8 38754 2298 3009 359
9.9 0.945205 -0.00706112 0.0820476 0.663408 0.0762371 0.0638708 0.666667 0.050505 0.133333 9.8 10 32679 1268 2729 302
10.1 0.888889 0.0294784 0.0483092 0.667861 0.0559481 0.0632102 0.6 0.073913 0.0903847 10 10.2 28529 661 2455 271
10.3 0.823529 0.0588235 0.0521008 0.691767 0.0225186 0.0691256 0.582677 0.0694968 0.0826772 10.2 10.4 25649 288 2328 277
10.5 0.875 0.075 0.0416667 0.681614 0.0300085 0.0368267 0.545455 0.0678788 0.0454546 10.4 10.6 21555 128 1944 247
10.7 0.875 0.125 0.0568182 0.705195 0.0177681 0.0455413 0.565891 0.0235125 0.09736 10.6 10.8 17298 66 1500 205
10.9 1 0 0.166667 0.748971 0.00356436 0.0613356 0.448529 0.0673436 0.0291746 10.8 11 11288 22 900 185
11.1 1 0 1 0.784232 -0.00257301 0.0777478 0.46988 -0.000491738 0.0869008 11 11.2 6190 6 466 108
11.3 0 1 0 0.725275 0.052503 0.0313972 0.361702 0.0707303 0.0425532 11.2 11.4 2388 1 164 57
11.5 0 0 0 0.666667 0.166667 0.166667 0.833333 -0.166667 0.525641 11.4 11.6 550 0 18 8
11.7 0 0 0 0 0.5 0 0 0.333333 0 11.6 11.8 71 0 0 2
11.9 0 0 0 0 0 0 0 0 0 11.8 12 5 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 1 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
