#Peak halo masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Cen_Halo_Counts Bestfit_Sat_Halo_Counts Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0 0
8.75 0.0501886 0.0599885 0.0500656 0.0627366 0.0762574 0.0627366 0.0859375 0.0859375 0.0859375 0.0631229 0.0930233 0.0631229 0.0659026 0.0659026 0.0659026 8.625 8.875 26237 24388 1849 128 301 349
9.00 0.0800528 0.0919189 0.079906 0.0921883 0.103734 0.0920079 0.0815348 0.105516 0.0815348 0.0881764 0.0951904 0.0881764 0.105217 0.109565 0.105217 8.875 9.125 46416 40873 5543 417 998 1150
9.25 0.0641413 0.0807462 0.063951 0.0942755 0.110723 0.0937548 0.095799 0.1064 0.095799 0.0912572 0.111838 0.0907786 0.0937295 0.111622 0.0930729 9.125 9.375 216571 183922 32649 2547 6268 6092
9.50 0.0371311 0.0494133 0.0363137 0.102462 0.107511 0.0978213 0.0942281 0.111034 0.0909828 0.111767 0.119985 0.106537 0.129681 0.121876 0.12227 9.375 9.625 781682 696128 85554 8628 13385 12685
9.75 0.0544286 0.0719878 0.0499792 0.12622 0.123952 0.104773 0.132907 0.131425 0.11161 0.164136 0.150522 0.133831 0.175382 0.152284 0.142285 9.625 9.875 2.16946e+06 1.90271e+06 266748 28644 33789 28703
10.00 0.0385644 0.0552149 0.0321094 0.117467 0.120783 0.076555 0.123392 0.130616 0.0820762 0.143155 0.138568 0.0858009 0.150731 0.142182 0.0917315 9.875 10.125 3.37989e+06 2.82478e+06 555110 66252 69931 56498
10.25 0.0284284 0.0422747 0.0203127 0.116258 0.11804 0.0543202 0.119558 0.126415 0.0565197 0.142691 0.131847 0.0602991 0.141065 0.132459 0.0600271 10.125 10.375 2.51558e+06 1.97345e+06 542130 69397 69451 53819
10.50 0.0250448 0.0337709 0.0142647 0.121287 0.10207 0.0319371 0.1259 0.110547 0.0340982 0.148991 0.116333 0.0302897 0.14502 0.116298 0.0275843 10.375 10.625 1.59327e+06 1.17773e+06 415536 56831 54681 40746
10.75 0.0256954 0.0284203 0.00964774 0.152096 0.0884504 0.0126527 0.147572 0.0921049 0.0152802 0.179811 0.0998131 0.0119239 0.174087 0.0921265 0.00833024 10.625 10.875 990591 699853 290738 44358 40398 28796
11.00 0.0341417 0.0255244 0.00697236 0.204368 0.0750513 0.000628367 0.189789 0.0760422 0.0056567 0.232759 0.0771833 0.00127225 0.236858 0.0747741 0 10.875 11.125 611142 415211 195931 34101 28188 19404
11.25 0.0539346 0.0227118 0.00699945 0.278863 0.0608874 0.00294423 0.24158 0.060221 0.00631259 0.307462 0.0604254 0.00549963 0.318092 0.0590648 0.00369906 11.125 11.375 362110 247448 114662 24406 18347 12619
11.50 0.0949527 0.0216312 0.00835385 0.384095 0.0526037 0.00775498 0.321112 0.0486859 0.0123076 0.408715 0.0567082 0.00587445 0.422734 0.0572041 0.00465682 11.375 11.625 212968 148674 64294 14783 11864 7636
11.75 0.168081 0.0187432 0.0178652 0.503697 0.0349386 0.0139789 0.413012 0.0327988 0.0192717 0.522872 0.0380796 0.0156685 0.548294 0.0323786 0.015595 11.625 11.875 124808 88832 35976 4903 7717 4835
12.00 0.270316 0.0206442 0.0240691 0.633289 0.0255144 0.0156869 0.524412 0.0331746 0.0289331 0.646948 0.0252972 0.0171697 0.649083 0.0279014 0.0121337 11.875 12.125 72780 52557 20223 553 5308 3052
12.25 0.414619 0.0241199 0.0398796 0.740111 0.0225192 0.0229205 0.8 0.0333333 0.0352941 0.746392 0.0190158 0.0295932 0.755447 0.02162 0.0180959 12.125 12.375 42039 31219 10820 100 3395 1836
12.50 0.571444 0.0427846 0.0597782 0.834164 0.0204124 0.0301772 0.92 0.08 0.02 0.827914 0.0191633 0.0359313 0.83035 0.0215024 0.0270708 12.375 12.625 24120 18301 5819 25 1999 1173
12.75 0.718048 0.0476817 0.0728863 0.909032 0.0195391 0.0301637 1 0 0 0.879536 0.0276073 0.0425632 0.919906 0.0100229 0.0310169 12.625 12.875 13733 10633 3100 11 689 849
13.00 0.828689 0.0436933 0.0682606 0.943902 0.0117095 0.027285 1 0 0 0.943662 0.028169 0.0161257 0.953532 0.00694269 0.0252228 12.875 13.125 7705 6065 1640 2 71 538
13.25 0.895711 0.027027 0.0669801 0.96076 0.00955087 0.0216732 0 0 0 1 0 0.142857 0.960836 0.0156043 0.00629008 13.125 13.375 4194 3404 790 0 7 383
