#Observed stellar masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.803571 0.17156 0.0515556 0.625 0.328153 0 0 1 0 7.2 7.4 616863 33230 8213 110
7.5 0.848485 0.125874 0.0788513 0.846154 0.0937368 0.179487 0 1 0 7.4 7.6 499099 32929 7930 151
7.7 0.809091 0.146605 0.0392796 0.83871 0.148632 0.109635 1 0 1 7.6 7.8 392924 30999 7182 154
7.9 0.818841 0.11733 0.0639659 0.825 0.137025 0.112356 1 0 1 7.8 8 304168 27115 6428 116
8.1 0.848039 0.0904721 0.0764074 0.72973 0.188181 0.0128565 0 1 0 8 8.2 233031 23140 5365 95
8.3 0.850909 0.0857998 0.0783998 0.761905 0.166095 0.0619048 0 1 0 8.2 8.4 178584 19487 4638 66
8.5 0.848485 0.0862332 0.0651847 0.747967 0.156794 0.0508066 1 0 0.5 8.4 8.6 136417 16116 3876 74
8.7 0.874233 0.0614104 0.0794187 0.772414 0.0963362 0.0778383 0.833333 0.166667 0.190476 8.6 8.8 104459 12925 3282 60
8.9 0.875 0.0635246 0.0699296 0.757282 0.0981401 0.0888788 1 0 1 8.8 9 79413 9883 2767 36
9.1 0.878893 0.0445307 0.0632502 0.743902 0.0987942 0.0867968 0.8 0.2 0.55 9 9.2 60164 6961 2361 33
9.3 0.913876 0.00945777 0.0734681 0.750958 0.0779663 0.105274 0.8 0.1 0.3 9.2 9.4 45615 4458 1858 26
9.5 0.88189 0.0479348 0.0293257 0.752443 0.0728582 0.122326 0.5 0.333333 0 9.4 9.6 33874 2600 1671 36
9.7 0.897727 0.0538856 0.0310606 0.715686 0.0745378 0.0879806 1 0 1 9.6 9.8 25435 1390 1348 17
9.9 0.945946 0.00405407 0.0936732 0.693694 0.0719313 0.0592851 0.666667 0.333333 0.333333 9.8 10 19870 682 1171 20
10.1 0.88 0.0673684 0.0466667 0.713396 0.0436894 0.0875892 0.2 0.55 0 10 10.2 15385 286 937 9
10.3 0.888889 0.0522876 0.0555556 0.705085 0.0291495 0.0703021 0.571429 0.142857 0.238095 10.2 10.4 12185 92 844 24
10.5 1 0 0.142857 0.680702 0.0592983 0.0488836 0.6 0.2 0.1 10.4 10.6 9187 48 680 14
10.7 1 0 1 0.760417 0.0295377 0.0759904 0.666667 0.111111 0.266667 10.6 10.8 6728 10 476 13
10.9 0 1 0 0.780488 0.0349884 0.0604877 0.8 -0.1 0.4 10.8 11 4610 9 337 14
11.1 0 1 0 0.835616 -0.00463051 0.0802972 0 0.625 -0.2 11 11.2 2491 1 176 7
11.3 0 1 0 0.76 0.0548148 0.0781818 0 0.5 0 11.2 11.4 1003 1 62 6
11.5 0 0 0 1 0 0.125 0 0 0 11.4 11.6 297 0 11 0
11.7 0 0 0 0 1 0 0 0 0 11.6 11.8 58 0 2 0
11.9 0 0 0 0 0 0 0 0 0 11.8 12 9 0 0 0
12.1 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0
