#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0.0184653 0.013384 0.0159351 0.0199531 0.0377681 0.0207089 0.0462078 -0.00201635 0.0394504 -0.00347595 0.0320713 -0.00226671 8.625 8.875 28461 1998 109 340 372
9 -0.00159642 0.0104718 0.00176752 -0.00131384 0.00279928 0.0176217 0.000903368 0.00751075 0.0084931 0.00575 0.00641829 0.00763172 8.875 9.125 48764 6009 404 1036 1279
9.25 0.0254191 0.0185382 0.0231813 0.0231659 0.0145606 0.021567 0.0308832 0.0182568 0.0284219 0.0245483 0.0159743 0.0223348 9.125 9.375 219598 31523 2264 5599 6133
9.5 0.0741524 0.0444462 0.0569415 0.0571004 0.0462631 0.0438364 0.091486 0.050588 0.0679058 0.101585 0.0618397 0.0787351 9.375 9.625 757390 74662 7043 11150 11332
9.75 0.082785 0.0383274 0.0367728 0.0867508 0.0493933 0.041974 0.123612 0.057039 0.0564818 0.137487 0.0601917 0.0604673 9.625 9.875 2.05943e+06 231714 23821 28666 26472
10 0.0991164 0.0559281 0.0262735 0.103686 0.0596672 0.0308392 0.129231 0.0676822 0.0312911 0.135336 0.0695618 0.0316793 9.875 10.125 3.23181e+06 523661 59908 65101 57087
10.25 0.120251 0.0624958 0.0209172 0.126279 0.0680925 0.0233535 0.151224 0.0695212 0.022812 0.150948 0.0686882 0.0233633 10.125 10.375 2.44952e+06 522900 64338 67021 55107
