#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0.0204707 0 0 0.0252448 0 0 0.0131649 0 0 0.00751669 0.0038353 8.625 8.875 42316 1839 226 314 87
9 0 0.0180649 2.84479e-05 0 0.0114801 2.84479e-05 0 0.021306 1.42239e-05 0 0 0.00673001 8.875 9.125 76194 5890 902 1251 389
9.25 4.66038e-05 0.0415171 2.33019e-05 0.000303398 0.0516688 0.000151699 0 0.0401806 3.17737e-06 0 0.0464018 3.17737e-06 9.125 9.375 357641 42915 6592 8822 2941
9.5 9.48088e-06 0.0788462 3.19997e-06 -1.27999e-05 0.0910242 -1.59999e-06 2.30668e-05 0.116628 1.11999e-05 -1.27999e-05 0.120043 -1.59999e-06 9.375 9.625 1.42954e+06 179527 27212 27881 8386
9.75 7.54614e-05 0.0828865 5.70101e-05 0.000179577 0.115228 6.50472e-05 0.000143207 0.143339 0.000115951 0.000301689 0.151885 0.000258817 9.625 9.875 3.52051e+06 484032 69992 55298 15245
10 -1.08653e-05 0.0872607 -1.37893e-06 -9.09738e-06 0.113318 -8.51412e-06 -2.85514e-05 0.13759 -3.47136e-06 8.68475e-05 0.136507 8.13765e-05 9.875 10.125 4.08864e+06 659615 98533 72395 19128
10.25 1.19704e-05 0.0956088 8.88625e-07 3.39628e-05 0.119618 1.41253e-05 2.29002e-05 0.13892 -1.85938e-05 -8.11768e-06 0.132059 -4.05884e-06 10.125 10.375 2.81475e+06 597368 95056 64479 16537
