#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0.0202039 3.41565e-05 0 0.023724 0.000752149 0 0.00880689 3.41565e-05 0 0.0485542 3.41565e-05 8.625 8.875 31416 2139 242 430 224
9 -2.00517e-05 0.0165112 0 -2.00517e-05 0.019334 0 -2.00517e-05 0.0161213 2.00517e-05 -2.00517e-05 0.018815 0 8.875 9.125 56503 6632 808 1429 768
9.25 -4.41051e-06 0.0483446 4.41051e-06 -4.41051e-06 0.0500647 4.41051e-06 -4.41051e-06 0.0567892 4.41051e-06 -4.41051e-06 0.0494794 4.41051e-06 9.125 9.375 272251 45520 5780 9448 5474
9.5 1.62225e-05 0.0933231 1.79073e-06 7.72872e-05 0.0980781 3.91611e-05 2.35502e-05 0.12576 4.13835e-06 6.07357e-05 0.127876 6.59105e-05 9.375 9.625 1.12371e+06 157495 21549 25592 13113
9.75 6.95013e-05 0.0936699 2.3125e-05 0.00011916 0.12011 2.31997e-05 0.00018006 0.147584 4.96177e-05 0.000141801 0.163188 6.51922e-05 9.625 9.875 3.07933e+06 426105 57499 52832 24690
10 -2.39632e-05 0.101377 -9.33887e-06 2.10827e-06 0.126623 -2.00681e-05 -4.86158e-06 0.146082 -7.9528e-06 -5.00104e-05 0.148029 -6.58754e-05 9.875 10.125 3.9275e+06 642152 90774 77524 34456
10.25 1.04763e-05 0.104773 -2.27642e-05 5.97425e-06 0.128042 -3.3594e-05 -2.52088e-06 0.147329 -6.15653e-05 1.61248e-05 0.141706 1.80653e-06 10.125 10.375 2.75391e+06 590108 88450 70839 30523
