#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 0 0.00535918 0 0 0.00448941 0 0 0.0205221 0 0 0.00935097 0.00443013 8.625 8.875 53553 1888 237 268 51
9 -2.23077e-05 0.0043876 0 -2.23077e-05 0.00919197 0 -2.23077e-05 0.00460357 0.000785425 -2.23077e-05 0.0197063 0 8.875 9.125 95012 5357 904 1052 214
9.25 -5.1085e-06 0.0358237 0 -5.1085e-06 0.0386321 2.55425e-06 -5.1085e-06 0.0443189 2.55425e-06 -5.1085e-06 0.0351607 2.55425e-06 9.125 9.375 431950 40446 6708 7705 1696
9.5 1.77469e-05 0.0691183 6.96186e-06 5.66095e-05 0.0871471 3.01181e-05 -8.21404e-06 0.105386 -6.16053e-06 -8.21404e-06 0.106794 4.79152e-06 9.375 9.625 1.65351e+06 192597 30853 27499 5492
9.75 4.60549e-05 0.0765036 3.35557e-05 7.91997e-05 0.112177 2.7623e-05 0.000140412 0.142918 9.67859e-05 3.60907e-05 0.135112 5.70555e-05 9.625 9.875 3.80864e+06 517408 76757 53784 9980
10 -9.89528e-06 0.0825174 -1.75504e-06 -4.41602e-06 0.110343 6.34218e-06 -7.77773e-06 0.132394 -1.6491e-05 3.05995e-05 0.131474 4.89234e-05 9.875 10.125 4.15716e+06 664454 101783 65556 11885
10.25 1.17403e-05 0.0901836 3.58866e-06 2.41703e-05 0.117272 4.56055e-06 4.49927e-05 0.133425 1.4378e-05 -6.7225e-06 0.123211 -8.96333e-07 10.125 10.375 2.82711e+06 595793 97110 58010 10241
