#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.0501432 0.0336866 0.0174892 0.185699 0.10072 0.0285524 0.186683 0.112774 0.0271535 0.217095 0.114545 0.0299411 0.217974 0.106644 0.0328138 7.2 7.4 733328 549466 183862 24014 24206 19640
7.5 0.0511801 0.0294249 0.016399 0.189161 0.0925425 0.0231092 0.192992 0.0943915 0.025464 0.220994 0.101786 0.0238846 0.212435 0.100345 0.0215473 7.4 7.6 622048 456369 165679 22716 22607 18142
7.7 0.0521289 0.0261096 0.0157358 0.200905 0.0856662 0.02468 0.2019 0.0899318 0.024752 0.22868 0.0953662 0.0227218 0.224271 0.0856636 0.0234432 7.6 7.8 513993 370159 143834 20421 20544 16217
7.9 0.0548749 0.0245819 0.0152389 0.218708 0.0788379 0.0220217 0.214175 0.0827799 0.022426 0.250112 0.0845282 0.0242805 0.236044 0.0835196 0.0178303 7.8 8 418127 296037 122090 18032 17824 14205
8.1 0.0584178 0.0240846 0.0139274 0.250269 0.0734358 0.0228896 0.244074 0.0759577 0.0235976 0.26761 0.0836003 0.0204031 0.262761 0.0756981 0.0207695 8 8.2 334214 230238 103976 15946 15829 12068
8.3 0.0659461 0.0221 0.0141074 0.275064 0.0724071 0.0205628 0.268355 0.0671913 0.0222358 0.292349 0.0731705 0.0198938 0.280931 0.0800358 0.0139833 8.2 8.4 273463 180223 93240 14574 14038 10871
8.5 0.0739664 0.0198485 0.0142348 0.283035 0.0642888 0.0185769 0.272572 0.0653359 0.018596 0.302327 0.0726019 0.0153226 0.305283 0.0699227 0.0202292 8.4 8.6 224466 141010 83456 13435 12589 9578
8.7 0.0842093 0.0196869 0.0143236 0.294836 0.0606302 0.017716 0.292956 0.0556568 0.0194995 0.314477 0.0715582 0.0154718 0.319772 0.0629472 0.0212962 8.6 8.8 180826 111211 69615 11954 10748 8062
8.9 0.0972162 0.0175209 0.0175557 0.321763 0.0567364 0.0196924 0.312711 0.0501076 0.0201146 0.343589 0.0607101 0.0187968 0.341302 0.0546096 0.016844 8.8 9 146348 90201 56147 10345 9101 6651
9.1 0.11035 0.0157853 0.0176237 0.348011 0.0480783 0.0194143 0.329906 0.0419039 0.0240081 0.366043 0.0513211 0.0188943 0.376078 0.0475272 0.0196762 9 9.2 119771 74146 45625 8948 7592 5568
9.3 0.129916 0.0122662 0.0180612 0.371057 0.0475111 0.0135762 0.331606 0.0455391 0.021507 0.395742 0.047389 0.0204288 0.39457 0.0556389 0.0118721 9.2 9.4 100165 62602 37563 7334 6388 4899
9.5 0.152505 0.00883555 0.0206303 0.400512 0.0399489 0.0164862 0.340017 0.0427152 0.0176008 0.406288 0.0543346 0.00584999 0.431327 0.0418404 0.0196331 9.4 9.6 85470 53808 31662 5735 5693 4303
9.7 0.17849 0.0062806 0.0231498 0.439283 0.0351363 0.0162857 0.369181 0.0409131 0.0239398 0.458812 0.0320901 0.0200424 0.459338 0.0470453 0.00922114 9.6 9.8 73283 46742 26541 4296 4965 3775
9.9 0.209809 0.00685723 0.0249233 0.473109 0.0346135 0.0137685 0.351379 0.0537897 0.0153512 0.496067 0.0355509 0.0124429 0.524895 0.0258595 0.0195304 9.8 10 64067 41290 22777 2900 4449 3555
10.1 0.248323 0.00973248 0.0281741 0.51145 0.0347092 0.0132902 0.341619 0.0712881 0.0106409 0.530995 0.0377469 0.00682741 0.549336 0.0314224 0.0164057 10 10.2 56812 37117 19695 1730 4162 3162
10.3 0.291607 0.0145502 0.0311578 0.557118 0.0359123 0.00788128 0.386525 0.0600345 0.0231952 0.580193 0.0338277 0.0117942 0.571677 0.0398058 0.00338709 10.2 10.4 50982 33991 16991 846 3928 2874
10.5 0.335359 0.0311149 0.0290619 0.607629 0.0364222 0.00692368 0.378788 0.12277 0.0142045 0.628212 0.0302104 0.0130847 0.627541 0.0409018 0.00153637 10.4 10.6 44130 29947 14183 330 3580 2607
10.7 0.388988 0.0430204 0.0305604 0.64946 0.0434622 0.00534743 0.44 0.15375 -0.00144145 0.644436 0.0442289 0.00577015 0.687831 0.0460245 0.000934124 10.6 10.8 34999 24538 10461 125 2714 2079
10.9 0.460659 0.0589135 0.0212679 0.691688 0.0489115 0.00577903 0.521739 0.144928 -0.00457668 0.656174 0.0673082 0.00068301 0.735925 0.0420908 0.0067994 10.8 11 23846 17145 6701 46 1652 1492
11.1 0.572253 0.0529256 0.0213971 0.75837 0.0535818 0.00257695 0.875 0.125 0.208333 0.684713 0.0622563 0.01138 0.806565 0.0413437 0.0119113 11 11.2 12702 9536 3166 8 628 853
11.3 0.718148 0.0443177 0.024631 0.837955 0.0427111 -0.00126439 0 0 0 0.75974 0.0626897 0.043524 0.861496 0.0329633 0.00907856 11.2 11.4 5408 4254 1154 0 154 361
11.5 0.85514 0.015502 0.0420433 0.910072 0.0127468 0.0211831 0 0 0 1 0 0.333333 0.932692 0.00706673 0.0326923 11.4 11.6 1776 1498 278 0 10 104
11.7 0.926097 0.00878674 0.034968 0.904762 0.0296643 0.0368374 0 0 0 0 1 0 0.888889 0.0444444 0.0555556 11.6 11.8 475 433 42 0 0 18
11.9 0.990476 0 0.0377203 1 0 0 0 0 0 0 0 0 1 0 1 11.8 12 110 105 5 0 0 1
12.1 1 0 0.047619 0 1 0 0 0 0 0 0 0 0 0 0 12 12.2 18 18 0 0 0 0
12.3 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 1 1 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
