#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 0.021687 0.03185 0.0105708 0.10788 0.107353 0.0351279 0.114193 0.11177 0.0401939 0.131768 0.12345 0.0384323 0.125522 0.123296 0.0345861 7.2 7.4 719764 534651 185113 25632 24581 18443
7.5 0.0215857 0.0293378 0.00909794 0.108476 0.10135 0.0238143 0.111859 0.107029 0.0259375 0.128922 0.119331 0.0233868 0.126879 0.115191 0.0250732 7.4 7.6 601275 438161 163114 24075 22471 16961
7.7 0.0218096 0.0263562 0.00716783 0.118862 0.0939656 0.0170757 0.122026 0.0989348 0.0210193 0.144246 0.102756 0.020987 0.129336 0.106409 0.011233 7.6 7.8 491858 353193 138665 21397 19744 14559
7.9 0.0229593 0.0239533 0.0058178 0.136537 0.0881743 0.0133197 0.133144 0.0921833 0.014087 0.155099 0.0970679 0.011529 0.149015 0.0892917 0.0120798 7.8 8 398986 281106 117880 18709 17434 12643
8.1 0.0259504 0.0220519 0.00498562 0.157683 0.0843826 0.00748946 0.150623 0.0835664 0.00998944 0.175752 0.0859544 0.00662135 0.165925 0.0905111 0.00442055 8 8.2 324600 219573 105027 17348 15465 11017
8.3 0.0298828 0.0211736 0.00403303 0.162922 0.0826536 -0.00185616 0.158892 0.0770539 0.00370675 0.181851 0.0861444 -0.00188848 0.178843 0.0831195 -0.00435448 8.2 8.4 266616 171202 95414 16420 14028 9746
8.5 0.0355005 0.0205309 0.00392142 0.17729 0.0685565 -0.00423425 0.172962 0.0723 0.00163765 0.196223 0.0812802 -0.00514248 0.205491 0.0683101 0.00210524 8.4 8.6 215069 133660 81409 14535 12231 8414
8.7 0.0445704 0.0189719 0.00474284 0.197906 0.0690523 -0.0024209 0.187983 0.0632359 -0.000613138 0.224591 0.0705674 0.00294164 0.220089 0.070424 -0.00705618 8.6 8.8 170623 105294 65329 12432 10272 6929
8.9 0.0533027 0.0191204 0.00460579 0.225883 0.0620206 0.000752553 0.212422 0.052079 0.00715439 0.250438 0.0676734 -0.00103062 0.255487 0.0663822 0.000434339 8.8 9 136820 84461 52359 10884 8557 5832
9.1 0.0671051 0.0169589 0.00663476 0.256514 0.0578215 0.00101116 0.224433 0.0534843 0.00521077 0.287698 0.0611063 0.00773579 0.285917 0.0630346 0.00359133 9 9.2 111853 69637 42216 9045 7275 4942
