#Peak halo masses in Msun
#Fractions of satellites that were quenched due to infall (f_q,sat - f_q,cen)
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(HM_Center) FQ_infall(Sats) Err+ Err- FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts Bestfit_Satellite_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
8 0 0 0 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0 0
8.5 0 0 0 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0 0
8.75 -0.000482662 0.0124719 -0.000211228 -0.000724969 0.000711225 0.0561009 -0.000724969 0.000711225 0.0561009 -0.000724969 0.000711225 0.0561009 8.625 8.875 295174 4127 2 0 0
9 0.00103574 0.0174148 0.00103574 -0.00119912 0.0011841 0.0445463 -0.00119912 0.00117552 0.0741782 -0.00119912 0.00117552 0.0741782 8.875 9.125 471097 4922 37 1 0
9.25 0.0014836 0.0344534 0.00137944 0.00398078 0.0658521 0.00398732 -0.0017335 0.00170589 0.0672077 -0.0017335 0.00166884 0.0687596 9.125 9.375 1.39381e+06 17407 525 5 0
9.5 0.00312764 0.0365257 0.00310138 0.0131025 0.0905434 0.0129682 -0.0031446 0.217612 -0.00190511 -0.0031446 0.00298914 0.0659509 9.375 9.625 2.96362e+06 107617 4370 36 0
9.75 0.00860991 0.0596398 0.00802215 0.0298051 0.131845 0.0266327 0.0298583 0.100366 0.0128046 -0.00462451 0.00433653 0.0696751 9.625 9.875 3.24632e+06 225246 9730 58 0
10 0.0226997 0.0877843 0.0205281 0.0592107 0.169046 0.0507363 0.0893078 0.182956 0.0786891 -0.00542906 0.00508491 0.0802023 9.875 10.125 2.21984e+06 226494 11742 95 0
10.25 0.0504375 0.136975 0.0440769 0.0889363 0.19545 0.0747978 0.117007 0.196735 0.0941216 -0.00658854 0.00620486 0.0783541 10.125 10.375 1.20794e+06 191474 12290 89 0
10.5 0.0688783 0.137889 0.0553722 0.107878 0.18747 0.0826074 0.163452 0.207243 0.129306 -0.00896163 0.00834414 0.0752156 10.375 10.625 598382 99589 8747 58 0
10.75 0.0895855 0.128761 0.0666526 0.13696 0.18169 0.0978871 0.182043 0.223729 0.122385 -0.0140358 0.0126714 0.0786911 10.625 10.875 282248 39654 5775 51 0
11 0.111085 0.111295 0.0784557 0.170321 0.159918 0.120449 0.202581 0.200653 0.120879 -0.0246917 0.0210661 0.0861485 10.875 11.125 127558 15577 3810 22 0
11.25 0.134884 0.0976203 0.079359 0.187185 0.12819 0.119505 0.270849 0.146998 0.10171 -0.0416511 0.0329798 0.100977 11.125 11.375 53579 5489 2268 16 0
11.5 0.146447 0.059453 0.0760851 0.157169 0.0562949 0.0821742 0.13662 0.41008 0.100947 -0.0633799 0.0457429 0.104688 11.375 11.625 21121 1730 1129 15 0
11.75 0.137059 0.0558013 0.0556402 0.106124 0.0333188 0.0400238 0.156811 0.172651 0.0958488 -0.0931889 0.0594186 0.108008 11.625 11.875 7461 443 291 12 0
12 0.145353 0.0142225 0.0766499 -0.0462927 0.0458546 0.0242229 0.372626 0.0786244 0.243052 -0.127374 0.065308 0.106531 11.875 12.125 2302 143 37 4 0
12.25 -0.0630824 0.0437276 0.049104 -0.174194 0.0709677 0.0983871 -0.174194 0.122581 0.0903226 -0.174194 0.0709677 0.0983871 12.125 12.375 638 18 0 2 0
12.5 0.0701754 0.142857 0.037594 -0.263158 0.105263 0.0827067 0.486842 0.204887 0.167293 -0.263158 0.105263 0.0827067 12.375 12.625 142 9 0 4 0
12.75 -0.2 0.0333333 0.3 -0.2 0.0333333 0.3 -0.2 0.0333333 0.3 -0.2 0.0333333 0.3 12.625 12.875 30 0 0 0 0
13 -0.666667 0 0 -0.666667 0 0 -0.666667 0 0 -0.666667 0 0 12.875 13.125 3 0 0 0 0
13.25 0 0 0 0 0 0 0 0 0 0 0 0 13.125 13.375 0 0 0 0 0
13.5 0 0 0 0 0 0 0 0 0 0 0 0 13.375 13.625 0 0 0 0 0
13.75 0 0 0 0 0 0 0 0 0 0 0 0 13.625 13.875 0 0 0 0 0
14 0 0 0 0 0 0 0 0 0 0 0 0 13.875 14.125 0 0 0 0 0
14.25 0 0 0 0 0 0 0 0 0 0 0 0 14.125 14.375 0 0 0 0 0
14.5 0 0 0 0 0 0 0 0 0 0 0 0 14.375 14.625 0 0 0 0 0
14.75 0 0 0 0 0 0 0 0 0 0 0 0 14.625 14.875 0 0 0 0 0
15 0 0 0 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0 0
15.5 0 0 0 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0 0
