#Peak halo masses in Msun
#Fractions of *quenched satellites* that were quenched after infall
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: true SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ_infall(Sats_MW) Err+ Err- FQ_infall(Sats_Group) Err+ Err- FQ_infall(Sats_Cluster) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts  Bestfit_Sat_MW_Counts Bestfit_Sat_GR_Counts Bestfit_Sat_CL_Counts
8.00 0 0 0 0 0 0 0 0 0 7.875 8.125 0 0 0 0
8.25 0 0 0 0 0 0 0 0 0 8.125 8.375 0 0 0 0
8.50 0 0 0 0 0 0 0 0 0 8.375 8.625 0 0 0 0
8.75 0 0.769231 0 0 0.852941 0 0 1 0 8.625 8.875 33139 255 372 196
9.00 0 0.810811 0 0 0.78 0 0 0.804878 0 8.875 9.125 60185 794 1352 664
9.25 0 0.767123 0 0 0.777901 0 0 0.835073 0 9.125 9.375 289716 6020 9299 4754
9.50 0 0.834862 0 1 0 0.417916 0 0.846341 0 9.375 9.625 1.20025e+06 23160 26331 11756
9.75 0.5 0.343974 0.180556 0.25 0.611989 0.011062 0.166667 0.726031 -0.0833333 9.625 9.875 3.20135e+06 61070 53805 22186
10.00 0.333333 0.588985 -0.0666667 0.555556 0.372625 0.255556 0 0.935825 -0.2 9.875 10.125 3.9779e+06 93358 76298 29706
10.25 1 -0.0642732 0.5 0 0.947917 -0.545455 0 0.955224 0 10.125 10.375 2.77486e+06 90390 69373 26043
10.50 1 0 0.183148 1 0 0.165907 0 0.934406 -0.5 10.375 10.625 1.73201e+06 77924 54210 19829
10.75 1 -0.0543053 0.2 0.857143 0.0975446 0.0244209 1 -0.037825 0.165661 10.625 10.875 1.0749e+06 64436 39436 14062
11.00 0.931035 0.00646549 0.122928 0.913793 0.0380141 0.0907162 0.95 -0.00982904 0.129389 10.875 11.125 639436 47481 26993 9001
11.25 0.929134 0.0128952 0.119067 0.924528 0.0210499 0.114428 0.923077 0.0184124 0.129027 11.125 11.375 366457 32230 17378 5795
11.50 0.931718 -0.00184554 0.13391 0.920918 0.00475734 0.117618 0.896552 0.0215667 0.129817 11.375 11.625 209515 17802 11501 3537
11.75 0.920875 -0.0156876 0.111548 0.883616 -0.000768006 0.103646 0.889416 0.0036515 0.124065 11.625 11.875 119510 5635 7851 2270
12.00 0.79602 -0.000275254 0.0731283 0.77677 0.0117741 0.0695156 0.732843 0.0270321 0.0646023 11.875 12.125 67417 604 5263 1429
12.25 0.818182 0.00324678 0.100791 0.588369 0.0222126 0.0581598 0.54918 0.0283051 0.0472093 12.125 12.375 37552 68 3417 941
12.50 0.625 0.0416667 0.0535714 0.37774 0.0461935 0.0556595 0.352234 0.0434617 0.0620697 12.375 12.625 20627 9 1962 621
12.75 0.6 0.0666667 0 0.238655 0.0483321 0.0667546 0.239631 0.0467536 0.0312004 12.625 12.875 10986 5 626 450
13.00 1 0 0 0.203125 0.0549395 0.03125 0.12 0.0217625 0.0264748 12.875 13.125 5655 1 65 280
13.25 0 0 0 0 0 0 0.0574713 0.0185521 0.00574712 13.125 13.375 2802 1 1 176
13.50 0 0 0 0 0 0 0.0576923 0.0288462 0.00818736 13.375 13.625 1279 0 0 106
13.75 0 0 0 0 0 0 0.121951 0.00625391 0.0243903 13.625 13.875 578 0 0 42
14.00 0 0 0 0 0 0 0 0 0 13.875 14.125 200 0 0 4
14.25 0 0 0 0 0 0 0 0 0 14.125 14.375 53 0 0 0
14.50 0 0 0 0 0 0 0 0 0 14.375 14.625 10 0 0 0
14.75 0 0 0 0 0 0 0 0 0 14.625 14.875 2 0 0 0
15.00 0 0 0 0 0 0 0 0 0 14.875 15.125 0 0 0 0
15.25 0 0 0 0 0 0 0 0 0 15.125 15.375 0 0 0 0
15.50 0 0 0 0 0 0 0 0 0 15.375 15.625 0 0 0 0
15.75 0 0 0 0 0 0 0 0 0 15.625 15.875 0 0 0 0
