#Observed stellar masses in Msun
#MW Mass Range: 10^11.75 - 10^12.25 Msun.
#Group Mass Range: 10^12.75 - 10^13.25 Msun.
#Cluster Mass Range: 10^13.75 - 10^14.25 Msun.
#Quenched threshold: observed SSFR < 1e-11/yr
#Bestfit_X_Counts is the number of galaxies in the bin for the bestfit model.
#Log10(SM_Center) FQ(Centrals) Err+ Err- FQ(Sats) Err+ Err- FQ(Sats_MW) Err+ Err- FQ(Sats_Group) Err+ Err- FQ(Sats_Cluster) Err+ Err- SM_Left_Edge SM_Right_Edge Bestfit_Galaxy_Counts Bestfit_Central_Galaxy_Counts Bestfit_Sat_Galaxy_Counts Bestfit_Sats_MW_Counts Bestfit_Sats_GR_Counts Bestfit_Sats_Cluster_Counts
7.3 3.29405e-05 0.0232192 3.51938e-08 2.27247e-05 0.127183 -1.95926e-05 6.07718e-05 0.148982 2.87267e-05 0 0.16323 -5.05561e-05 0.000198295 0.145926 0.000198295 7.2 7.4 661744 485724 176020 32910 20445 5043
7.5 1.85405e-05 0.0208628 9.9807e-07 1.27896e-05 0.12754 -2.22706e-05 0 0.143736 -3.26094e-05 0 0.158885 -5.41565e-05 0 0.148978 0 7.4 7.6 533929 377552 156377 30932 18427 4490
7.7 1.37321e-05 0.0193182 -4.71514e-06 3.43176e-05 0.121488 -1.29091e-05 0 0.134741 -3.10733e-05 5.978e-05 0.152461 -1.10279e-06 0.000245218 0.143877 3.96684e-05 7.6 7.8 436986 291288 145698 30726 16728 4078
7.9 2.19713e-05 0.0189577 -1.42843e-06 3.80897e-05 0.116359 -5.64446e-05 0 0.130054 -8.76962e-05 6.50111e-05 0.145889 -7.81685e-06 0.000274424 0.136708 -1.83163e-05 7.8 8 358839 227570 131269 28901 15382 3644
8.1 2.79088e-05 0.0191148 -1.28465e-05 0.000174408 0.111953 -8.1817e-05 0.000344577 0.11443 0 0.000300278 0.140827 -0.000196781 0.000311526 0.129901 -0.000335932 8 8.2 288095 179155 108940 26119 13321 3210
8.3 6.33981e-05 0.0192603 -2.1874e-05 0.000540096 0.110854 -0.000208624 0.000722511 0.114954 -0.000164232 0.000972591 0.140927 -0.000366815 0.000383142 0.129137 -0.00042331 8.2 8.4 227130 141960 85170 22145 11310 2610
8.5 0.000206285 0.0189229 -2.13714e-05 0.00142926 0.110086 -0.000217768 0.000842416 0.109364 -0.000364188 0.00293809 0.131812 2.88365e-05 0.00354767 0.123986 -0.000744174 8.4 8.6 177964 111496 66468 18993 9530 2255
8.7 0.000523823 0.0196318 -4.66212e-05 0.0040019 0.110517 0 0.00228087 0.101185 -0.000453405 0.00632095 0.140306 -0.00136422 0.0104106 0.134604 0.000612058 8.6 8.8 138292 87816 50476 15345 7752 1729
8.9 0.00147544 0.0206535 -3.51167e-06 0.0102218 0.108001 0 0.00612195 0.0898912 0 0.0134446 0.132588 -0.00123079 0.0146471 0.122716 -0.00188179 8.8 9 106999 68454 38545 12251 6471 1502
9.1 0.00372003 0.020297 -0.000179734 0.02137 0.10291 -1.11014e-05 0.00870032 0.0868257 -0.00201293 0.0328082 0.117856 0.00135031 0.0354839 0.123053 0.0003401 9 9.2 83384 53763 29621 9310 5395 1240
9.3 0.0102185 0.0188622 0.00131573 0.0441552 0.0983258 0.00193588 0.0199311 0.0773268 0 0.0585408 0.123656 0.00254469 0.0554435 0.108619 0.00641276 9.2 9.4 65797 43059 22738 6673 4578 992
9.5 0.0203577 0.023245 0.00254707 0.083643 0.0899004 0.0127915 0.0317426 0.0745532 0.000936916 0.116487 0.0984838 0.0187194 0.105747 0.101149 0.014732 9.4 9.6 53200 35171 18029 4631 3906 870
9.7 0.0446754 0.0217588 0.00738037 0.129881 0.0870317 0.0145179 0.0483487 0.075837 0.0077042 0.175516 0.0864623 0.0240007 0.167519 0.108018 0.0113512 9.6 9.8 45124 30218 14906 2937 3635 782
9.9 0.0852569 0.0204777 0.0138951 0.195021 0.0843204 0.0245774 0.050516 0.0826498 0.00662391 0.260182 0.0781372 0.0362961 0.270604 0.0504338 0.0308383 9.8 10 40037 27423 12614 1841 3413 728
10.1 0.147511 0.0198584 0.0201537 0.284434 0.065428 0.0380736 0.0879765 0.0623385 0.0207314 0.354454 0.0658187 0.04283 0.376524 0.0503664 0.0317875 10 10.2 36253 25537 10716 1023 3267 656
10.3 0.221431 0.0183526 0.0239344 0.363923 0.0608442 0.029937 0.128713 0.0741857 0.018982 0.434826 0.0595179 0.0292624 0.457849 0.0414191 0.038112 10.2 10.4 33647 24450 9197 505 3038 688
10.5 0.293738 0.0258264 0.0179293 0.447572 0.0548615 0.0243774 0.135747 0.108572 0.0107466 0.498126 0.0501409 0.0270308 0.538095 0.0587076 0.0319224 10.4 10.6 29502 22149 7353 221 2668 630
10.7 0.3672 0.0291424 0.0175041 0.536245 0.0556465 0.0238049 0.255102 0.0863614 0.0278293 0.561103 0.0490258 0.0291088 0.641283 0.047522 0.0119247 10.6 10.8 23490 18110 5380 98 2103 499
10.9 0.442551 0.0437876 0.0136611 0.598686 0.0682971 0.0156856 0.354839 0.0737327 0.0916808 0.587325 0.0566541 0.0171155 0.721963 0.0472682 0.0146456 10.8 11 15908 12559 3349 31 1357 428
11.1 0.507219 0.0710384 0.00210094 0.664952 0.0616493 0.0182618 0.333333 0.266667 0.0606061 0.6 0.0563107 0.0239865 0.828125 0.0135416 0.0503472 11 11.2 7996 6441 1555 9 570 256
11.3 0.612146 0.0970159 0.00319719 0.723361 0.103677 0.0209577 1 0 0.5 0.579618 0.130663 0.00243664 0.842697 0.0703469 0.00548732 11.2 11.4 2958 2470 488 1 157 89
11.5 0.696649 0.115654 0.0209733 0.842105 0.0544465 0.068772 0 0 0 0.857143 0.142857 0.137143 0.967742 0.00594229 0.078853 11.4 11.6 662 567 95 0 21 31
11.7 0.795918 0.107928 0.0209184 0.714286 0.25 0.0142857 0 0 0 1 0 1 1 0 0.2 11.6 11.8 112 98 14 0 1 5
11.9 0.866667 0.133333 0 0 1 0 0 0 0 0 0 0 0 1 0 11.8 12 15 15 0 0 0 0
12.1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 12 12.2 0 0 0 0 0 0
12.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.2 12.4 0 0 0 0 0 0
12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.4 12.6 0 0 0 0 0 0
12.7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.6 12.8 0 0 0 0 0 0
12.9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.8 13 0 0 0 0 0 0
13.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 13.2 0 0 0 0 0 0
